,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,90,45.3,108,134.6,123.4,102.8,91.2,78.7,67.6,74,64,44.55,64.4,:,:,80.46,87.17,69.34,75.86,94,81.66,87,77.91,58.47,:
Bulgaria,7.6,10.6,11.2,4.5,2.8,1.3,1.1,0.8,0.7,0.5,0,0.4,0.3,0,:,1.56,4.25,4.38,2.39,4.58,4.15,2.33,1.47,1,:
Czechia,12.5,17.7,14.9,12.4,17.56,13.5,8.8,1.9,0.5,0.5,0.03,0.56,0.39,0.86,0.06,0.65,0.6,0.47,0.37,0.18,0.28,0.06,0.4,0.13,:
Denmark,0,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,227.21,243.43,232.43,249.14,283.85,279.64,283.43,310.07,273.38,300.87,218.71,211.59,269.59,263.84,273.41,279.84,228.93,258.49,275.59,355.75,347.89,294.3,299.93,160.76,:
Spain,113.2,321.8,308.9,297.3,354.6,349.1,145.1,42.4,18.7,26.5,139.5,174.95,190.72,:,:,61.99,55.56,67.01,71.62,70.29,57.5,59.48,41.33,29.1,:
France,426.4,331.8,544.6,606.9,604.5,660.5,585.5,:,0,0,437.3,312.54,525.41,:,:,587.46,686.7,726.42,813.41,928.4,850.56,821.5,774.4,636.09,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.4,0.2,1.5,3.3,4.6,0.5,:,:,:,6,0.62,0.69,:,:,:,:,5.81,5.98,6.23,9.68,5.89,5.69,4.66,3.53,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1.1,0.8,1.4,0.8,1.6,1.2,1.5,1.1,0.2,0.1,0,0.3,1.7,0.6,0.2,0.3,0.5,0.3,0,0,0.2,0,0,:,:
Lithuania,7.2,4,6.2,9.9,5.8,3.4,0.3,0.4,0.1,0,0,0.1,0.1,0.1,0.4,1,0.48,0.2,1.9,9.8,2.42,1.89,1.35,0.58,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0.01,:,:,:,0,0,:,0,0,0,0,0,0,0
Hungary,0,0,3.8,2,3.6,3.8,2.5,0.2,0,0,0,0,0,0,0.21,0.14,0.14,0.13,0.13,0.13,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,31.5,25.6,39,37.6,27.6,26.8,22.4,15.1,15.4,21.2,17,14.05,23,:,:,:,:,:,:,:,:,:,:,23.79,:
Austria,:,:,:,:,:,:,:,:,0,:,3.32,3.14,3.31,2.12,3.94,4.19,4.51,5.09,6.64,8.92,:,10.7,:,:,:
Poland,1.4,2.4,1.7,1.1,1.5,2,1.3,13.4,10.7,6.3,3.1,1.8,0.2,:,:,4,1.66,9.64,1.99,15.52,15.43,16.14,11.72,6.91,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,2.28,3.16,6.38,3.87,2.93,5.24,3.94,0.55,0.28,0,0.05,0.01,0.02,0.07,2.25,2.15,3.75,2.61,2.88,3.16,3.01,2.9,1.52,1.65,:
Slovenia,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0.1,0.9,0.9,1,0.4,0,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0.18,0.08,0,0,0,0
Finland,3.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:,:,0,:,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.58,1.36,2.51,:,:,:,0,0,:
United Kingdom,24.6,9.6,6,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,2123.9,923.1,989.1,901.4,2455.7,2240.1,2550.1,2275,2073,1725,795,955,858,:,846,738,756,882,977,813,655,833,1017,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
