,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.02,0.16,0.1,0,0,0,0,0.1,0.08,0,0,0,0.0,0.02,0.04,0.08,0.13,0.13,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Greece,27.53,21.48,14.3,20.4,20.3,19.5,21,18,18,17.4,11.01,9.39,10.18,9.69,10.02,12.04,14.64,13.7,16.01,19.73,19.84,7.48,8.36,19.82,:
Spain,:,43.2,40.6,43.5,41.3,35.3,26.44,25.91,:,:,30.26,29.07,23.14,30.43,28.9,26.48,45.72,36.38,47.75,51.6,59.9,60.19,43.5,39.65,:
France,3.11,3.06,2.99,2.81,3.05,2.78,2.38,2.01,3.19,3.13,3.41,2.68,3.19,3.21,2.78,3.11,3.27,3.6,3.34,3.34,7.17,6.44,6.92,7.19,:
Croatia,4.08,3.87,3.7,3.34,3.46,1.11,0.91,1.09,1.39,1.22,0.91,1.29,1.27,0.91,0.73,0.7,0.61,0.69,0.8,0.81,0.79,0.77,0.94,0.74,:
Italy,:,21.1,13.4,19.3,21.2,20.3,23.3,17,15.9,:,12.02,12.17,10.48,12.38,107.88,13.11,11.3,11.3,10.65,11.83,12.18,12.76,9.48,13.03,:
Cyprus,3.9,3.9,3.9,3.7,3.86,3.96,3.9,3.81,3.65,3.7,3.01,3.02,3.01,3.55,3.66,3.5,3.22,2.95,1.34,1.6,1.76,1.18,1.81,1.63,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Malta,0.4,0.2,0.2,0.3,0.2,0.39,0.35,0.14,0.16,0.22,0.16,0.14,0.17,0.14,0.08,0.12,0.07,0.06,0.06,0.03,0.05,0.04,0.09,0.06,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Portugal,3.5,3.54,3.7,3.36,3.25,1.97,2.81,2.68,2.35,3,2.96,3.01,2.54,2.88,2.83,3.04,3.16,3.4,3.74,4.61,4.41,5,3.14,3.59,:
