,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,69.7,60.4,73.6,80.3,78,57.8,60.69,54.03,54.03,66.53,61.13,64.43,67.2,73.36,79.08,72.8,65,64.58,62.15,88.92,70.6,67.86,60.18,56.64,:
Bulgaria,:,2.2,2.1,1.5,3.3,1.4,3.47,4.87,8.82,4.98,5.63,10.3,1.6,3.9,2.42,3.4,7.4,5.52,1.71,4.62,3.44,2.72,2.67,1.41,:
Czechia,7.11,9.8,6.75,3.65,6.04,5.05,5.26,4.53,4.88,3.54,3.16,3.58,2.67,3.59,5.65,4.17,4.57,4.75,3.08,3.13,4.79,5.46,4.59,2.63,:
Denmark,17.1,14.8,14.7,15.4,14.8,15.7,10.5,:,:,18.1,13.78,19.84,15.05,17.44,14.23,20.54,13.98,15.41,7.1,7.81,7.36,15.32,12.06,4.11,:
Germany,20.5,27,26.9,26.4,31.7,28.7,28.24,26.33,29.36,34.27,24.94,21.52,27.73,26.38,28.92,27.37,27.57,32.08,24.24,24.24,25.51,29.96,28.12,20.31,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,1.1,0.84,0.65,0.65,0.93,0.66,0.32,0.48,0.2,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,0,0,0,0
Greece,8.61,8.84,9.1,9.1,8.7,8.8,9.1,10.24,8.96,8.3,11.44,20.16,14.44,26.75,17.15,16.37,14.01,12.44,12.74,11.06,9.98,18.99,7.74,10.07,:
Spain,51.5,47.9,74.9,55.2,69.4,54.8,77.79,73.94,66.9,81.7,83.53,85.3,79.51,85.6,98.6,84.71,117.13,104.47,109.27,126.98,120.48,138.81,109.98,114.53,:
France,244.9,245.5,248.4,233.7,229.2,205.1,201.2,185.4,233.7,:,172.71,237.02,235.02,243.37,236.06,203.27,234.68,250.09,251.08,282.19,245.7,314.48,295.5,268.2,:
Croatia,1.12,1.27,1.04,0.86,1.04,1.54,1.04,4.61,11.59,2.15,1.48,3.71,2.36,2.43,3.46,3.58,2.83,3.75,2.75,4.76,6.1,4.6,2.7,3.2,:
Italy,24.1,69.1,68.2,61.3,70.7,71.4,88.1,79.2,82.1,:,93.36,98.87,80.26,71.09,79.98,74.7,99.08,85.9,86.27,79.65,80.41,81.57,74.98,72.53,:
Cyprus,0.9,0.9,0.9,0.85,0.79,0.8,0.76,0.77,0.74,0.82,0.83,0.83,0.81,0.81,0.76,0.85,0.79,0.79,0.76,0.73,0.71,0.69,0.63,0.68,:
Latvia,0,0.2,0.4,0.6,0,0.4,0.3,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,0.41,0.14,0.29,0.24,0.31,0.36,0.92,0.7,1,0.8,0.8,0.6,0.47,0.58,0.28,0.23,0.41,0.31,0.41,0.34,0.21,:
Luxembourg,0,:,:,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,:
Hungary,61,113.3,101.6,68.7,93.2,85,91.6,92.77,117.77,98.5,61.08,99.12,92.36,67.65,87.65,94.55,111.23,128.31,89.81,91.48,90.02,86.79,82.34,93.84,:
Malta,0.1,0,0,0.1,0.1,0.18,0.11,0.13,0.13,0.14,0.17,0.2,0.13,0.11,0.11,0.15,0.08,0.16,0.14,0.13,0.14,0.08,0.16,0.13,0
Netherlands,37,35,40,38,35,34,34,38,40,30.5,23,21,15,18,19,17.71,15.6,21.2,19.02,25.38,21.62,28.65,30.56,37.25,:
Austria,6.1,5.1,4.4,4,3.9,4.8,7.6,9.08,11.25,12.03,9.47,12.5,4.49,11.26,11.26,9.53,9.01,12.41,9.79,9.79,9.8,9.81,9.6,8.65,:
Poland,:,:,:,:,33.7,38,33.9,36.74,32.35,37.08,30.55,30.4,36,25.9,42.7,43.7,45.25,51.75,41.73,43.8,54.9,48.6,48.6,49.5,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,6.63,6.63,3.98,7.3,18.8,10.42,11.81,13.07,12.34,15.85,15.22,8.03,7.28,:
Romania,2.78,5.05,3.66,3.96,5.78,8.88,8.63,4.6,8.05,5.77,5.4,6.8,5.5,4.82,5.45,4.4,4.15,6.03,4.24,4.18,6.28,4.93,1.34,2.14,:
Slovenia,0.33,0.34,0.2,0.24,0.21,0.23,0.25,0.21,0.26,0.28,0.16,0.17,0.19,0,0.22,0.21,0.26,0.23,0.22,0.64,0.63,0.51,0.23,0.13,:
Slovakia,3.1,4,4.7,3.3,3.3,2.5,0.58,0.4,0.38,2.89,2.43,4.75,2.06,2.27,2.77,2.78,3.21,2.87,2.71,2.26,2.19,2.66,3.82,3.56,:
Finland,6.5,6.6,6.9,5.8,5.9,4.2,5.18,6.36,5.7,6.11,4.61,6.26,5.82,6.24,7.11,5.85,7.17,7.1,6.29,8.86,7.4,6.01,7.58,7.83,:
Sweden,30.1,35.26,35,34.81,27.21,30.19,25.63,32.43,36.85,41.54,44.26,40.68,40.1,44.45,43,45.71,43.38,12.05,9.58,21.03,16.25,22.91,20.34,17.35,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,2.7,3.4,3.3,2,:,:,3.36,2.35,2.69,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.58,5.58,4.32,5.87,5.93,5.18,7.15,3.53,:,:,:
United Kingdom,180.3,167.6,169.3,167.6,130,127.3,124.4,100.2,:,:,:,:,120.39,120.85,165,162.7,154,129.4,119.2,153.1,:,:,:,:,:
Bosnia and Herzegovina,0.7,0.93,1.36,1.19,1.45,1.62,2,1.7,1.42,1.12,1.9,1.79,1.64,2.36,1.81,2.88,3.28,3.21,2.16,2.67,1.34,0.49,1.6,1.44,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2.5,1.8,:,:,:,1.23,1.72,1.87,2.45,3.02,2.79,2.57,2.18,2.08,2.55,2.39,2.23,1.89,2.07,2.03,1.94,2.32,1.84,1.65,:
Albania,:,:,:,:,:,:,:,:,2.4,2.6,3,3,2.8,:,4.1,5.2,5.4,5.7,4.8,5.5,5.7,7.86,8.78,7.1,:
Serbia,:,:,:,:,:,:,:,35.38,42.06,38.9,36.73,41.2,32.7,31.7,21.16,44,41.15,37.85,29.3,25.6,27.6,23.69,21.14,19.71,:
Türkiye,:,60,69,54,58,122,89.6,87.7,89,95,:,104,102,108,105,113,113,107,107,98,108,112,120,:,:
Kosovo*,0,0,0,0,0,0,0,0.05,0.1,0.1,0.1,0.1,0.03,0.3,1.1,0.4,:,:,0,:,:,:,:,:,:
