,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,2072.6,1859.2,2065.2,2223.8,:,:,1857.68,1527.2,1930.16,2051.66,:,:,:,:,:,1942.51,2012.89,2104.8,2040.57,2221.84,2187.9,2494.74,2189.71,2105.9,:
Bulgaria,0,:,:,:,:,476.7,777.87,489.64,506.87,501.66,504,454.3,381.8,446.72,389.65,433.79,664.21,554.91,574.59,551.05,454.85,488.18,451.82,469.6,:
Czechia,481.96,421.18,227.08,210.92,251.15,196.67,184.56,182.42,183.5,177.23,148.75,207.4,169.44,176.95,221.58,183.6,227.91,241.69,198.86,226.34,252.48,275.32,246.25,284.17,:
Denmark,212.6,217,216.9,237.4,246.2,243.8,245.1,:,0,0,269.13,293.24,271.37,293.32,307.58,289.07,315.6,331.02,278.84,281.6,276.68,262.24,244.62,238.74,:
Germany,3012.2,:,:,:,:,:,3166.22,3386.55,3476.7,3662,3290.7,3531.62,3767.81,3356.21,3702.62,3391.73,3672.66,3952.43,3449.76,3904.49,3887.98,4258.58,3767.74,3935.96,:
Estonia,53.3,38.1,22.2,45.1,29.7,35.9,33.8,43.4,39.2,44.6,48.3,58,42.8,52.2,40.4,55.9,40.48,35.82,39.44,58.45,52.55,44.45,37.98,36.92,:
Ireland,129.83,130.15,113.53,124.46,122.05,144.97,140.13,135.75,127.31,121.8,116.81,135.48,107.24,123.26,127.3,125.31,140.58,140.82,138.43,150.94,152.45,162.52,156.2,157.06,:
Greece,4185.44,4038.37,4060.24,3944.29,4054.2,3803.37,3649.07,3541.81,3430.23,3684.44,3291.98,3370.45,3130.47,3405.85,3175.15,3093.16,2968.29,2794.47,2668.73,2201.25,2450.91,2457.37,2113.25,2261.59,:
Spain,12463.3,12570.7,13048.2,12934.9,13422.8,13581.5,12408.53,12499.93,8859.9,9941.5,:,:,:,:,:,14123.24,15003.61,15039.96,14533.96,15438.91,14827.27,15927.02,13871.09,13519.14,:
France,6361.2,6392,6519.1,6269.4,6462.9,6076.5,5796.5,6892.8,5763.9,:,6893.63,6102.93,6211.98,5308.72,5376.26,5297.41,5444.25,5549.35,5653.68,5552,6033.35,6428.82,5924.74,5743.57,:
Croatia,105.94,118.2,127.97,109.46,123.1,171.04,181.84,186.42,201.59,232.27,154.05,154.89,133.41,167.5,149.49,189.25,191.32,178.79,184.9,165.67,200.19,168.62,160.2,161.46,:
Italy,16180.1,13357.9,12521.4,13583.6,14982.3,14419.7,13554,13550.4,13306.3,11668.3,13972.85,13350.52,:,12108.42,:,13119.94,13313.76,12754.54,12648.24,12778.25,13185.73,13466.54,12348.81,12818.64,:
Cyprus,132.2,139.5,99.81,92.74,140.29,143.75,139.95,132.7,113.01,108.98,109.13,106.83,102.45,96.41,105.62,101.1,96.49,83.62,83.4,78.35,76.7,78.75,76.99,78.59,:
Latvia,103.2,158.9,147.7,216.8,168,171.9,174.4,142.4,142.6,182.5,81.1,91.9,73.8,68.7,84.8,75.4,77.3,60.8,58.2,76.84,85,65.1,67.21,66.22,:
Lithuania,329.43,322.03,290.01,498.96,336.26,330.6,214.61,265.69,288.89,298.84,175.3,293,281.9,229.4,250.8,194.1,214.04,175.94,196.37,218.33,208.97,228.32,246.8,226.42,:
Luxembourg,1.9,1.5,1.7,1.5,1.7,1.6,0.97,1.05,1.08,1.19,1.3,1.25,1.48,1.73,1.89,1.74,1.85,2.06,2.85,3.89,4.09,4.49,5.89,8.31,:
Hungary,1499.8,1857.5,1853.7,1945.3,2035.9,1549.9,1779.8,1759.86,1818.1,1614.34,1144.36,:,:,:,1513.55,1601.1,1625.77,1656.96,1520.02,1492.81,1424.16,1398.19,1232.32,1428.2,:
Malta,60.6,57.7,52.5,54.7,61,58.77,66.13,63.05,64.64,58.41,62.62,62.68,54.25,59.89,61.69,57.78,57.21,55.15,53.97,49.35,47.2,45.25,44.48,45.73,0
Netherlands,3965.3,3892.6,4043,4143.1,4655.8,4397,4211.1,4464.4,4724.6,4905,4742,:,4680,4849,4918,4922.6,4833,5339.04,4596.41,5327.56,5267.01,5597.23,4782.05,4782.02,:
Austria,498.8,533.2,554.1,502.3,553.1,510.7,527.8,548.55,574.27,594.64,589.58,703.69,615.66,594.99,689.12,560.24,615.79,597.84,562.61,611.45,645.16,675.01,674.34,651.45,:
Poland,5580.5,5233,3990.5,4453.1,:,:,:,5021.21,4460.75,4848.05,4278.45,4305,:,:,5639.3,4823.7,5634.31,5733.91,5284.71,5036,5189.6,5285.4,5321.7,5155.4,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,1976.83,2125.29,1977.09,2284.2,2214.7,2523.39,2577.16,2111.59,2344.62,2492.11,3011.32,2485.83,2765.43,:
Romania,1601.37,1962.7,2061.81,2659.16,3102.78,2678.09,3012.78,2151.58,2664.48,2732.38,2486.01,2888.11,2478.56,2712.83,2644.59,2491.31,2276.89,2471.26,2614.96,2383.53,2303.25,2323.37,1433.27,1329.57,:
Slovenia,108.6,84.7,98,64.3,82.1,87.6,78.83,65.22,78.2,83.87,:,:,:,:,:,95.55,105.9,96.35,100.57,120.12,135.24,114.96,90.65,74.77,:
Slovakia,:,155.2,170.2,176,193.6,145,139.95,99.79,117.81,99.54,81.47,109.47,90.81,84.51,108.33,92.97,115.84,96.18,105.59,125.7,123.32,147.8,133.55,143.02,:
Finland,242,233.7,239.7,235.1,225.6,367.2,230.7,244.82,230.06,252.02,238.33,242.45,220.04,250.66,259.21,260.91,272.95,267.35,265.17,293.03,295.73,283,288.22,263.16,:
Sweden,276.85,269.86,275.46,281.29,303.05,297.63,317.55,296.43,297.15,344.38,309.71,339.31,376.17,362.66,377.73,380.55,372.39,341.6,307.09,344.75,393.1,407.31,383.87,367.99,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,2.37,3.79,4.65,5.09,6.3,4.98,5.45,5.72,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,401.45,402.33,367.02,410.63,:,:,:,:
United Kingdom,2834.3,2551.7,2832.4,2526.7,2525.8,2658.9,2643.7,2502.9,:,:,:,:,:,:,2477,2613.5,2445.5,2630.7,2465.3,2433.1,:,:,:,:,:
Bosnia and Herzegovina,170.58,184.09,234.47,194.34,260.69,241.64,280.42,248.51,274.67,271.03,273.35,276.2,256.41,304.18,228.59,280.43,361.36,291.51,298.67,298.83,323.72,292.72,238.15,219.62,:
Montenegro,:,:,:,:,:,:,:,25.15,29.55,29.99,31.08,29.27,27.43,31.17,32.91,40.93,41.76,41.21,42.33,40.12,39.39,40.93,40.9,:,:
North Macedonia,680.4,695.8,:,:,:,551.59,585.89,562.12,581.76,648.75,741.72,710.07,691.35,686.77,775.79,844.9,810.03,769.64,792.89,772.66,794.2,797.96,803.09,742.58,:
Albania,:,:,:,:,67.4,684.9,687.5,:,:,:,:,:,:,:,950,1030,:,:,:,:,:,1338.21,1357.82,1384.5,:
Serbia,:,:,:,:,:,:,:,931.09,1053.92,1080.11,1084.48,1023.6,915.8,1033.33,912.54,1060.73,1133.14,1086.62,829.82,738.5,720.1,795.73,815.75,704.7,:
Türkiye,:,24183.8,25908.5,25970.4,25389.6,26517.2,25886,25726,27259,26784,:,40603,28105,28820,3419,29552,30267,30826,29987,31041,31120,31691,31525,:,:
