,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgaria,:,4,3.8,3.9,5.5,3.7,3.18,1.2,1.15,1.56,2.26,1.7,1.7,1.6,0.3,0.72,1.8,1.44,1.77,2.22,1.6,1.03,1.29,1.07,:
Czechia,7.11,5.41,0.19,0.06,0.1,0.17,0.1,0.21,0.18,0.21,0.22,0.32,0.35,0.73,0.88,0.8,0.84,1.34,1.69,1.64,2.02,1.58,1.03,1.55,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.09,0.19,0.13,0.13,0.21,0.15,0.3,0.06,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Greece,17.23,13.83,15.7,15.1,15.1,12.2,12.83,11.14,10.76,5.7,9.48,8.15,9.03,10.86,13.72,10.04,5.84,6.08,6.13,4.39,7.77,8.26,6.4,7.83,:
Spain,162.8,175.1,194.7,170.2,165.4,136.4,145.37,151.67,142.5,157.7,136.56,140.76,154.36,188.84,177.42,178.42,209.8,274.71,273.48,271.35,269.09,315.72,281.9,194.34,:
France,30.2,30.5,31.7,26.5,27.8,26.1,25.2,20.4,19.5,:,19.7,19.99,17.82,20.06,18.08,17.34,21.92,20.46,20.12,28.14,30.28,28.82,19.43,29.31,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0.6,1.44,1.3,1.17,1.73,2.88,1.97,2.87,0.97,1.22,:
Italy,31.6,34.5,28.1,25.3,26.8,29.6,28.3,28.8,27,:,29.66,30.09,27.01,28.41,29.25,27.12,29.57,29.98,30.5,29.27,27.97,28.66,27.87,26.73,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Latvia,0.2,0.7,0.9,1.2,0,0.5,0.6,0.8,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,5.2,0.7,0.4,1.38,1.6,0.7,0.87,0.71,:
Lithuania,:,:,:,2.37,1.68,1.81,1.22,2.35,2.36,2.35,1.4,1.5,1.3,1.6,1.2,1.16,1.27,0.77,0.86,0.97,1.02,0.93,0.67,0.84,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Hungary,13.8,13,10.1,6.8,8.4,9.7,7.3,5.16,4.69,4.4,4.17,6.46,6.39,7.15,7.21,6.86,7.9,7.43,7.93,7.12,5.21,5.61,5.48,5.37,:
Malta,1.1,0.6,0.5,0.8,0.5,0.51,0.64,0.44,0.55,0.66,0.52,0.54,0.6,0.73,0.62,0.62,0.48,0.55,0.58,0.54,0.54,0.47,0.48,0.32,0
Netherlands,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.39,2.47,2.54,2.12,2.17,2.36,0
Austria,0,0,0,0,0,0,0,0.22,0.28,0.24,0.31,0.48,0.52,0.77,0.9,0.9,1.03,1.09,1.12,1.21,1.32,1.44,1.47,1.57,:
Poland,:,:,:,:,15.6,15,17.4,18.27,18.22,20.17,19.14,0,0,0,14.2,13.1,16.1,16.69,15.83,15.1,15.3,25.2,20.5,19.4,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,3.44,3.45,1.29,3.27,1.7,2.62,2.66,2.04,0.41,12.25,14.22,6.2,9.1,:
Romania,35.92,50.49,40.01,44.11,43.49,47.01,40.36,24.94,45.04,36.04,34.8,36.3,29.59,32.39,33.59,34.45,27.95,29.43,30.57,27.7,31.56,30.13,22.5,20.58,:
Slovenia,0.47,0.32,0.33,0.3,0.28,0.24,0.28,0.25,0.3,0.31,0.29,0.45,0.41,0,0.91,0.98,1.12,1.0,1.02,1.06,1.07,1.02,0.74,0.8,:
Slovakia,0,0,0,0,0,0,0.28,0.44,0.09,0.08,0,0,0,0.23,0.41,0.19,0.31,0.23,0.32,0.59,0.89,0.81,1.09,0.86,:
Finland,0.1,0.1,0,0,0,0,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.05,0.07,0.14,0.03,0.01,0.07,0.11,0.11,0.05,0.08,:
Sweden,0.01,0.01,0.02,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0.0,0.08,0.04,0.05,0.12,0.08,0.08,0.07,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0.0,0.0,0.0,0.0,0.0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.04,0.04,0.04,0.05,0.06,0.06,0.19,0.16,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,5.13,6.01,8.4,5.94,7.83,0,7.99,6.82,6.92,6.96,6.32,5.65,4.85,6.65,5.12,5.69,7.26,5.56,5.89,5.64,6.19,5.42,6.37,6.06,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
North Macedonia,4.1,4.9,:,:,:,4.08,3.81,3.75,4.6,5.8,5.02,4.15,4.08,4.13,4.33,4.21,4.22,4.21,4.35,4.52,4.9,4.37,4.44,5.51,:
Albania,:,:,:,:,:,:,:,:,12.24,12.6,15.3,15.33,15.7,:,17.8,9.9,12.3,12.8,13.2,14.3,15.4,16.27,18.15,18.8,:
Serbia,:,:,:,:,:,:,:,7.55,8.73,8.49,8.14,7.73,6.12,7.37,10.58,7,4.8,5.03,3.6,3.1,3.2,3.75,3.37,3.14,:
Türkiye,:,103,96,125,109,109,96.1,98.2,105,109,:,100,105,115,116,119,135.0,148.0,143.0,126.0,145.0,179,188,:,:
Kosovo*,:,:,:,:,:,:,:,0.8,1.2,0.3,0.7,0.7,0.4,0.8,0.4,0.5,0.4,0.4,0.5,1.2,1.14,1.09,1.18,:,:
