,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,3.6,3.6,3.8,5.4,5.4,4.5,2.7,4.36,5.04,5.6,:,:,:,:,:,6,10.1,10.2,9.2,10.14,11,13.8,14.28,13.74,:
Bulgaria,:,13.1,25.5,15.8,16,3.7,3.14,4.41,4.27,4.25,:,:,:,:,:,25.2,132.94,20.34,23.4,10.01,13.75,14.78,9.98,9.34,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,41.07,41.79,38.41,48.08,44.13,55.24,69.01,59.62,69.86,68.32,86.66,92.22,78.15,86.03,86.89,99.08,92.66,101.73,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,38.2,33.9,32.8,41,45,42.2,43.04,56.87,:,:,:,48.6,:,42.19,53.86,82.71,97.15,115.1,121.33,129.11,143.85,151.62,127.55,140.41,:
France,62.1,65.6,66,62,49.8,46,50.7,51.1,51.8,:,:,:,:,:,99.54,96.91,92.79,95.83,95.58,129.37,213.38,212.66,207.46,212.96,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.36,2.24,3.07,3.34,1.98,2.64,3.98,0.9,1.59,3.47,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,2.3,2.2,2.3,0,2.4,3.1,3,0.2,0.9,1,1.2,0.6,1.4,1.1,1.2,2.1,1.1,1.3,1.79,3.2,2.3,3.04,3.48,:
Lithuania,:,:,:,0.72,0.1,0.35,0.12,0.19,0.21,0.2,1.4,1.7,1.6,1.2,1.5,1.35,1.71,1.77,1.52,1.5,3.68,4.87,6.4,11.71,:
Luxembourg,0.1,:,:,0.3,0.2,0.1,0,0,0,0,0,:,:,0,0,0,0.33,0.34,0.12,0.2,0.17,0.23,0.53,1.83,:
Hungary,:,:,:,:,12.7,14,12.6,11.61,15.15,14.07,10.95,:,:,:,21.7,11.97,16.65,17.56,20.27,20.95,18.08,17.77,18.08,20.08,:
Malta,0.8,0.7,0.9,0.8,1.5,1.65,1.68,1.63,1.43,1.54,1.64,1.48,1.49,1.45,1.46,1.36,1.41,1.42,1.37,1.2,1.27,1.41,1.16,1.21,0
Netherlands,:,:,:,:,:,:,0,0,0,0,0,0,:,:,:,18.01,12.3,14.85,10.87,15.46,16.56,19.01,20.88,25.97,:
Austria,7,9.6,15.7,14,15.2,10.8,9.9,10.91,10.36,10.87,10.78,14.1,13.04,12,13.9,15.14,17.53,18.49,19.86,19.99,19.69,20.68,22.31,20.78,:
Poland,:,:,:,:,:,:,0,34.25,34.24,47.05,46.28,47.9,55.3,51.3,48,46.6,59.98,74.65,70.72,68.5,226.5,289.6,400.1,358.2,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,46.54,46.45,52.05,67.72,73.23,75.28,74.79,72.67,65.05,121.06,126.55,81.31,95.88,:
Romania,27.83,34.29,51.03,58.34,90.83,49.22,69.24,56.02,45.06,89.52,72.42,85.97,57.71,49.52,49.18,24.64,12.35,20.17,20.57,20.84,21.26,17.88,13.03,9.5,:
Slovenia,0.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,0,0,0,0,0,0,0.79,0.42,0.77,0.98,0,0,0,0,0,3.04,6.16,2.94,1.59,3.34,2.18,2.42,1.61,1.7,:
Finland,0,0,0,0,0,0,1.48,0.1,0.08,0.15,0,0,0,0,0,0.25,0.32,0.23,0.94,0.81,0.88,0.82,1.67,1.73,:
Sweden,0.41,0.47,0.63,0.59,0.46,0.71,0.55,0.72,0.41,0.83,0.88,0.9,1.44,1.51,2.14,1.95,1.97,3.51,3.05,3.69,5.97,7.89,9.31,5.54,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0.07,0.08,:,:,0,7.89,10.73,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,1.3,8.4,:,:,:,10.69,13.37,11.42,9.18,15.73,15.62,14.61,19.4,21.02,19.13,19.93,16.35,14.97,18.08,14.25,16.76,12.47,15.82,13.98,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.5,12,:,:,0,0,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
