,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,67.7,87.7,83.2,48.79,76.85,54.47,56.77,50.31,70.02,56.63,72.56,65.79,43.14,:
Czechia,11.38,11.62,9.64,11.46,11.85,10.64,9.8,16.83,16.71,11.69,7.35,15.87,9.89,16.57,5.06,19.54,6.01,6.3,8.24,10.51,13.93,13.22,13.07,10.74,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,10.22,45.25,72.31,46.29,46.37,42.32,48.96,22.63,68.93,44.04,50.16,53.14,46.63,47.31,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,160.85,169.54,125.72,137.08,123.29,132.97,144.1,138.64,137.44,142.6,173.94,171.96,158.52,175.95,:
Spain,:,:,:,:,:,:,:,:,:,:,1177.58,442.22,381.99,672.33,636.82,512.06,527.19,416.07,580.07,582.66,647.97,617.63,564.74,443.64,:
France,:,:,:,0,0,0,0,1676.36,1583.81,1622.18,1614.51,1817.47,1525.46,1633.55,1672.34,1718.59,1679.99,1864.74,1595.34,1596.05,1661.05,1355.92,1703.64,1642.04,:
Croatia,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,2265.93,:,2066.6,2445.33,:,:,2019.37,1531.45,1791.46,1577.25,1700.88,1646.17,1919.19,1512.61,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,0,0,0,1.18,0.81,0.96,0.8,1.21,1.59,1.57,1.49,0.92,0.78,0.99,0.6,0.56,0.53,0.76,0.54,:
Netherlands,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,5.54,6.55,4.71,9.41,16.85,8.44,7,9.35,9.13,7.54,7.79,6.74,8.34,6.51,:
Poland,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0
Portugal,:,:,:,:,:,:,:,:,:,:,225.77,172.27,196.66,224.85,234.69,250.71,216.86,252.87,264.83,272.22,314.75,337.07,314.92,367.38,:
Romania,0,0,0,0,0,0,0,0,0,0,130.64,154.58,119.5,134.26,115.26,118.48,117.58,145.27,176.15,132.54,133.85,148.47,133.56,132.98,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30,:,:,:,50,:,:,0,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,2.7,:,:,:,0.2,0.36,0.36,0.84,1.4,1.3,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.35,16.31,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,0,0,0,0
Serbia,:,:,:,:,:,:,:,57.19,63.62,68.81,48.11,54.34,42.57,56.52,35.52,51.47,44.25,45.6,41.37,44.61,44.2,42.72,44.57,36.08,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
