,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,1.65,0.16,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.56,0.39,0.86,0.06,0.65,0.6,0.47,0.37,0.18,0.28,0.06,0.4,0.13,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.19,0.48,0.24,0.22,0.15,0.17,0
Spain,7,3.1,4.3,2.2,3,3,0,0,0,0,0,0,0,0.01,:,0.15,0.37,0.83,0.75,0.29,1.56,1.16,0.31,0.31,:
France,52.6,46,53.9,71.1,58,67.2,54.2,:,0,0,44.43,39.06,:,48.26,57.27,61.84,84.19,129.63,124.79,78.05,106.26,141.46,121.72,120.69,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.4,0.2,1.3,3,4.1,0.4,:,:,:,2.6,0.25,0.45,:,1.66,1.73,3.15,5.11,3.44,4.63,7.71,4.67,4.71,3.95,2.35,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0.1,0.2,0.1,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.4,1,0.48,0.2,1.5,9.8,2.42,1.8,1.35,0.58,:
Luxembourg,0,0,0,0,0,0,0,0,0,:,0,0.01,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,3.8,2,3.6,3.8,2.4,0.1,0,0,0,0,0.04,0.01,0.21,0.14,0.14,0.13,0.13,0.13,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,4.7,5.1,14.3,10.9,0.2,0,0,1,2,6.5,6.4,6.1,10,10,13,14.6,17.42,9.54,15.32,14.07,12.79,13.28,14.1,13.63,:
Austria,0,0,0,0,0,0,0,0,0,0,3.32,3.14,3.31,2.12,3.94,4.19,4.51,5.09,6.64,8.92,8.67,10.7,5.2,2.65,:
Poland,0,0.7,0,0,0.1,0.1,0.7,9.8,5.7,3.3,0.2,0,0,2.3,0,3.5,1.3,9.47,1.74,13.96,14.64,15.08,6.36,4.69,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,1.4,2.77,5.59,3.16,1.87,4.7,2.42,0.48,0.18,0,0.05,0.01,0,0.03,2.25,1.91,3.67,2.61,2.76,3.16,2.97,2.77,1.29,1.16,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,:,0,0.25,0,0,0,0,0,0.18,0.08,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.58,0,0,0,0,0,0,0,:
United Kingdom,9.5,9.6,6,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,:,:,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,1244,1,0.9,0.8,0.6,0.1,0.1,0,0,:,:,0,0,0,0,0,0.01,0.01,:,0,0,0,0,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
