,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,145,152,170.2,175.4,170.1,168.6,162.4,166.8,158.9,164.5,182.08,169.6,161.9,181.1,190,168,130.65,158.75,129.85,152.34,147.1,169.68,139.25,136.21,:
Bulgaria,0,0,0,0,0,0,3.97,2.96,2.01,2.17,0,0,2,1.3,1.75,0.66,1.91,1.07,2.28,0.88,1.39,1.32,1,1.03,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.16,0.12,0.18,0.18,0.1,0.06,0.12,0.13,0.15,0.48,0.7,1.43,1.6,:
Denmark,7,7,7,5.6,5.9,5.6,5.6,:,:,4.66,6.29,6.22,5.89,6.08,6.3,6.41,5.22,5.8,4.83,5.96,2.28,4.22,4.38,4.2,:
Germany,59.2,65.1,62.7,65.1,70.3,76.1,82.2,89.03,99.25,87.04,80.26,83.81,116.31,111.21,108.15,89.49,85.86,99.74,76.98,88.03,89.97,93.29,87.15,89.09,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,1.26,1.26,1.34,1.35,1.35,1.49,1.44,1.36,1.34,1.32,1.32,1.38,1.26,1.38,1.68,1.68,3.84,3.05,2.7,2.92,3.38,2.88,2.73,3,:
Greece,44.44,38.2,37,37.5,37.6,37,41.5,41.3,39.3,37.3,38.81,35.33,33.42,36.83,30.9,39.37,35.78,23.4,22.77,18.24,18.75,21.08,16.75,20.26,:
Spain,58.4,63,73.1,77.4,69.4,73.8,78.11,70.51,:,:,79.27,90.33,91.03,90.9,90.5,92.61,81.8,95.28,81.64,80.28,81.16,82.42,70.28,63.07,:
France,170.6,180.7,188.7,180.9,186.5,182.9,178.6,172.8,178.2,:,164.6,154.37,161.7,158.27,165.88,159.76,152.87,157.03,140.9,148.8,168.4,187.53,157.52,175.88,:
Croatia,0,0,0,0,0,0,0,0,1.92,2.5,2.28,1.2,0.58,0.75,0.49,0.85,1.15,0.99,1.31,1.18,2.34,1.7,1.75,1.33,:
Italy,11.1,15.7,15.8,16,16.5,15.5,15.3,16.4,15,:,12.08,9.5,6.88,7.28,8.67,8.42,9.36,9.33,10.28,13.65,14.48,15.22,13.95,13.67,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.3,0.2,0.1,0.2,0,0.6,0.7,0.2,0,0.4,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0,:,0.54,0.8,0.1,0.22,0.3,0
Lithuania,:,:,:,1.43,0.92,0.72,0.54,0.57,0.94,0.93,0.3,0.5,0.3,0.4,0.4,0.3,0.35,0.26,0.23,0.37,0.24,0.23,0.27,0.29,:
Luxembourg,0.3,0.2,0.2,0.1,0.1,0.1,0.05,0.03,0.05,0.03,0.04,0.05,0.03,0.04,0.04,0.04,0.02,0.03,0.13,0.15,0.19,0.18,0.16,0.31,:
Hungary,:,:,1.4,1.2,2.3,1.4,1.4,2.27,2.43,2.6,1.61,1.87,1.9,1.19,1.26,1.39,1.12,1.24,1.31,1.48,1.17,1.38,1.06,0.95,:
Malta,0,0,0,0,0,0.22,0.2,0.19,0.24,0.24,0.26,0.21,0.22,0.24,0.21,0.25,0.26,0.23,0.2,0.16,0.18,0.18,0.13,0.12,0
Netherlands,95,100,95,104,104,82,102,114,95,96,93,90,93,106,106,86.27,82.2,104.33,82.2,92.37,89.83,104.97,95.06,126.21,:
Austria,6.6,7.4,6.3,6.2,6.7,5.8,5.8,5.19,5.2,5.92,6.04,6.24,6.3,5.27,5.09,3.98,5.76,5.87,5.45,6.53,7.67,7.65,7.48,7.52,:
Poland,:,:,:,:,95,99.6,94.4,99.57,88.31,99.95,87.81,100.9,98,77.9,94.3,79.9,95.91,99.81,88.15,83.6,50.7,50.6,54.5,47.5,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,25.81,25.81,27.14,20.75,25.3,26.05,22.71,24.01,21.22,38.39,33.97,19.26,16.22,:
Romania,0,0,0,0,2.64,0.79,2.23,1.06,1.47,1,1.18,1.28,0.94,1.17,1.91,1.58,1.72,1.34,1.38,1.32,0.86,0.18,0.22,0.17,:
Slovenia,0.68,0.6,0.91,0.95,0.84,0.72,0.82,0.63,0.8,0.88,0.61,0.5,0.5,0,0.41,0.77,0.92,0.85,0.89,1.14,1.29,1.07,1.2,0.82,:
Slovakia,0,0,0,0,0,0,0.05,0.02,0,0.01,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0.49,0.54,0.38,0.44,0.42,0,0,0.52,0.39,0.48,0.6,0.63,0.52,0.73,0.42,0.57,0.67,0.52,:
