,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,46.35,43.9,42.5,43.39,42.4,43.47,38.17,36.51,36.2,35.03,34.02,31.1,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,1.44,0,1,3.2,3.82,1.66,1.94,2.99,4.17,2.47,0.23,0.3,0.7,0.22,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Denmark,:,:,:,:,:,:,:,:,:,:,1.1,1.17,1.17,1.1,1.12,0.46,0.46,1.68,1.68,1.68,1.68,1.13,1.13,1.13,:
Germany,:,:,:,:,:,:,:,:,:,:,5.72,5.85,3,3.51,3.08,2.82,2.46,2.7,2.62,2.33,2.49,2.33,2.44,2.44,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,4.1,2.79,2.79,2.73,2.93,2.92,2.86,2.65,4.04,4.04,4.04,4.04,4.04,4.04,4.35,4.35,4.55,4.01,4.01,4.01,4.41,4.55,4.82,4.59,:
Greece,8.55,9.14,11,10,12,11,12.01,10.32,12.64,13.7,14.24,5.88,6.4,13.32,8.82,12.76,11.26,12,12.2,8.88,10.47,10.51,7.22,10.9,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.62,28.88,26.95,24.31,23.15,22.09,18.53,22.88,27.26,:
France,:,:,:,:,:,:,:,:,:,:,0,0,0,:,69.51,61.81,61.63,59.06,59.93,58.09,49.36,46,44.69,39.55,:
Croatia,0,0,0,0,0,0,0,0,0.7,0.41,1.01,0.81,0.4,0.86,0.24,1.5,0.32,0.18,0.89,0.35,1.07,0.7,0.86,0.65,:
Italy,:,:,:,:,:,:,:,:,:,:,131.65,132.26,131.84,139.26,146.93,124.37,153.06,146.77,151.8,154.47,150.1,158.45,196.02,192.96,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.1,0.1,0,0.4,0,0.1,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.2,0.5,0,:,0.1,0.1,0.1,0.1,:,:
Lithuania,:,:,:,:,:,:,:,:,:,:,1.1,1.4,2.5,1.9,1.2,1.48,1.06,1.01,1.01,1.66,1.69,1.72,1.37,1.34,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,8,10,10,10,9.45,9.5,1.46,1.38,1.23,1.35,1.43,1.53,1.32,:
Austria,0,0,0,0,0,0,0,0,0,0,2.71,2.67,2.6,2.72,2.97,2.79,2.11,2.07,2.06,2.18,2.12,2.15,2.25,2.34,:
Poland,:,:,:,:,:,:,:,:,:,:,14.37,:,:,0,16.8,16,16.03,16.41,17.74,17.1,11.6,16,9.4,9.9,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,32.11,24.23,26.34,26.94,29.63,24.88,27.84,20.27,23.74,27.98,25.1,22.67,26.53,:
Romania,0,0,0,0,0,0,0.38,0.23,0.63,0.78,1.32,1.27,0.79,1.25,1.46,1.42,1.53,1.8,2.29,1.97,1.6,1.47,1.5,1.55,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.01,0.01,0,0,0,0,0,0,0,0,0
Finland,:,:,:,:,:,:,:,:,:,:,:,0.18,9.67,10.94,12.43,11.44,11.4,10.85,11.72,10.69,11.32,11.89,9.49,10.17,:
Sweden,2.59,2.21,2.84,2.62,2.6,3.71,3.16,2.78,4.38,3.13,2.8,4.39,2.85,3,2.59,2.42,2.71,2.51,2.39,1.63,2.28,2.38,2.14,2.43,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.5,0.5,0.62,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.54,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,38,14,13.5,15.1,12.4,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,0.66,0.27,3.98,3.46,:,4.4,1.03,0.38,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,0.6,2.1,2.3,2.5,2.3,2.3,:,1.97,1.6,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,57,62,21,84,68,82,88,112,92,98,123,154,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
