,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,93.3,94.6,85.3,92.9,86.1,76.3,77.95,76.36,76.13,69.38,67.1,60.79,55.5,53.71,52.73,54.79,52.57,53.37,47.94,47.31,45.5,44.81,44.44,40.5,:
Bulgaria,:,9.9,8.9,18.9,30.3,4,4.11,3.63,2.11,3.33,2.97,4.9,8.8,7.6,5.49,2.53,2.43,5.18,5.34,4.07,2.43,2.63,4.01,3.84,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,1.49,1.39,1.84,2.21,5.04,1.86,22.09,11.16,15.42,15.49,19.74,11.6,14.87,:
Denmark,9.8,16.5,16.5,9.8,9.8,10.2,10.2,:,:,:,11.48,11.49,14.94,10.49,10.24,9.2,14.93,24.77,25.73,23.52,24.37,13.45,17.71,14.3,:
Germany,181,173.8,201.2,185.6,235.9,222.5,191.32,197.78,180.86,193.89,169.46,210.04,279.92,219.11,214.55,215.66,206.82,226.47,219.9,233.76,219.03,220.54,232.28,206.51,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,9.1,7.79,5.44,5.38,5.58,7.9,7.08,6.72,7.93,8.13,8.13,7.48,7.14,7.25,7.92,7.37,7.57,6.16,6.16,5.68,5.89,6.29,6.39,6.19,:
Greece,81.43,76.34,79.5,78.6,79.5,80.04,68.18,94.84,90.64,83.4,103.3,106.5,100.99,95.01,61.96,70.06,68.55,64.31,58.46,47.37,51.39,59.59,36.62,52.21,:
Spain,1014.6,994.2,1052.6,1044.7,1041.6,991.9,985.86,947.61,:,:,809.39,868.44,876.97,904.28,902.94,927.38,929.94,976.11,934.67,1004.67,961.94,1063.78,966.54,863.41,:
France,382.9,374.1,374.8,344.4,349.3,360.9,359.6,347.8,316.9,:,310.62,267.36,256.35,253.93,238.03,229.07,228.43,218.85,221.46,215.72,195.1,184,178.77,158.21,:
Croatia,2.98,3.38,3.72,3.19,4.12,2.67,3.86,6.54,3.24,3.39,3.75,4.88,3.2,3.97,1.77,4.46,4.57,3.91,4.89,4.27,6.4,3.59,5.01,5.28,:
Italy,479.4,451.1,474.5,465.3,495.2,499.9,474.2,485.5,467.7,330,495.35,350.87,324.32,483.46,484.94,476.53,475.31,473.49,487.99,486.86,487.02,490.34,468.9,512.56,:
Cyprus,1,1.1,1.58,1.55,1.58,1.52,1.5,1.45,1.73,1.44,1.45,1.45,1.27,1.81,1.98,3.78,7.97,3.11,3.02,2.67,3.29,3,2.95,3.08,:
Latvia,0.2,0.2,0.2,0,0,0.2,0.1,5.4,0,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.6,0,:,0.72,0.1,0.1,0.18,0.5,:
Lithuania,:,:,:,0.52,0.26,0.32,0.21,0.24,0.28,0.33,1.5,1.9,3,2.8,2.1,2.51,2.72,2.05,2.81,2.64,2.75,2.82,2.33,2.16,:
Luxembourg,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.18,0.16,0.12,0.13,0.2,0.17,0.24,0.26,0.26,0.34,0.22,0.43,0.74,0.63,0.58,0.8,0.58,:
Hungary,12.4,11.9,11.7,10.2,9.7,8.5,8.9,7.58,7.52,8.42,7.87,7.63,8.28,13.69,12.25,12.06,9.48,9.01,8.63,8.36,7.8,8.45,8.88,8.44,:
Malta,2.7,2.7,2.6,2.6,2.7,2.83,3.41,3.55,3.65,3.78,4.01,4.2,4.11,4.61,4.23,4.09,3.78,3.28,2.89,2.51,2.26,1.98,2.23,2.5,0
Netherlands,72,65,66,68,72.5,74,71.5,85.5,90.5,86,82,84,93,90,89,119.47,118,107.33,106.75,101.59,104.42,109.15,103.39,107.31,:
Austria,54.7,55,55.8,42.3,44.7,46.1,48.3,51.66,47.02,44.46,42.02,41.6,48.24,43.7,39.79,34.57,43.73,41.74,33.94,39.89,41.81,43.21,41.89,45.61,:
Poland,:,:,:,:,15.1,19.9,16.9,20.54,14.4,14.81,13.39,32.2,32.2,29.8,34.8,33.4,40.84,43.23,42.61,42.4,35.5,33.9,27.6,26.9,:
