,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,90,45.3,108,134.6,14.8,14.4,10.6,10,6.3,73.8,0,5.69,8.1,7.4,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0.1,0,0,0,0,0,0,0,0,:,0,0,0.11,0,0.18,0.08,0,0,0.92,1.41,2.55,:
Czechia,2.6,2.6,2.4,4.8,3.12,8.9,8,1.7,1.4,4.3,3.93,3.43,2.4,2.07,2.39,2.13,2.24,2.35,1.75,1.35,1.58,2.53,2.72,1.48,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,90.9,47.8,17.1,28.8,23.2,25.4,22.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.11,0,0.11,0,0.1,0.09,0,0,0.05,0.07,0.22,0.18,0.08,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.05,0.09,0.13,0.16,0.15,0.14,0.1,0.18,0.27,0.35,0
Spain,14.7,7,2,1.2,0.6,0.6,0.1,0.1,0,0,0,0,0,0.01,0.08,0.05,0.01,0.01,0,0.01,0.05,0.35,0.73,0.73,:
France,32.8,22.7,16.6,10.9,12.6,24.9,43.2,31.9,14.6,20.1,35.85,30.55,23.74,16.15,26.37,42.59,43.16,54.73,45.83,45.5,59.54,72.94,50.79,52.92,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,0,0,:,:,:,0,0,0,:,:,:,:,:,0,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.5,0.3,1.5,0.6,0.3,0.6,0.3,0.1,0.2,0.1,0.8,1.5,0.2,0.2,0.6,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.5,:
Lithuania,2.71,0.9,2.71,2.71,1.8,2,0.7,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.3,0.32,0.2,0.74,0.64,0.33,0.61,0.68,0.62,0.71,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0.5,0.7,1.8,2.8,1.9,2.2,0.6,0.9,0.34,0.55,0.42,0.7,0.54,0.69,1.19,1.55,1.4,1.48,1.17,1.5,1.25,2.89,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,4,4.2,4.1,5.3,5.3,3.6,3.8,2.4,2.2,2.5,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Austria,0,6.3,5.1,5.6,5.9,6.4,5.8,2.4,0.8,0.6,0.85,0.91,0.87,0.63,1.04,1.2,1.73,1.79,1.49,1.71,1.6,1.9,1.9,1.55,:
Poland,0.5,0.7,0.6,0.7,0.9,1.7,1.3,2,1.6,2.1,3.4,2.6,1.49,1.86,3.82,5.83,7.94,8.7,6.72,4.77,6.84,4.9,2.09,3.35,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0.99,1.99,1.76,1.5,2.47,0.06,0.32,0.39,0.22,1.1,1.82,2.63,3.55,4.05,2.57,3.64,3.16,3.62,3.2,6.2,1.81,3.36,2.48,2.91,:
