,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2135.37,1800.52,1860,1530.5,2175,2110,1850,1650,1665,1657.4,1662.35,1699.91,1793.52,1333.86,1516.47,1218.11,958.31,775.64,935.89,952.33,1001.11,909.17,943.39,1028.66,:
Spain,4613.2,6494.7,3847.6,7058.9,4744.6,3646.3,5283.35,5701.68,4951.5,5701,6682.01,7352.7,3448.61,8766.9,4142.98,6804.34,6571.43,6030.87,9264.54,5642.06,7750.67,7682.88,3677.79,4643.35,:
France,13.74,14.26,17.25,18.57,16.95,18.6,15.52,19.91,33.06,28.8,31.31,23.03,29.22,28.87,12.74,33.9,26.45,21.94,25.55,23.12,26.98,26.72,21.42,28.59,:
Croatia,16.22,19.41,32.96,9.48,20.61,36.06,27.53,34.53,35.96,32.59,38,31.42,50.95,34.27,8.84,28.27,31.18,28.95,28.42,33.22,33.23,23.87,40.13,29.85,:
Italy,2740.6,3302.3,3174,3484,4470.8,3713.7,3354.2,3194,:,:,3060.39,3133.73,2967.29,2852.7,1903.43,:,1944.79,2537.61,1889.05,2118.13,2126.16,2181.35,2073.8,2681.72,:
Cyprus,18,15,24,15.7,18.56,13.78,20.5,7.94,12.01,10.47,11.86,7.64,9.62,9.76,13.76,11.32,9.01,16.46,15.98,22.32,20.62,17.64,18.39,16.5,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,167.16,218.52,211.57,232.95,300.7,203.91,362.3,203.97,336.48,414.69,435.01,510.73,417.95,634.21,437.97,702.14,476,858.41,725.37,916.73,715.18,1350.24,774.74,929.69,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,1.15,0.81,2.42,0.82,2.03,2.69,1.77,1.49,2.28,1.68,1.9,1.7,0.74,1.48,0.81,1.58,1.66,1.69,3.96,1.98,3.1,0.92,2.44,1.31,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.5,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.19,0.33,0.35,0.25,0.28,0.28,0.38,0.46,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,74.9,75.1,78.5,87.7,93.5,87.4,108.5,96.5,128.9,99.5,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,1350,500,1200,800,1211,620.5,952,820,:,1200,1340,1286,1330,1300,1300,1640,1073,1110,803,1183,2038,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
