,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,28.3,30.7,32.2,41.1,41.3,53,55.23,66.24,72.68,78.3,80.33,74.53,74.5,79.03,102.25,108.25,130.78,92.85,105.38,161.31,176.5,241.8,166.44,177.11,:
Bulgaria,68,36,38,42.3,44.6,14.3,20.27,10.6,16.01,8.22,19.14,16.8,10.3,12.8,13.33,8.93,14.92,23.5,41.8,31.38,28.44,29.87,27.46,38.96,:
Czechia,76.4,84.09,45.28,33.74,63.51,47.59,35.9,28.91,41.51,38.77,34.65,45.63,32.11,32.82,38.23,27.21,42.02,41.24,36.7,44.61,52.86,52.04,44,58.52,:
Denmark,29.1,29.1,29.1,53,53,53,55.7,:,:,54.6,52.27,62.94,47.76,48.36,51.92,53.42,61.95,61.9,41.24,42.26,43.29,58.14,54.34,57.17,:
Germany,316.7,287.3,292.7,271.5,425.9,364.5,337.27,377.64,407.6,433.04,387.11,581.32,588.28,492.84,589.72,553.26,616.5,632.96,503.16,607.11,629.63,738.54,638.4,759.56,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.06,0.22,0.07,0.19,0.13,0.25,0.12,0.23,:
Ireland,7.8,8.43,6.95,7.15,7.15,6.77,7.09,6.7,6.39,5.23,4.93,5.06,4.88,5.33,5.05,4.55,5.99,5.84,4.19,10.29,11.75,10.09,10.9,10.91,:
Greece,207.31,198.05,202.2,203,205,202,199.1,181.8,200.4,171.2,188.18,243.12,249.61,256.2,251.5,233.49,207.27,207.36,145.38,133.54,171.98,137.95,115.61,140.43,:
Spain,959.7,1076,1118.4,936.8,1030.4,1006.1,1099.55,1184.25,1098.4,1194.9,1105.13,1307.53,1169.73,1214.5,1364.63,1247.57,1407.87,1317.18,1288.03,1458.92,1319.47,1465.43,1235.7,1205.35,:
France,464.9,404.5,451.2,385.9,457,347.7,321.3,304.6,326.3,:,351.5,358.41,411.61,416.62,376.8,368.65,474.67,453.82,455.22,660.18,669.02,817.37,712.45,685.85,:
Croatia,9.61,13.96,13.19,10.85,13.17,16.41,19.16,23.47,26.07,25.56,22.79,22.3,22.93,19.19,27.83,29.4,25.09,15.05,21.1,18.27,16.35,16.17,12.48,15.24,:
