,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,42.3,43.7,46.8,44.7,45.5,53.4,49.36,48.49,50.13,47.37,:,:,:,:,:,17.22,16.54,19.49,14.8,17.28,16.3,14.12,14.62,15.41,:
Bulgaria,0,0,0,0,0,0,6.56,0.69,0.27,0,0,0,0,0,0,0.09,0,0,0,0,0.09,0.07,0,0,0
Czechia,15.67,11.72,1.44,1.79,1.73,1.69,2.25,2.49,2.13,2.34,2.76,2.98,1.97,3.95,2.2,3.24,2.9,4.11,3.29,5.36,5.02,5.84,4.69,7.3,:
Denmark,11,11,11,12,12,11.7,11.4,0,0,12.72,10,10.48,0,0,0,11.7,4.18,5.61,6.65,8.49,12.97,6.83,6.97,5.52,:
Germany,321.9,290.8,272.2,286.3,307.8,283.6,275.68,300.71,309.62,318.76,301.23,132.68,156.97,127.31,128.28,130.96,121.09,120.45,105.51,106.56,113.11,111.95,109.52,102.57,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.39,0.42,0.36,0.34,0.38,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,200.7,128.5,88,191.2,129.1,130.7,65.21,54.82,0,0,0,0,51.6,0,0,39.59,86.86,62.97,57.5,116.78,130.18,127.21,132.14,108.08,:
France,110.4,109.9,110.6,98.5,100.7,95.7,95.5,95,94,:,:,:,:,:,112.8,110.94,108.81,103.3,92.04,90.29,124.73,106.41,96.67,102.11,:
Croatia,0,0,0,0,0,0,0,0,3.92,2.4,3.53,2.19,1.85,4.75,3.71,3.7,3.66,2.39,1.94,2.7,4.77,2.54,2.63,1.4,:
Italy,173.3,159.5,153.7,167.6,210.5,231.4,223,224.8,233.2,235.8,:,:,:,:,:,250.23,237.21,241.06,243.76,251.53,252.58,250.36,249.44,228.92,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
