,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.06,1.89,1.72,2.97,3.83,1.81,3.3,3.26,1.33,2.81,0,7.05,15.53,15.21,16.29,13.96,11.63,16.63,15.14,18.13,20.13,21.5,3.09,2.19,:
Bulgaria,3.07,6.43,0.61,13.98,18.78,7.78,4.29,2.59,4.95,4.41,5.71,4.47,6.66,10.42,5.69,8.47,5.36,4.8,6.11,6.41,9.67,6.12,7.56,8.82,:
Czechia,12.4,9.8,8.8,24.7,13.3,13.5,14.7,19.32,14.51,14.5,7.69,8.09,13.04,7.92,5.46,6.99,7.73,7.49,8.08,6.53,10.49,10.51,7.85,8.66,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0.6,0.1,0.1,0.1,0.5,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.4,0.6,1.2,2.8,3.39,1.44,1.76,2.89,4.01,9.09,7.11,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.02,0.01,0.01,0.02,0.04,0.03,0.01,0.03,0.02,0.02,0.02,0.07,0.11,0.24,0.25,0.67,0.72,0.52,0.88,1.11,0.81,0.68,0.73,0.48,:
Spain,12.28,3.89,7.57,7.98,8.9,8.9,11.26,15.25,11.77,11.56,16.46,16.47,10.53,20.77,25.71,40.61,17.59,6.37,17.65,25.85,31.75,27.86,5.51,5.51,:
France,36.47,58.22,79.86,101.6,142.23,123.05,119,84.31,96.86,113.17,125.95,88.24,103.82,152.93,110.02,203.99,167.52,260.42,185.91,226.75,309.58,235.91,244.49,245.82,:
Croatia,8,9.96,11.42,8.91,14.54,13.79,0.87,1.98,1.23,1.83,1.75,2.08,2.2,2.26,0.78,1.4,1.09,0.8,0.78,1,1.9,1.71,1,0.51,:
Italy,19.97,34.4,31.03,37.16,35.68,28.86,26.69,42.01,48.03,52.88,74.92,72.34,:,119.54,138.51,80.98,94.13,98.48,107.34,106.11,109.84,96.25,75.69,70.82,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,5.9,9.8,8.3,5.4,6.9,9.9,6.9,11.1,7.1,4.8,5.5,9.6,8,10.8,8.5,9.8,19.1,17.1,25.3,13.5,16.8,14.3,25.3,19.3,:
Lithuania,14.7,13.8,10.6,14.7,13.1,16,9.3,21.7,21.1,14.8,14.9,27.4,32.1,29.6,36.8,36.74,50.02,53.29,53.54,30.84,37.65,32.66,43.99,36.47,:
Luxembourg,0,0,0,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.24,0.23,0.21,0.17,0.15,0.36,0.59,0.92,0.95,0.75,0.3,0.21,0.36,0.49,:
Hungary,:,:,20.08,19.29,40.96,29.33,22.27,14.91,23.46,14.81,11.38,15.28,14.36,6.73,16.23,12.43,22.71,23.89,17.85,22.84,9.25,10.79,7.88,13.31,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,84.59,94.74,81.36,95.13,98.46,80.19,73.35,78.82,97.19,92.2,0,:,0,:,:,0,0,0,0,0,0,0,0,0,0
Austria,232.74,283.14,299.55,272.11,309.59,312.87,293.28,322.32,332.85,317.4,33.88,27.42,28.51,35.17,33.75,39.39,26.75,25.08,23.45,22.55,29.8,27.06,19.29,19.44,:
Poland,73.4,58.7,40,44.1,71.5,82.1,62.2,102.7,82,100,143.16,117.81,133.04,150.53,150.44,103.93,159.05,144.18,120.77,117.53,169.7,181.75,218.94,193.97,:
Portugal,9.38,3.94,5.8,3.28,3.99,1.27,2.7,0.83,1.67,1.66,1.36,1.07,0.79,1.19,1.77,2.06,3.21,2.68,3.1,1.66,1.54,1.48,1.12,1.54,:
Romania,0.35,1.47,1.66,2.38,6.6,0.43,1.8,2.33,2.85,2.21,5.88,6.29,7.17,6.26,6.95,3.78,7.37,6.02,5.49,1.4,1.39,2.73,1.87,3.23,:
Slovenia,1.09,1.35,1.87,1.36,1.32,3.02,2.03,2.3,2.32,2.44,2.22,2.38,2.57,2.41,4.11,3.97,4.01,3.95,4.71,3.69,4.31,4.57,3.57,2.9,:
Slovakia,1.5,1.7,1.7,3,4.2,4.8,4,1.8,2.2,3.1,0.76,0,2.9,0,1.06,1.37,3,1.41,1.88,1.84,1.75,2.02,1.83,1.81,:
Finland,7.8,1,1.6,2,2.7,0.7,2.6,3.5,1.6,1.2,0,0,0,0,:,0,0,0,0,1.02,0.92,0.72,1.12,1.28,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,0,0,24,0,:,:,:
Switzerland,:,:,:,:,:,:,0.61,0.81,1.01,0.1,0.1,0.07,0.07,:,0,0.69,0.24,0.89,1.03,1.86,1.2,1.26,1.26,1.33,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,1.01,1.01,1.01,0.83,0.94,0.68,0.99,0.94,1.05,1.54,1.2,1.37,0.69,1.32,1.06,1.18,0.76,:
Montenegro,:,:,:,:,:,:,:,0.05,0.12,0.17,0.14,0.21,0.19,0.31,0.23,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,2.79,2.89,2.66,2.24,2.34,2.29,2.72,7.92,10.2,15,14.5,10.98,12.54,17.57,12.61,10.82,:,:
Türkiye,5.3,6.7,7.7,7.6,7560,7.3,7,7,7,7,7,6,5,6,7,7,6.03,6.03,6.03,9.06,18.1,10.07,8.06,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.5,0.4,0.6,0.1,0.3,0.4,0.43,0.44,0.5,:,:
