,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,2.4,0,4.2,0,0,4.4,6.1,10.6,4.2,0.6,0,0,0,0,0,21.38,52.36,69.16,108.53,65.43,50.78,50.4,40.95,50.4,:
Czechia,3850.5,3616.92,2535.67,1817.06,2081.21,1935.57,1823.86,1762.17,1635.64,1575.83,1544.91,1535.76,1446.2,1445.29,1713.68,1479.8,1886.97,1726.56,1452.61,1650,1910.61,1936.76,1722.08,1628.02,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,4103.8,3924.09,3837.14,2611.69,3819.17,4220.37,4259.47,4485.09,4138.29,4390.13,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,:,:,:,458.7,554.8,809.9,496.1,754.2,986.3,912.9,780.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,349.6,317.5,272,265.6,256.1,978.3,941.5,895.2,721.2,1066.5,:,1452.5,:,:,:,788.32,1028.18,512.77,1249.47,859.4,1255.8,1291.46,1178.92,812.17,:
France,1665.14,1518.86,1546.86,1092.29,1552.86,1332.29,1424.29,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,240.41,277.7,314.65,124.54,299.55,301.1,291.39,268.02,451.02,381.17,308.23,272.19,214.19,240.65,442.69,432.76,333.18,243.68,292.49,342.13,312.95,313.8,219.9,299.89,:
Italy,:,:,:,:,:,:,:,:,6360,:,:,:,:,:,:,:,5879.3,8733.05,9495.65,8624.06,9306,8974.51,9548.47,10113.11,:
Cyprus,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,:,0,0,0
Lithuania,:,1151.1,799.4,1584.5,1808.3,2375.6,2199.8,2230.8,1949,1799.5,677.6,754,742.7,715.5,730.2,676.06,605.7,611.18,667.81,672.8,726,806,874,653,:
Luxembourg,2.86,5.43,6.86,5.14,8.86,12.57,11.43,12.57,9.43,8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,72.6,42.9,74.2,55.7,65.7,37.6,55,53.5,:,:,:,:,147.01,107.93,146.94,98.86,220.29,203.52,148.89,133.77,93.45,114.6,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0
Austria,154.18,157.2,169.41,126.69,166.77,208.7,216.48,169.06,192.03,190.59,1448.71,1336.02,1278.66,1157.89,1365.25,1069.77,1370.2,1109.07,1025.79,1071.93,1241.71,1154.94,1104.52,996.36,:
Poland,114.9,119,257.7,657.3,373.4,322.7,1607.6,1608.2,1419.9,1277.2,1894.5,:,:,:,:,1967.6,1732.87,1313.35,1387.53,1207.38,2566.59,1835.97,3594.81,3672.41,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,1022.81,1264.71,1395.51,1344.1,433.15,916.49,1039.43,770.64,922.77,931.02,1006.45,1109.52,862.17,1003.23,1056.27,963.46,923.93,1021.79,1109.97,830.7,757.79,692.44,582.75,521.05,:
Slovenia,18.36,11.77,15.22,9.81,16.7,23,15.76,21.08,29.46,34.54,38.69,35.46,30.16,:,:,64.34,79.46,61.94,63.87,57.63,49.17,51.3,38.26,43.57,:
Slovakia,170.6,168.4,162.5,110.7,177.6,155,161.5,162.9,187.5,166.4,:,:,:,:,:,281.82,310.6,233.75,267.51,238.29,205.42,213.51,186.26,246.46,:
Finland,0,0,0,155.2,163.2,172.6,0,0,87.8,0,0,0,0,0,0,0,0,13.32,0,19.81,12.22,5.87,17.12,19.8,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,0,25.71,24.17,:,:,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,2,0,1,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Bosnia and Herzegovina,200.11,291.61,377.24,248.87,327.9,344.06,339.8,185.16,275.7,243.13,230.26,211.18,173.37,209.22,217.74,207.17,231.13,179.63,224.29,240.01,236.34,192.42,161.46,206.99,:
Montenegro,:,:,:,:,:,:,:,2.39,3.32,3.3,2.88,2.97,2.19,2.69,2.47,2.2,2.49,2.39,2.51,2.54,2.67,2.57,2.62,:,:
North Macedonia,34.4,9.9,16.3,15.6,16.2,29.75,34.4,25.04,26.7,28.44,27.31,25.65,23.22,24.16,30.27,26.97,28.81,27.02,33.15,31.65,32.27,34.03,32.93,31.17,:
Albania,:,:,780,815.3,:,:,:,:,:,:,:,:,:,:,1347,:,:,:,897.71,861.43,888.4,855.49,912.97,789.89,:
Serbia,:,:,:,:,:,:,:,285.92,331.37,344.5,352.6,314.78,245.85,282.23,244.66,222.6,291.37,213.5,240.9,283.5,305.27,223.16,173.13,235.4,:
Türkiye,2007,2033,:,:,:,:,:,1814,762,:,:,:,:,:,0,0,0,2352,4667.14,2215.2,2510.06,2366.74,3440.23,0,0
Kosovo*,0,0,0,0,0,0,0,2.8,6.8,9.4,8,8,3.9,5.9,6.8,1.8,2.7,2.6,3.1,3.4,3.65,3.55,3.7,:,:
