,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bulgaria,20.1,33.7,34.3,61.3,51.4,57.4,28.6,35.8,43.8,80.4,0,0,0,0,0,31.95,51.92,27.15,36.69,16.12,21.99,11.96,19.08,11.04,:
Czechia,564.55,535.45,369.74,319.94,511.85,439.96,388.67,272.78,265.3,249.89,281.87,131.86,127.43,101.09,113.17,78.34,105.44,70.6,65.98,96.6,127.1,89.83,65.52,15.96,:
Denmark,5215.1,4854.1,4438.2,4438.2,2919.2,2114.9,1981.1,1864.1,1435.5,1497.7,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,:,:,47.6,45.7,5.3,9.8,4.5,7.5,2.5,1.2,12.8,3,7.6,11.8,17.9,5.9,:,:,:,:,:,:,:,:,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Spain,4661.8,3975.5,3536.1,3487.9,4533.4,4533.4,3863.6,4430.7,3509.5,3106.9,:,1945.73,1705.02,:,:,1147.44,1438.48,1318.36,1484.26,1412.77,1681.72,2074.52,2192.06,2192.06,:
France,22862.29,23543.71,23233.14,20069.14,19704,18184.57,3459.43,:,3307.14,3496.29,3184,:,:,:,:,2287.84,2865.25,3222.03,2965.9,3094.96,5435.84,6725.02,5219.76,5752.24,:
Croatia,72.04,109.14,90.8,73.9,54.35,27.29,42.12,44.46,101.03,136.32,172.36,108.94,201.96,396.71,392.07,330.09,243.55,98.26,81.62,78.11,120.09,76.7,105.36,103.61,:
Italy,15324,13901.3,13484.9,12387.6,12870.1,13680.3,:,:,9903.4,3821.2,:,:,:,:,:,:,0,0,0,0,126.64,80.07,58.8,17.95,:
Cyprus,:,:,:,97.7,17.1,17.27,16.67,22.52,2.72,29.9,41.2,28.84,31.49,23.55,5.96,65.03,5.6,23.74,26.26,31.95,3.3,4.1,5.4,3.2,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,:,0,:,0,0,:,0,0,0,:,0,:,:
Lithuania,:,:,:,:,:,:,:,203.7,:,:,15.1,28.9,30.8,28.1,49.4,19.5,16.95,6.87,15.2,10.8,52,36,23,16,:
Luxembourg,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,0,0,:,:,0,0,0,0,0,0
Hungary,:,:,193.6,175.9,306.9,228.5,143.6,114.4,208.9,179.7,:,:,:,:,590.47,501.44,754.54,650.54,583.88,582.57,585.82,604.85,471.11,507.66,:
