,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35.33,30.43,34.57,28.88,33.88,20.74,21.7,24.18,10.8,:
Czechia,11.2,4.76,5.51,5.52,4.54,2.91,3.54,3.59,3.73,3.18,1.8,2.09,1.56,2.29,1.07,1.6,0.28,0.49,0.96,0.55,0.43,0.44,0.34,0.19,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,1,0.49,0.54,0.35,0.92,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1112.65,904.01,783.4,123,947.8,769,700,836.7,914.2,821.9,738.33,690.12,760.2,633.55,917.74,787.29,774.89,935.12,968.72,926.62,890.58,594.16,894.61,824.87,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1581.51,1421.68,1799.69,1450.93,1545.61,1306.02,1197.84,870.72,1381.78,:
France,463.08,419.33,440.8,324.57,353.99,366.97,366.53,336.64,284.8,326.36,301.1,281.7,257.04,219.55,234.55,217.61,207,221.83,184.06,202.82,234.09,175.84,232.03,222.79,:
Croatia,6.94,7.09,8.04,4.85,6,5.17,4.72,3.7,5.32,7.81,6.36,8.94,4.62,5,4.4,5.26,4.62,7.27,3.35,4.21,4.21,2.83,3.81,2.96,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1430.47,1250.72,1090.68,1224.94,1015.35,996.86,1151.49,1033.84,:
Cyprus,:,:,:,:,4.02,4.03,4,4.11,4.15,4,3.53,3.69,3.52,3.37,3.66,3.81,2.65,2.14,1.62,1.84,2.29,2.34,2.1,2,:
Latvia,0,0,0,0,:,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
