,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Bulgaria,:,13.1,10.1,16.5,22.5,14.8,21.71,18.79,14.9,17.19,24.4,28.4,25.21,37.31,27.93,34.37,29.41,33.41,27.96,32.21,20.28,20.94,23.56,10.44,:
Czechia,11.2,4.76,5.51,5.52,4.54,2.91,3.54,3.59,3.73,3.18,1.8,2.09,1.56,2.29,1.07,1.6,0.28,0.49,0.96,0.55,0.43,0.44,0.34,0.19,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Germany,1,0.49,0.54,0.35,0.92,0.75,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Greece,970.33,782.46,678,110,836,681,618,737.2,805.2,733.9,639.39,591.7,655.81,552.23,771.8,631.83,631.84,781.44,815.66,774.58,754.52,513.71,751.83,696.56,:
Spain,1127.4,922.6,762.7,1270.8,742.8,905,896.25,846.85,833.41,784.5,757.34,802.39,736.57,820.14,931.07,964.11,902.88,1081.16,903.81,940.5,824.85,748.65,558.23,843.12,:
France,246.14,224.63,229.6,158.62,181.23,178.27,174.01,156.22,133.92,152.35,140.64,133.73,127.5,112.82,121.48,114.7,108.13,116.79,97.79,106.05,122.48,90.68,118.09,107.67,:
Croatia,:,:,:,:,:,:,:,:,:,:,5.47,7.81,3.52,3.61,3.19,3.66,3.16,6.25,2.19,2.75,3.01,1.97,2.51,1.77,:
Italy,1085.3,1078.8,1065.4,753.4,1066.5,1075.5,1054.1,1037.4,1012.1,1034.7,1017.55,1025.9,949.62,917.96,859.95,921.15,945.27,786.4,693.43,809.89,739.17,718.24,772.36,724.27,:
Cyprus,3.5,2.8,2.4,2.28,2.41,2.42,2.4,2.47,2.49,2.4,2.12,2.21,2.11,2.02,2.2,2.29,1.59,1.45,1.17,1.26,1.56,1.63,1.49,1.5,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Hungary,64.1,56.7,22.2,31.9,82.6,48.4,67.6,40.82,47.51,60.62,52.91,41.73,16.26,43.92,38.73,37.37,39.54,37.08,22.91,28.07,11.82,10.68,21.12,13.8,:
Malta,0.7,0.4,0.7,0.6,1.2,0.75,1.69,0.61,1.28,1.3,0.81,1.44,0.66,0.55,0.6,0.69,0.17,0.58,0.38,0.31,0.19,0.27,0.28,0.34,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.0,0.0,0.0,0,0,0,0,0
Austria,9.7,8.2,5.7,7.3,8.6,8.2,9.2,8.01,8.39,8.84,2.88,3.34,2.66,2.86,2.95,2.92,1.25,1.86,2.67,2.51,2.06,1.7,2.41,1.21,:
Poland,20,15.9,14.9,12.5,14.3,9.6,5.5,3.61,12.1,12.54,9.3,8.7,9.1,10.4,:,9.9,10.62,4.84,10.58,8.54,3.8,4.5,6.4,5,:
Portugal,48.25,17.88,43.72,40.01,34.99,31.64,31.56,33.17,29.28,30.43,25.08,26.24,22.92,17.36,31.2,35.64,24.58,31.65,32.39,34.02,26.43,32.02,24.95,27.44,:
Romania,18.06,16.42,12.7,17.67,17.4,28.03,16.88,16.39,16.13,16.23,10.57,20.88,16.43,17.99,23.34,20.88,22.44,18.15,21.75,17.19,15.47,13.56,11.86,12.73,:
Slovenia,11.19,4.72,8.94,5.36,13.32,12.48,10.19,8.09,5.78,8.88,6.93,7.63,5.55,0,4.17,5.55,4.69,2.46,4.46,3.79,2.02,0.33,1.95,1.02,:
Slovakia,2.8,0.9,1.4,2.7,3.5,2.5,3.16,1.14,2.87,3.21,1.9,1.75,2.01,2.37,1.97,2.11,1.13,1.55,1.56,1.47,1.08,0.91,1.25,0.88,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.0,0.0,0.0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0.0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,:,:,:,:
Bosnia and Herzegovina,4.07,4.12,4.92,1.2,4.73,6.16,7.24,7.44,8.31,8.87,8.71,8.72,7.71,8.33,8.76,9.23,7.73,5.47,9.43,10.61,6.41,6.22,30.08,34,:
Montenegro,:,:,:,:,:,:,:,1.45,1.35,1.47,1.4,1.46,1.5,1.46,1.28,0,0.8,1.24,1.24,0.98,1.19,1.22,1.25,:,:
North Macedonia,9.5,4.6,:,:,:,11.04,10.53,10.46,11.25,10.27,10.21,9.04,8.99,11.03,11.56,12.01,12.11,11.51,13.13,12.0,12.77,6.21,12.31,6.16,:
Albania,:,:,:,:,:,:,:,:,8,11,11.6,13.1,14.6,:,:,:,:,18.4,19.5,19.9,20.4,20.6,:,:,:
Serbia,:,:,:,:,:,:,:,77.99,74.42,90.61,87.92,91.37,64.32,91.01,91.35,96.5,86.21,54.59,50.2,48.2,41.4,30.87,31.84,30.81,:
Türkiye,:,460,408,430,335,465,507.2,487,503,502,:,493,544,564,532,561,585,665.0,668.0,686.0,730,713,804,:,:
Kosovo*,0,0,0,0,0,0,0,0.2,0.3,0.1,0.2,0.2,0.2,0.4,0.1,0.1,0.2,0.1,0.2,0.3,0.29,0.26,0.32,:,:
