,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,2.4,0.3,0.6,0.6,0.3,0.4,0.39,0.48,0.05,0.28,0.18,0.18,0.32,0.16,0.2,0.05,0.01,0.02,0.1,0.13,0.15,0.07,0.2,0.38,:
Bulgaria,:,73.2,48.9,46.4,49.2,18,21,23.02,14.3,17.25,33.6,32.3,22.95,37.64,24.64,36.18,48.63,49.19,56.43,56.19,60.02,65.12,56.65,57.74,:
Czechia,18.28,23.06,3.98,4.09,6.17,4.46,5.21,5.86,5.94,8.89,4.47,6.26,4.06,7.49,6.12,9.12,6.0,4.07,12.92,8.76,8.82,6.98,10.68,5.42,:
Denmark,0.5,0,0,0.3,0.3,0.3,0.3,:,:,:,0.07,0.26,0.29,0.28,0.32,0.34,0.36,0.36,0.39,0.45,0.29,0.32,0.49,0.48,:
Germany,60.27,40.91,46.03,52.26,83.81,44.74,56.97,71.29,35.67,82.51,53.22,64.11,39.84,55.18,63.06,51.43,42.06,26.59,70.12,52.14,51.32,44.46,51.37,49.63,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03,0.03,0.06,0.02,0.03,0.06,0.02,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Greece,3.21,3.13,2.9,2.9,3,3,3.5,2.1,2.1,4.2,15.12,14.67,15.74,23.14,24.09,22.24,23.78,25.46,28.79,20.54,21.2,21.41,24.41,18.73,:
Spain,155.7,149.7,168.5,230.3,145.6,251.8,178.71,201.39,184.6,200.1,199.67,230.88,210.72,172.35,232.77,217.29,193.6,172.33,152.98,179.84,153.59,179.32,157.37,162.94,:
France,198.28,264.66,234.16,242.69,217.91,203.18,224.86,242.06,153.78,231.78,248.52,170.73,188.97,167.43,199.59,163.01,216.43,211.03,175.44,205.11,225.9,106.28,99.99,214.12,:
Croatia,22.26,22.12,11.42,23.75,33.1,12.63,15.29,19.87,15.81,13.58,20.4,24.85,9.94,29.35,5.65,9.07,8.84,7.84,12.54,9.06,11.45,5.2,10.64,6.51,:
Italy,179.8,171.5,177.1,127.6,179.3,185.4,180.5,185.2,184.1,194.1,207.5,191.98,194.34,210.4,214.88,199.94,220.73,206.97,197.73,215.02,156.29,137.77,187.35,160.96,:
Cyprus,1.2,1.1,1.1,0.6,0.72,0.83,0.84,0.9,0.8,0.75,0.69,0.7,0.85,0.74,0.89,1.73,1.18,1.63,1.19,1.21,1.6,1.7,1.55,1.4,:
Latvia,2.1,2.4,2.9,1,1.1,2.4,1.5,0.3,0.2,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.06,0.1,0.1,0.11,0.1,:
Lithuania,:,:,:,1.36,1.39,1.57,3.86,0.59,1.07,1.91,0.75,0.97,0.74,0.86,0.87,0.61,0.6,0.3,0.38,0.47,0.53,0.44,0.83,0.98,:
Luxembourg,0.9,0.3,0.9,0.5,0.9,0.5,0.17,0.17,0.08,0.17,0.13,0.16,0.09,0.16,0.14,0.14,0.01,0.02,0.17,0.17,0.19,0.11,0.18,0.3,:
Hungary,91.3,89.8,49.3,45.4,67,36,64.6,30.77,55.97,51.49,70.85,37.34,43.27,48,45.12,46.02,47.56,43.3,46.69,45.25,27.04,33.25,34.97,40.07,:
Malta,0.2,0.1,0.1,0.1,0,0.31,0.45,0.02,0.14,0.3,0.05,0.12,0.2,0.14,0.15,0.09,0.06,0.06,0.04,0.04,0.01,0.01,0.06,0.03,0
Netherlands,4.8,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,6.48,6.3,6.5,6.5,6.87,6.8,6.51,6.4,6.43,:
Austria,57.3,75.3,43.3,69.5,69.6,61.6,80.3,68.36,63.43,71.73,15.76,20.65,14.38,17.83,14.31,16.74,7.78,9.72,29.56,12.78,17.86,13.85,10.5,6.37,:
Poland,106.9,131.9,102.9,109.6,132.6,91.4,93.6,53.47,113.58,120.72,83.8,91.8,102.5,102.4,106.1,94.9,109.5,58.4,121.08,94.95,117.4,117.4,133.2,127.1,:
Portugal,15.56,11.24,15.93,16.02,14.92,14.35,16.65,16.18,17.82,18.38,15.82,17.39,17.16,15.39,24.18,24.54,26.07,29.78,17.48,20.8,19.18,22.35,17.77,17.77,:
Romania,540.45,547.99,211.46,900.47,475.77,572.86,576,370.64,472.17,529.45,615.7,563.68,412.97,501.03,484.34,485.74,502.2,434.39,830.06,692.67,757.88,807.17,665.73,647.23,:
Slovenia,0.51,0.29,0.29,0.17,0.58,0.69,0.37,0.4,0.21,0.23,0.32,0.36,0.19,0.34,0.38,0.32,0.33,0.21,0.58,0.42,0.62,0.15,0.45,0.27,:
Slovakia,0.9,2.7,1.6,2,2.3,1.3,2.55,2.25,2.24,2.93,2.3,2.14,2.01,2.51,2.37,2.2,0.49,0.99,2.19,1.79,1.26,1.54,1.26,1.19,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Sweden,0.7,0.67,0.52,0.6,0.57,0.31,0.5,0.46,0.33,0.39,0.36,0.54,0.29,0.26,0.25,0.2,0.2,0.25,0.25,0.25,0.19,0.27,0.29,0.22,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,1.6,1.3,1.5,1.4,1.4,:,1.6,1.2,1.1,1.5,1.4,1.28,1.86,1.86,1.95,2.55,0.72,2.5,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.12,4.12,4.61,3.3,4.89,5.49,7.73,2.31,5.03,3.45,:
United Kingdom,5.3,14.8,12.6,15.1,13.6,15,14.1,13.8,:,:,13.2,15,7,18,12.0,11.0,9.2,8.0,8.7,7.4,:,:,:,:,:
Bosnia and Herzegovina,93.24,92.54,53.27,96.44,167.83,95.89,123.23,138.71,132.62,155.77,157.56,157.5,111.01,226.9,74.08,117.47,131.58,74.4,190.39,114.42,159.2,131.57,306.88,269.62,:
Montenegro,:,:,:,:,:,:,:,1.15,1.13,1.94,1.31,2.3,1.66,2.62,1.98,1.26,1.59,1.05,1.38,0.72,0.84,1.23,1.27,:,:
North Macedonia,23.4,13.3,:,:,:,25.25,29.75,27.77,32.83,35.61,38.43,35.45,35.44,38.9,33.1,41.48,33.68,17.88,37.72,32.3,34.98,27.03,39.51,21.31,:
