,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,4.77,2.88,2.81,3.01,0,0,0,0.0,2.19,2.69,0,0,0,0,0,2.58,1.91,2.38,2.36,3.36,2.5,3.4,3.06,3.95,:
Bulgaria,23.86,40.72,18.87,12.41,17.42,14.01,13.41,8.77,15.23,19.14,17.99,:,:,:,:,11.52,15.6,17.71,14.08,12.18,10.01,16.88,17.3,14.78,:
Czechia,150.1,149.3,119.2,159.3,313.3,196.8,74.8,177.5,209.79,178.1,118.2,118.46,146.96,176.28,129.06,107.87,104.35,109.24,120.16,157.56,172.36,126.58,128.15,124.95,:
Denmark,259.45,328.53,226.83,166.54,144.5,130.47,128.49,133.73,149.74,235.33,247.09,:,:,:,:,763.02,570.49,714.79,476.59,883.51,699.37,672.49,691.47,601.13,:
Germany,4154.1,5132.3,3666,2277.4,3830,2793.5,2643.7,2698.3,3744.2,4270,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,60.8,42.9,41.5,23.3,18.1,20.4,17.8,61.0,65.6,39.1,25,31,57.1,21.9,49.6,54.7,32.4,52.36,29.51,118.98,78.74,42.96,51.26,61.81,:
Ireland,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,32.61,31.64,26.18,27.16,17.24,17.77,37.3,38.6,37.91,42.12,44.05,38.26,29.03,35.39,28.76,22.73,29.44,20.24,18.96,17.89,17.58,17.46,16.4,16.24,:
Spain,225.12,103.86,180.71,181.01,166.48,129.44,168.84,267.48,289.79,184.49,264.41,:,:,:,:,292.82,392.71,144.84,404.28,261.55,407.62,315.75,188.88,125.21,:
France,144.1,114.65,137.58,110.99,168.81,145.59,120.09,115.44,122.06,128.29,149.28,122.96,158.44,:,:,122.15,95.87,108.44,108.54,135.36,132.42,194.29,157.64,161.55,:
Croatia,7.32,10.92,9.31,6.04,9.1,4.79,5.55,4.41,4.13,2.89,2.54,2.98,2.45,2.99,2.83,3.4,4.65,2.6,4.15,6.99,4.42,2.11,2.9,5.16,:
Italy,10.18,8.5,9.49,6.82,7.81,7.81,8.5,8.9,10.67,11.56,:,:,:,14.76,11.87,13.57,13.59,11.43,10.96,12.88,11.82,11.21,10.73,10.96,:
Cyprus,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,110.7,107.2,101.5,87.6,96.8,87.2,116.8,181.1,194.9,162.2,70.2,64,124.2,75.6,114.3,159.6,140.9,129.4,81.6,191.2,178.4,138.4,129,104.4,:
Lithuania,311.4,231.1,170.2,147.1,140.6,108.3,90,165.2,204.9,207.9,87,85,156.6,96.5,85.3,107.86,77.45,63.07,43.99,108.06,110.06,63.47,71.09,66.28,:
Luxembourg,3.56,4.74,7.58,4.65,7.62,5.65,6.23,6.92,8.5,6.88,6.84,:,:,:,:,5.68,4.13,4.62,6.17,6.44,4.72,7,6.15,8.82,:
Hungary,86,120.3,94.85,66.61,124.37,106.68,98.13,80.63,111.85,72.08,78.94,72.08,:,:,95.94,103.95,84.07,87.06,88.29,90.54,84.35,85.01,59.16,96.59,:
Malta,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,28.33,16.6,16.41,17.48,16.21,10.65,10.65,7.42,7.81,10.94,11.62,:,:,:,:,6.02,5.3,4.31,4.34,5.3,7.59,7.92,:,7.35,:
