,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,75,42.9,76.7,76.5,84.7,95.7,87.16,100.28,81.02,86.83,93.15,99.75,78.75,100.9,107.08,115.6,80.9,81.35,82.35,93.11,94.6,123.02,131.95,112.33,:
Bulgaria,0,0,0,0,0,0,0.44,0.74,0.49,0.43,0,0,0,1,1.7,0.46,1.06,0.37,0.33,0.58,0.91,0.41,0.52,0.16,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,5.83,6.04,6.59,6.08,4.8,:
Denmark,0,0,0,0,0,0,0,0,:,0.46,0.44,0.61,0.52,0.59,0.42,0.47,1.72,1.74,1.28,1.83,1.34,1.02,0.79,1.54,:
Germany,59.8,59.5,55.1,56.8,59.2,68.7,55.15,61.4,62.47,60.81,49.47,61.26,77.13,53.39,62.94,62.78,69.05,73.77,66.2,68.04,83.47,87.56,66.41,54.24,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.16,0.16,0.32,0.32,0.32,0.53,0.53,0.53,0.53,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,2.12,3.47,3.77,3.77,4.03,2.5,3.43,:
Greece,46.93,44.41,41.9,39.5,40.5,40.11,51.26,52.62,44.34,46.2,57.33,55.62,52.13,56.38,38.53,42.13,75.15,77.99,87.05,73.57,66.75,95.89,69.25,68.08,:
Spain,61.6,48,55.9,55.1,53.7,62.3,65.03,67.17,:,:,59.4,70.57,62.26,56.74,63.16,66.99,86.99,78.8,81.53,79.22,82.88,94.75,94.51,82,:
France,108.9,106.8,114,115.7,110.7,116.9,111.1,127.2,123.5,:,104.78,79.68,109.75,107.92,118.07,117.42,107.27,108.91,126.51,122.67,86.26,121.29,113.65,79.4,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.22,:
Italy,93,89.8,86.5,85.7,95.4,99.4,96.8,92.7,99.8,:,90.61,89.24,63.11,82.52,96.66,92.39,91.88,91.98,102.53,99.52,99.87,100.77,96.87,103.46,:
Cyprus,1.3,1.3,1.71,1.75,1.71,1.59,2.22,1.5,1.67,0.92,0.93,0.88,0.87,1.06,1.01,0.59,1.01,0.71,0.56,0.62,0.77,0.71,0.69,0.72,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,0.08,0.02,0.02,0.04,0.05,0.05,0.06,0.1,0.1,0.1,0.1,0.1,0.05,0.04,0.07,0.12,0.59,0.57,0.6,0.6,0.16,:
Luxembourg,:,:,:,:,:,0,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0.01,:
Hungary,7,:,7.4,6.6,6.8,1.7,2.1,2.95,3.31,2.8,1.99,5.38,6.46,5.16,6.52,7.43,9.64,8.62,8.28,8.39,8.89,11.8,12.11,13.7,:
