,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,25.04,37.42,32.09,32.4,15.35,60.38,29.78,:,26.31,22.15,33.54,30.6,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Greece,745.49,697.83,677.7,716,752,668,620,569.56,536.51,658.04,419,526.87,334.23,425.51,468,569.92,474.56,338.45,303.63,345.47,371.78,307.47,320.73,313.61,:
Spain,:,:,:,:,:,:,:,:,:,:,2287.65,1820.51,1899.56,1613.07,2567.9,2776.12,2841.23,3001.37,2708.84,3138.66,2562.74,3066.45,1999.09,2360.31,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,176.82,170.21,173.59,177.89,164.05,163.02,159.74,158.94,163.66,176.96,:
Croatia,0,0,0,0,0,0,0,0,9.48,14.06,8.08,8.91,6.94,7.5,7.36,9.91,6.92,12.02,10.98,7.89,7.48,5.57,3.56,4.86,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5835.7,5865.8,5478.12,5232.44,5201.61,5668.19,5595.4,5184.06,4987.48,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,:,0,0,:,0,0,0,0,0,0,0,0,0,0,:,:,0,:,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,69.52,70,:,:,117.79,:,:,:,:,:,:
Malta,:,:,:,:,:,7.83,10.29,8.65,9.81,6.78,8.8,8.51,6.23,7.23,8.04,7.88,7.88,7.19,6.83,5.97,6.66,5.27,4.16,4.71,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,900,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,154.7,134.1,160.87,158.18,149.93,138.7,107.4,89.1,56.4,66.7,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,1150.83,1298.9,1089.5,1310.37,1310.37,1598.4,1650.43,1226.11,1438.85,1255.3,1660.18,1413.84,1686.58,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.31,9.01,11.09,5.7,3.17,3.49,4.7,:,5.98,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:
