| Column  | Crop Type  |
|-----------|------------|
| | 0 | Province (NUTS 2 Region) |
| | 1 | Country |
| 2 | Harv_Sunflower_seed |
| 3 | Area_Sunflower_seed |
| 4 | Area_Durum_wheat |
| 5 | Harv_Durum_wheat |
| 6 | Harv_Barley |
| 7 | Harv_Common_wheat_and_spelt |
| 8 | Harv_Rice |
| 9 | Area_Cereals_for_the_production_of_grain_including_seed |
| 10 | Area_Barley |
| 11 | Area_Common_wheat_and_spelt |
| 12 | Harv_Sugar_beet_excluding_seed |
| 13 | Area_Rice |
| 14 | Area_Soya |
| 15 | Harv_Tobacco |
| 16 | Harv_Cereals_for_the_production_of_grain_including_seed |
| 17 | Harv_Soya |
| 18 | Area_Dry_pulses_and_protein_crops_for_the_production_of_grain_including_seed_and_mixtures_of_cereals_and_pulses |
| 19 | Area_Sugar_beet_excluding_seed |
| 20 | Area_Rape_and_turnip_rape_seeds |
| 21 | Area_Tobacco |
| 22 | Harv_Rape_and_turnip_rape_seeds |
| 23 | Area_Linseed_oilflax |
| 24 | Harv_Potatoes_including_seed_potatoes |
| 25 | Area_Potatoes_including_seed_potatoes |
| 26 | Area_Green_maize |
| 27 | Harv_Green_maize |
| 28 | Area_Cotton_fibre |
| 29 | Harv_Grain_maize_and_corn-cob-mix |
| 30 | Harv_Fibre_flax |
| 31 | Area_Sorghum |
| 32 | Harv_Cotton_fibre |
| 33 | Harv_Dry_pulses_and_protein_crops_for_the_production_of_grain_including_seed_and_mixtures_of_cereals_and_pulses |
| 34 | Harv_Sorghum |
| 35 | Area_Fibre_flax |
| 36 | Harv_Cotton_seed |
| 37 | Harv_Linseed_oilflax |
| 38 | Area_Grain_maize_and_corn-cob-mix |
| 39 | Harv_Sweet_lupins |
| 40 | Area_Sweet_lupins |
| 41 | Area_Rye_and_winter_cereal_mixtures_maslin |
| 42 | Harv_Rye_and_winter_cereal_mixtures_maslin |
| 43 | Area_Other_fibre_crops_nec |
| 44 | Harv_Other_fibre_crops_nec |
| 45 | Area_Other_cereals_harvested_green_excluding_green_maize |
| 46 | Area_Energy_crops_nec |
| 47 | Harv_Other_permanent_crops_for_human_consumption_nec |
| 48 | Harv_Energy_crops_nec |
| 49 | Harv_Other_cereals_harvested_green_excluding_green_maize |
