Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,belgium
Prov. Antwerpen,belgium
Prov. Limburg (BE),belgium
Prov. Oost-Vlaanderen,belgium
Prov. Vlaams-Brabant,belgium
Prov. West-Vlaanderen,belgium
Prov. Brabant wallon,belgium
Prov. Hainaut,belgium
Prov. Liège,belgium
Prov. Luxembourg (BE),belgium
Prov. Namur,belgium
Severozapaden,bulgaria
Severen tsentralen,bulgaria
Severoiztochen,bulgaria
Yugoiztochen,bulgaria
Yugozapaden,bulgaria
Yuzhen tsentralen,bulgaria
Praha,czechia
Střední Čechy,czechia
Jihozápad,czechia
Severozápad,czechia
Severovýchod,czechia
Jihovýchod,czechia
Střední Morava,czechia
Moravskoslezsko,czechia
Hovedstaden,denmark
Sjælland,denmark
Syddanmark,denmark
Midtjylland,denmark
Nordjylland,denmark
Stuttgart,germany
Karlsruhe,germany
Freiburg,germany
Tübingen,germany
Oberbayern,germany
Niederbayern,germany
Oberpfalz,germany
Oberfranken,germany
Mittelfranken,germany
Unterfranken,germany
Schwaben,germany
Berlin,germany
Brandenburg,germany
Bremen,germany
Hamburg,germany
Darmstadt,germany
Gießen,germany
Kassel,germany
Mecklenburg-Vorpommern,germany
Braunschweig,germany
Hannover,germany
Lüneburg,germany
Weser-Ems,germany
Düsseldorf,germany
Köln,germany
Münster,germany
Detmold,germany
Arnsberg,germany
Koblenz,germany
Trier,germany
Rheinhessen-Pfalz,germany
Saarland,germany
Dresden,germany
Chemnitz,germany
Leipzig,germany
Sachsen-Anhalt,germany
Schleswig-Holstein,germany
Thüringen,germany
Eesti,estonia
Northern and Western,ireland
Southern,ireland
Eastern and Midland,ireland
"Border, Midland and Western (NUTS 2013)",ireland
Southern and Eastern (NUTS 2013),ireland
"Anatoliki Makedonia, Thraki (NUTS 2010)",greece
Kentriki Makedonia (NUTS 2010),greece
Dytiki Makedonia (NUTS 2010),greece
Thessalia (NUTS 2010),greece
Ipeiros (NUTS 2010),greece
Ionia Nisia (NUTS 2010),greece
Dytiki Ellada (NUTS 2010),greece
Sterea Ellada (NUTS 2010),greece
Peloponnisos (NUTS 2010),greece
Attiki,greece
Nisia Aigaiou,greece
Voreio Aigaio,greece
Notio Aigaio,greece
Kriti,greece
"Anatoliki Makedonia, Thraki",greece
Kentriki Makedonia,greece
Dytiki Makedonia,greece
Ipeiros,greece
Thessalia,greece
Ionia Nisia,greece
Dytiki Elláda,greece
Sterea Elláda,greece
Peloponnisos,greece
Galicia,spain
Principado de Asturias,spain
Cantabria,spain
País Vasco,spain
Comunidad Foral de Navarra,spain
La Rioja,spain
Aragón,spain
Comunidad de Madrid,spain
Castilla y León,spain
Castilla-La Mancha,spain
Extremadura,spain
Cataluña,spain
Comunitat Valenciana,spain
Illes Balears,spain
Andalucía,spain
Región de Murcia,spain
Ciudad de Ceuta,spain
Ciudad de Melilla,spain
Canarias,spain
Ile de France,france
Centre — Val de Loire,france
Bourgogne,france
Franche-Comté,france
Basse-Normandie,france
Haute-Normandie,france
Nord-Pas de Calais,france
Picardie,france
Alsace,france
Champagne-Ardenne,france
Lorraine,france
Pays de la Loire,france
Bretagne,france
Aquitaine,france
Limousin,france
Poitou-Charentes,france
Languedoc-Roussillon,france
Midi-Pyrénées,france
Auvergne,france
Rhône-Alpes,france
Provence-Alpes-Côte d’Azur,france
Corse,france
Guadeloupe,france
Martinique,france
Guyane,france
La Réunion,france
Mayotte,france
Champagne-Ardenne (NUTS 2013),france
Picardie (NUTS 2013),france
Haute-Normandie (NUTS 2013),france
Centre (FR) (NUTS 2013),france
Basse-Normandie (NUTS 2013),france
Bourgogne (NUTS 2013),france
Nord-Pas-de-Calais (NUTS 2013),france
Lorraine (NUTS 2013),france
Alsace (NUTS 2013),france
Franche-Comté (NUTS 2013),france
Pays de la Loire (NUTS 2013),france
Bretagne (NUTS 2013),france
Poitou-Charentes (NUTS 2013),france
Aquitaine (NUTS 2013),france
Midi-Pyrénées (NUTS 2013),france
Limousin (NUTS 2013),france
Rhône-Alpes (NUTS 2013),france
Auvergne (NUTS 2013),france
Languedoc-Roussillon (NUTS 2013),france
Provence-Alpes-Côte d'Azur (NUTS 2013),france
Corse (NUTS 2013),france
Guadeloupe (NUTS 2013),france
Martinique (NUTS 2013),france
Guyane (NUTS 2013),france
La Réunion (NUTS 2013),france
Mayotte (NUTS 2013),france
Guadeloupe (NUTS 2010),france
Martinique (NUTS 2010),france
Guyane (NUTS 2010),france
Réunion (NUTS 2010),france
Panonska Hrvatska,croatia
Jadranska Hrvatska,croatia
Kontinentalna Hrvatska (NUTS 2016),croatia
Grad Zagreb,croatia
Sjeverna Hrvatska,croatia
Sjeverozapadna Hrvatska (former statistical region),croatia
Piemonte,italy
Valle d’Aosta/Vallée d’Aoste,italy
Liguria,italy
Lombardia,italy
Provincia Autonoma Bolzano/Bozen (NUTS 2006),italy
Provincia Autonoma Trento (NUTS 2006),italy
Veneto (NUTS 2006),italy
Friuli-Venezia Giulia (NUTS 2006),italy
