,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.19,0.14,0.16,0.17,0.14,0.14,0.1,0.14,0.13,:,:
Prov. Antwerpen,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0,0.4,0.4,0.38,0.41,0.52,0.48,0.52,0.59,0.62,0.7,0.69,:,:
Prov. Limburg (BE),3.1,3,2.9,2.8,2.6,2.5,3,3.3,3.2,3,2.5,2,2.3,2.5,2.52,2.74,3.12,2.84,2.63,3.05,3.2,2.97,3.26,:,:
Prov. Oost-Vlaanderen,2.6,3.5,2.2,2.5,2.1,1.9,2.2,2.1,2.4,2.4,2,2,2.2,2.2,2.1,2.62,3.07,2.75,2.8,3.06,3.3,2.88,3.4,:,:
Prov. Vlaams-Brabant,5.2,5.7,5.2,5.1,4.9,5,5.7,5.8,5.6,5.4,5,5,4.9,5.1,4.81,5.22,5.74,5.06,4.85,5.12,4.82,4.59,4.82,:,:
Prov. West-Vlaanderen,1.2,2.5,1.3,1.6,1.5,1.3,1.8,1.9,2.1,2.4,2.4,3,2.7,3.4,3.39,4.32,5.32,4.21,4.08,4.45,4.01,3,3.78,:,:
Prov. Brabant wallon,4.7,4.4,3.9,3.5,3,3.3,4.6,5.1,6,5.4,4.1,4,4.5,4.6,4.45,4.14,4.63,3.5,3.09,3.45,2.99,2.94,3.52,:,:
Prov. Hainaut,8.7,9.3,7.8,7.8,6.9,7.4,9.7,9.9,11.8,11.9,10,9,9.6,9.7,9.64,9.7,11.36,9.41,8.44,9.47,8.52,7.76,9.32,:,:
Prov. Liège,7.7,7,7.1,5.4,5,5.3,6.9,6.6,7.8,7.6,5.8,5,5.4,5.6,5.18,4.69,5.48,4.27,3.48,3.78,3.16,2.7,4.05,:,:
Prov. Luxembourg (BE),2.7,2.9,2.5,2.8,2.4,2.4,2.4,1.9,2.4,2.5,2.1,2,1.7,2.3,2.65,3.01,3.29,2.58,2.56,2.73,2.62,2.12,2.92,:,:
Prov. Namur,12.3,12.8,12.1,8.9,9.9,10.6,12.2,11.7,13.1,13,10.6,11,11.2,11,11.71,11.39,12.76,10.01,9.58,10.93,10.66,8.43,10.56,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,41.2,43.8,48.3,46.35,33.93,32,33.38,37.12,28.36,27.57,28.37,21.26,19.04,22.71,15.27,15.96,:,:
Severen tsentralen,:,:,:,:,:,:,:,41.7,44.3,61.4,61.04,35.69,38.9,41.13,43.23,35.64,33.3,23.32,19.11,20.76,23.51,24.73,22.11,:,:
Severoiztochen,:,:,:,:,:,:,:,35.6,40.3,51.4,45.76,31.95,32.2,27.56,31.04,24.72,30.89,23.9,17.08,21.23,26.02,29.31,30.92,:,:
Yugoiztochen,:,:,:,:,:,:,:,52.3,67.5,72.5,68.41,58.97,67.4,67.94,75.77,57.08,47.93,35.79,28.7,33.29,35.23,38.86,33.05,:,:
Yugozapaden,9.8,9.3,13.4,6.5,:,:,:,4.4,9.3,6,6.1,4.04,6.7,6.76,7.95,8.61,5.77,5.71,5.77,6.03,8.1,6.34,6.89,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,11.7,17.4,18.9,17.66,14.42,14.3,20.7,19.58,21.56,14.38,11.27,11.65,11.68,15.19,11.8,13.48,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,2.4,2.3,1.6,1.9,1.7,1.46,2.39,2.51,2.5,2.2,2.02,2.14,1.94,1.66,1.89,1.79,1.7,1.62,1.41,1.47,1.4,1.19,1.3,:,:
Střední Čechy,89.1,86.8,93,97.9,88.8,102.61,99.02,98.4,93.4,92.5,74.03,73.54,75.45,69.31,70.06,71.33,64.71,62.24,61.56,59.9,62.23,60.46,62.28,:,:
Jihozápad,92,95.6,90.9,100.5,86,94.74,95.45,89.24,87.1,81.8,70.32,65.85,68.58,63.27,59.82,65.59,59.04,59.84,57.8,55.87,56.21,56.56,59.76,:,:
Severozápad,36.6,36.6,38.4,37.4,35.6,42.94,41.85,40.02,38.9,31.5,25.29,28.29,27.91,24.22,26.16,27.34,23.48,24.15,21.99,22.14,23.45,24.21,24.28,:,:
Severovýchod,58.5,57.4,61.7,65,56.1,65.28,66.57,62.27,59.8,54.2,46.47,43.93,46.83,43.42,42.34,43.64,38.24,39.45,41.37,40.23,41.49,41.27,41.99,:,:
Jihovýchod,132.9,130.6,121.6,144.6,120.1,128.68,135.89,123.19,116.8,112.5,100.33,92.95,90.46,84.43,85.44,88.81,78.47,80.77,78.03,77.27,80.89,79.97,80.6,:,:
Střední Morava,56.5,58.8,55,75.8,56.4,60.51,60.94,59.3,58.9,57.4,50.88,48.04,52.23,45.69,47.6,48.65,43.72,43.83,46.38,46.74,49.42,46.53,48.33,:,:
Moravskoslezsko,26.7,27,25.9,26.9,24.3,25.31,26.04,23.77,24.9,22.7,19.6,18.05,18.93,16.99,17.22,18.82,16.37,15.81,16.2,15.96,16.84,16.56,15.98,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,18.5,17.9,20.4,17.9,16,18.6,23.3,19.2,18.8,18,20.9,19.9,25.8,18.9,20.6,18.8,18,:,:
Sjælland,:,:,:,:,:,:,123.6,116.6,159,122.1,115.7,124.1,152.6,128,120.3,130.5,134.7,127.2,166.6,124.6,125.9,109.8,113.4,:,:
Syddanmark,:,:,:,:,:,:,195.6,179.7,211,172,162.4,168.5,207.3,192,168.4,179.4,198.5,187.5,222.4,160.5,180.3,176.1,176.9,:,:
Midtjylland,:,:,:,:,:,:,143.7,132.6,149.8,127.8,195.4,203.2,225.8,239.9,206.1,208.1,238,222.9,252.6,190.8,215.1,213,205.5,:,:
Nordjylland,:,:,:,:,:,:,104.3,97.4,100.3,82,85.8,88.2,114.4,110.1,90.7,95.1,114.8,107.7,128.1,88.5,111.3,103.9,100.7,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,87,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,30.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,58.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,68.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,52.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,85.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,77.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,69.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,71.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,45.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
