,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.7,0.8,0.96,0.94,0.94,0.91,1.05,1.1,0.95,1,1.01,:,:
Prov. Antwerpen,9.7,8.7,10.5,10.9,11,11,12,12.2,13.1,11.7,10.9,10,10,10.4,9.43,8.45,8.13,7.38,7.88,7.88,8.21,7.81,8.55,:,:
Prov. Limburg (BE),18.9,18,19,18.9,19.7,20,21,21.1,22.6,21.3,20.7,20,20.3,21.4,20.53,19.91,20.07,18.27,18.35,18.66,18.4,18.4,19.68,:,:
Prov. Oost-Vlaanderen,28.9,24.4,29.9,30.5,32.4,32.9,33.7,33.7,36.1,34.2,33.4,32,35.2,32.6,31.61,31.88,31.52,28.56,28.81,28.77,28.69,28.13,31.08,:,:
Prov. Vlaams-Brabant,31.7,29.8,32.2,32.7,33.3,33.3,33.3,34.1,36.1,35,35.3,35,34.9,35.4,34.52,35.35,35.1,32.66,32.7,32.82,32.12,32.07,32.94,:,:
Prov. West-Vlaanderen,40.4,32.2,40.7,40.8,44.3,45.7,45.7,46.2,52.5,49.5,48.9,46,51.1,43.5,43.42,46.49,44.33,39.04,39.57,39.03,36.23,37.22,42.2,:,:
Prov. Brabant wallon,27,25.2,25.6,24.9,25.6,25.4,26.6,27,30.4,27.9,27.6,28,28.6,28.5,27.73,28.61,28.07,24.55,24.92,25.68,24.98,26.28,26.41,:,:
Prov. Hainaut,64,58.6,62.2,61.8,63.8,64.2,66.3,66.5,73.3,70.8,70.8,70,71.5,71.5,70.37,72.83,72.76,66.94,65.45,68.4,66.71,68.83,70.86,:,:
Prov. Liège,32.3,31.4,31.7,30.5,30.6,31.3,32.6,32.3,36.7,34.5,32.9,32,32.5,33.3,32.57,32.85,32.37,29.76,28.29,29.33,28.05,29.67,30.12,:,:
Prov. Luxembourg (BE),11.7,11,11.3,11.4,11.3,10.7,10.6,9.7,11.4,11.1,10.6,9,10.1,12.4,13.21,14.27,14.08,12.51,12.17,12.95,12.84,13.31,12.49,:,:
