,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0.6,0.64,0.65,0.67,0.6,0.73,0.76,0.7,0.75,0.71,:,:
Prov. Antwerpen,1.5,1.1,1.3,1.3,1.5,1.6,1.7,1.7,1.6,1.4,1.4,1,1.2,1.3,1.33,1.53,1.55,1.42,1.27,1.56,1.47,1.63,1.87,:,:
Prov. Limburg (BE),9.5,8.8,8.7,8.5,9,9.2,9.2,8.8,9.2,8.9,8.9,8,8.5,8.8,9.09,9.2,9.45,8.45,8.5,8.87,8.62,9.44,9.32,:,:
Prov. Oost-Vlaanderen,13.2,8,12.5,11.1,13.1,13.6,13.5,14.1,13.9,13.4,14.4,11,14.1,11.9,12.15,13.63,13.64,12.17,11.87,12.46,11.98,12.74,12.48,:,:
Prov. Vlaams-Brabant,20.5,16,17.6,17.4,19.1,19,18.5,17.9,18.1,17.9,18.7,17,18.3,17.4,17.86,18.59,18.94,17.64,17,17.96,16.91,18.09,16.57,:,:
Prov. West-Vlaanderen,29.2,18.9,27.4,25.7,29.2,30,29.4,30.3,32.2,29.7,31.1,24,31.5,20.6,24.75,27.97,27.11,23.7,22.7,24.01,21.26,23.63,23.53,:,:
Prov. Brabant wallon,21.7,20.3,21.1,20.8,22,21.4,21.2,20.8,22.4,20.9,21.8,21,22.1,21.3,21.52,22.21,21.61,19.3,19.75,20.03,19.86,20.95,20.22,:,:
Prov. Hainaut,53.3,47.2,52.1,51.3,54.4,54.1,53.9,54,57.5,54.5,56.7,54,56.6,55,56.08,58.16,57.25,53.28,52.63,54.54,52.3,55.51,54.42,:,:
Prov. Liège,23.9,23.5,23.5,24,24.6,25.1,24.7,24.8,27.5,25.6,25.8,26,25.8,26.1,26.09,26.72,25.41,23.82,23.03,23.9,23.14,25.2,24.51,:,:
Prov. Luxembourg (BE),5.7,5,5.4,4.9,5.4,5.2,5.2,5,6.2,5.6,5.2,5,4.9,6,6.23,7.33,6.46,5.67,5.62,5.77,5.87,6.23,6.25,:,:
Prov. Namur,34.5,32.3,32.7,34.3,34.8,34.6,33,32.6,35.6,33.6,34.9,34,33.5,34.2,35.01,35.8,33.63,31.54,32.57,33.89,32.55,35.02,34.58,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,232.85,240.97,240.8,275.84,273.84,227.14,:,243.98,262.72,:,264.02,276.59,279.05,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,227.98,240.27,240.6,253.24,243.61,223.52,221.82,217.06,225.29,:,233.62,228.23,233.24,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,256.77,265.35,265.7,300.66,301.11,264.35,:,277.93,293.82,278.31,265.74,266.26,260.06,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,217.7,207.31,236.1,260.37,256.27,219.7,232.44,236.41,244.88,243.45,249.3,244.25,244.95,:,:
Yugozapaden,:,:,:,28.2,:,:,:,:,:,:,44.32,42.82,53.2,66.83,59.81,56.87,56.08,47.53,51.82,:,52.83,51.37,48.24,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,122.94,105.05,129.9,144.62,126.83,104.62,128.68,110.79,118.56,:,126.86,130.52,128.97,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,7.4,6.9,5.1,3.4,3.7,3.73,3.54,3.58,3.78,4.3,4.31,4.62,4.47,4.45,4.31,4.19,4.47,4.32,3.84,3.94,3.3,3.64,3.87,:,:
Střední Čechy,203.2,187.6,169.3,141.2,178.5,168.42,163.85,164.79,163.14,168.4,178.05,180.23,172.49,175.73,177.73,176.9,178.46,176.75,170.48,175.38,169.11,168.28,179.67,:,:
Jihozápad,175.9,172.5,156.5,118.1,156.2,148.27,142.8,149.08,145.17,146.3,141.71,146.47,134.55,138.75,141.5,136.43,136.27,139.37,139.19,138.84,134.65,132.94,144.23,:,:
Severozápad,79.5,77.2,70.4,60.7,82.3,74.65,72.67,74.29,73.86,76.8,79.98,81.05,79.53,77.94,76.44,75.1,77.94,76.73,76.7,78.78,74.02,72.91,77.88,:,:
Severovýchod,136,126.6,120.2,97.8,121.9,117.75,111.02,115.09,116.17,117.7,117.55,122.85,116.93,119.47,120.74,122.94,122.4,122.41,117.23,126.56,118.24,116.3,125.78,:,:
Jihovýchod,211.8,205.4,190.4,141.8,189.1,177.87,168.67,181.09,179.57,189.7,185.03,193.46,187.89,185.75,188.47,186.22,191.62,187.89,187.45,188.29,178.69,171.98,192.84,:,:
Střední Morava,107.7,103.9,93.3,52.8,90.6,89.1,82.3,86.72,84.36,88.9,87.69,91.82,81.41,86.52,86.32,87.22,87.99,85.2,84.85,87.23,81.46,78.77,88.04,:,:
Moravskoslezsko,48.9,43.1,43.6,32.6,40.9,40.66,36.66,36.37,36.27,39.2,39.25,42.64,38.11,40.79,40.42,40.84,40.58,39.4,39.96,40.43,39.11,39.95,42.13,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,32.2,28.6,26.4,30.1,31,32,26.6,26.4,28.9,28.5,27.3,25.7,21.1,24.8,23.7,25,23.1,:,:
Sjælland,:,:,:,:,:,:,158,155.8,138.8,156.6,164.2,169.9,141,140.6,155.1,152.3,146.7,138.7,99.9,140.5,129.4,140.9,125.5,:,:
Syddanmark,:,:,:,:,:,:,187.2,190,178.1,210.6,213.4,201.7,169.9,149.2,177.6,171.4,158.8,162.6,114.1,158.7,137.2,148.7,136.7,:,:
Midtjylland,:,:,:,:,:,:,109.4,112.4,104.6,123.4,208.2,201.1,171.5,146.4,178.6,168.5,151.8,156.3,115.9,153.2,131.6,135.5,130.4,:,:
Nordjylland,:,:,:,:,:,:,130,128.7,124.7,143.7,146.8,142.2,105,105.4,121.8,111.8,98.5,103.3,74.7,96.3,80.7,87.6,81.8,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,85.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,36.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
