,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.03,0.03,0.07,0.04,0.09,0.11,:,:
Prov. Antwerpen,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.01,0.13,0.05,0.03,0.04,0.05,0.11,0.05,0.33,:,:
Prov. Limburg (BE),0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0.2,0.1,0.18,0.1,0.09,0.07,0.04,0.06,0.07,0.08,0.2,:,:
Prov. Oost-Vlaanderen,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0,0,0,0.12,0.04,0.07,0.08,0.17,0.19,0.2,0.23,0.57,:,:
Prov. Vlaams-Brabant,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0.04,0.06,0.09,0.12,0.12,0.13,0.11,0.12,0.14,:,:
Prov. West-Vlaanderen,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0,0.1,0.1,0.13,0.28,0.2,0.28,0.31,0.33,0.3,0.38,0.63,:,:
Prov. Brabant wallon,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0.05,0.13,0.15,0.16,0.17,0.27,0.45,0.46,0.56,:,:
Prov. Hainaut,0.7,0.6,0.4,0.5,0.5,0.6,0.4,0.3,0.3,0.3,0.3,0,0.2,0.2,0.19,0.34,0.38,0.46,0.48,0.68,0.83,1.23,1.93,:,:
Prov. Liège,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.1,0.1,0.1,0.2,0,0.2,0.2,0.29,0.3,0.43,0.34,0.42,0.59,0.66,0.71,1.07,:,:
Prov. Luxembourg (BE),0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0.4,1,0.8,0.7,0.66,0.83,0.81,1.08,1.31,1.36,2,1.99,3.26,:,:
Prov. Namur,0.5,0.6,0.5,0.9,0.9,0.8,0.5,0.4,0.3,0.3,0.4,1,0.2,0.2,0.3,0.54,0.61,0.79,0.75,0.91,1.22,1.55,2.5,:,:
