,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Antwerpen,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Limburg (BE),0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Oost-Vlaanderen,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Vlaams-Brabant,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. West-Vlaanderen,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Brabant wallon,:,0,0,0,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Hainaut,:,0,0,0,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Liège,:,0,0,0,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Luxembourg (BE),:,0,0,0,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Prov. Namur,:,0,0,0,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Severozapaden,:,:,:,:,:,:,:,:,:,:,0.37,0.08,0.4,0.19,0.45,0.01,:,0.38,0.82,:,:,0.2,0.81,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,0.04,0.02,0.3,0.06,0.01,0,0.28,0.21,0.13,:,:,0.21,0.32,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,4.76,6.83,1.6,0.16,0.09,0.04,:,0.35,0.87,0.82,0.41,0.48,0.57,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,19.65,14.41,4.1,4.83,3.5,6.18,8.11,5.85,8.13,5.72,5.04,6.13,6.99,:,:
Yugozapaden,:,:,:,1.3,:,:,:,:,:,:,0.43,0.01,2.6,3.59,0.31,0.37,0.05,0.02,0.21,:,0.05,0.27,0.12,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,3.67,14.34,9.7,3.91,2.09,3.13,4.85,4.01,4.75,:,2.21,1.66,3.24,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Střední Čechy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Jihozápad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Severozápad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Severovýchod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Jihovýchod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Střední Morava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Moravskoslezsko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Extra-Regio NUTS 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Hovedstaden,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Sjælland,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Syddanmark,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Midtjylland,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordjylland,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Extra-Regio NUTS 2,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuttgart,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,0.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,0.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,0.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,0.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,0.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,1.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,0,0,0,0,0.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Chemnitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Sachsen-Anhalt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schleswig-Holstein,:,:,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Thüringen,0.7,0.3,0.7,1.8,1.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Eesti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,0,0,0,0
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Northern and Western,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0
