,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,:,:,:,:,:,:,:,:,:,:
Prov. Antwerpen,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.5,0.47,:,:,:,:,:,:,:,:,:,:
Prov. Limburg (BE),0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.8,0.19,:,:,:,:,:,:,:,:,:,:
Prov. Oost-Vlaanderen,0,0,0,0,0,0,0,0,0,0,0,4,0.9,1,0.93,:,:,:,:,:,:,:,:,:,:
Prov. Vlaams-Brabant,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.6,0.32,:,:,:,:,:,:,:,:,:,:
Prov. West-Vlaanderen,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0.9,0.88,:,:,:,:,:,:,:,:,:,:
Prov. Brabant wallon,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.4,0.03,:,:,:,:,:,:,:,:,:,:
Prov. Hainaut,0,0,0,0,0,0,0,0,0,0,0,2,1.7,2.3,0.32,:,:,:,:,:,:,:,:,:,:
Prov. Liège,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,0.17,:,:,:,:,:,:,:,:,:,:
Prov. Luxembourg (BE),0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.13,:,:,:,:,:,:,:,:,:,:
Prov. Namur,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.9,0.18,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Severen tsentralen,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Severoiztochen,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Yugoiztochen,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Yugozapaden,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Yuzhen tsentralen,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,0
Extra-Regio NUTS 2,0,0,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,:,0,:,:,0,0,0
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0.1,:,:,:,:,:,:,:,:,:,:
Sjælland,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:
Syddanmark,0,0,0,0,0,0,0,0,0,0,:,:,:,:,1.7,:,:,:,:,:,:,:,:,:,:
Midtjylland,0,0,0,0,0,0,0,0,0,0,:,:,:,:,1.8,:,:,:,:,:,:,:,:,:,:
Nordjylland,0,0,0,0,0,0,0,0,0,0,:,:,:,:,1.8,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Chemnitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
