,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.29,0.31,0.27,0.31,0.4,0.4,0.39,0.4,0.45,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41.16,43.45,46.44,46.5,46.87,47.56,47.15,46.97,45.81,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.04,25.18,24.51,24.93,25.44,25.43,24.99,24.72,23.49,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.32,44.9,44.43,45.46,47.69,47.43,48.29,49.33,46.97,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.52,13.87,13.87,14.37,14.57,14.74,14.13,14.36,13.64,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.63,44.35,43.85,44.87,48.43,47.28,48.84,49.86,47.65,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.44,5.65,5.62,5.46,6.16,6.29,6.57,6.64,5.93,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30.92,30.14,29.37,30.43,31.84,30.83,32.51,33.7,31.44,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.25,12.85,14.08,13.66,13.86,13.58,14.42,14.23,13.42,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,:,:,:,22.59,24.36,26.35,25.74,26.72,26.63,26.57,26.44,25.98,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.05,17.54,18.68,18.23,20.42,20.34,21.15,22.27,21.28,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,12.81,:,:,:,17.41,22.67,24.7,:,22.08,21.88,21.58,19.07,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,15.19,:,:,:,14.11,17.07,23.61,:,19.85,15.68,16.69,14.46,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,20.51,:,:,:,18.81,27.88,20.13,:,20.53,22.57,20.95,17.09,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,8.46,:,:,:,16.63,22.66,27.83,:,27.7,26.26,27.59,26.8,:,:
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,4.01,:,:,:,8.3,9.91,9.66,:,13.78,14.79,13.6,13.9,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,27.95,:,:,:,26.22,33.78,31.19,:,37.09,37.76,38.53,35.19,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,1.18,0.92,0.67,0.51,0.54,0.65,0.75,0.57,0.41,0.61,0.51,0.62,0.58,0.5,0.66,0.81,0.73,0.62,0.71,1.03,0.89,1.25,1.04,:,:
Střední Čechy,106.18,98.59,81.56,75.59,77.92,73.27,66.41,59.19,60.71,56.91,59.33,59.84,60.39,63.75,62.45,65.54,66.2,63.05,65.36,71.25,72.61,70.28,65.25,:,:
Jihozápad,154.99,143.23,118.34,116.95,119.06,114.92,106,91.05,89.61,88.23,93.25,94.26,96.8,103.64,105.15,107.43,111.43,104.63,103.81,111.28,114.68,111.96,103.74,:,:
Severozápad,58.39,53.31,31.51,26.55,26.88,25.65,23.33,19.18,18.46,16.86,16.5,16.8,17.14,17.87,19.7,21.46,22.43,21.84,23.66,27.03,28.35,27.45,25.27,:,:
Severovýchod,129.53,113.65,93.88,91.81,93.04,87.39,84.68,77.85,75.32,71.44,75.75,77.93,79.59,84.7,82.77,86.03,87.49,82,82.98,89.54,89.4,89.85,84.46,:,:
Jihovýchod,140.42,131.6,118.49,113.73,108.74,104.11,105.24,99.1,96.91,93.03,97.52,102.18,108.62,113.5,116.1,122.81,123.53,126.35,124.9,129.7,129.94,123.44,118.85,:,:
Střední Morava,77.88,72.02,55.8,54.42,49.22,45.91,46.38,43.2,40.26,37.5,41.15,41.19,43.04,46.25,47.6,48.07,47.04,46.03,48.12,48.46,49.07,48.85,47.29,:,:
Moravskoslezsko,48.79,48.92,27.22,26.12,23.05,21.93,21.64,19.86,18.6,18.49,19.11,18.88,20.56,21.16,19.7,19.73,18.89,18.64,19.06,21.36,21.81,22.21,21.19,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.6,16.9,12.7,12.4,12.5,13,12.2,11.9,12.6,:,:
Sjælland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,28.5,31.9,24.1,24.4,24.8,26.4,24.6,24,23.8,:,:
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,216.4,241.8,203.1,192.6,200.2,206.8,208.9,196.5,189.5,:,:
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,175.5,195.3,153.9,149,151.5,158.8,157.8,151.5,147.4,:,:
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,127.8,143.3,119.9,113.7,115.8,123.8,122.3,116,115.2,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Chemnitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Sachsen-Anhalt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schleswig-Holstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Thüringen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Eesti,410.3,307.6,270.8,180,157.6,206.9,172.9,187.7,168.8,146,204.6,175.2,167.4,166.2,162.2,147,:,:,:,:,:,178.05,179.41,185.41,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Northern and Western,:,:,:,:,:,:,:,:,:,:,:,:,:,13.81,13.98,12.98,12.83,12.2,12.04,10.43,10.23,8.18,7.71,:,:
Southern,:,:,:,:,:,:,:,:,:,:,:,:,:,67.02,65.25,63.73,64.05,64.16,66.86,61.58,58.88,51.63,48.46,:,:
Eastern and Midland,:,:,:,:,:,:,:,:,:,:,:,:,:,37.7,37.28,35.83,35.5,37.1,39.34,36.98,36.11,32.92,32.81,:,:
"Border, Midland and Western (NUTS 2013)",39.2,39,39.6,45.17,40.87,39.01,37.18,38.28,34.9,33.26,30.7,31.84,32.59,32.21,31.57,30.39,30.33,:,:,:,:,:,:,:,:
Southern and Eastern (NUTS 2013),90.8,98.9,98.1,100.07,97.11,90.96,92.02,94.56,97.47,92.42,85.61,86.57,85.73,86.33,84.94,82.14,82.04,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"Anatoliki Makedonia, Thraki (NUTS 2010)",:,:,:,:,:,:,:,2.02,2.01,2.08,1.37,2.29,2.92,2.97,3.02,:,:,:,:,:,:,:,:,:,:
Kentriki Makedonia (NUTS 2010),:,:,:,:,:,:,:,17.09,13.79,14.16,1.95,18.85,20.55,17.08,19.61,:,:,:,:,:,:,:,:,:,:
Dytiki Makedonia (NUTS 2010),:,:,:,:,:,:,:,0.61,0.53,0.55,1.04,1.27,0.75,19.39,0.98,:,:,:,:,:,:,:,:,:,:
Thessalia (NUTS 2010),:,:,:,:,:,:,:,5.52,4.84,5.06,0.65,3.57,6.84,16.73,7.94,:,:,:,:,:,:,:,:,:,:
Ipeiros (NUTS 2010),:,:,:,:,:,:,:,1.98,1.72,1.79,2.72,6.63,2.44,2.75,3.3,:,:,:,:,:,:,:,:,:,:
Ionia Nisia (NUTS 2010),:,:,:,:,:,:,:,1.39,1.1,1.13,0.62,1.65,1.66,2.33,1.62,:,:,:,:,:,:,:,:,:,:
Dytiki Ellada (NUTS 2010),:,:,:,:,:,:,:,18.71,14.58,14.86,3.28,22.41,22.2,21,20.45,:,:,:,:,:,:,:,:,:,:
Sterea Ellada (NUTS 2010),:,:,:,:,:,:,:,3.94,3.11,3.18,20.61,5.39,4.7,3.16,6.38,:,:,:,:,:,:,:,:,:,:
Peloponnisos (NUTS 2010),:,:,:,:,:,:,:,2.59,2.07,2.13,8.03,3.15,3.1,6.71,4.04,:,:,:,:,:,:,:,:,:,:
