,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.04,0.03,0.01,0.02,0.03,0.06,0.01,0.01,0.03,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,1,0.6,0.6,0.45,0.45,0.52,0.45,0.38,0.39,0.4,0.42,0.32,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,1,0.5,0.5,0.55,0.52,0.51,0.42,0.36,0.38,0.37,0.35,0.27,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,1,1.2,1,0.75,0.75,0.67,0.61,0.55,0.57,0.54,0.57,0.53,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,0,0.4,0.3,0.3,0.25,0.25,0.2,0.15,0.15,0.14,0.17,0.13,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,1,0.7,0.3,0.43,0.51,0.45,0.45,0.44,0.47,0.39,0.5,0.35,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.11,0.14,0.22,0.23,0.33,0.27,0.11,0.14,0.06,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,0,0.3,0.4,0.46,0.45,0.54,0.45,0.46,0.46,0.47,0.41,0.4,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,0,0.5,0.5,0.41,0.44,0.42,0.57,0.52,0.48,0.32,0.3,0.26,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,1,1.1,1.4,1.43,1.18,1.31,1.18,1.34,1.55,1.43,1.17,1.3,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,1,0.6,0.9,0.8,0.83,1.09,0.97,1.01,1.27,0.9,1.02,0.74,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,1.34,:,:,:,:,1.38,:,0.67,0.71,:,0.96,:,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,0.52,:,:,:,:,0.44,:,0.37,0.58,:,0.47,:,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,1.18,:,:,:,:,1.52,:,1.13,1.44,:,1.43,:,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,0.96,:,:,:,:,2.75,:,4.15,3.53,:,3.22,:,:,:
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,1.17,:,:,:,:,2.29,:,2.55,2.47,:,2.7,:,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,3.43,:,:,:,:,7.72,:,6.31,6.48,:,7.15,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,0.1,0.2,0.2,0.1,:,:,:,:,:,:,:,:,:,:
Sjælland,:,:,:,:,:,:,:,:,:,:,:,1.7,1.5,1.1,1.2,:,:,:,:,:,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,4.5,3.6,2.1,2.6,:,:,:,:,:,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,13.1,10.3,5.7,6.6,:,:,:,:,:,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,7.3,6.4,4.3,5,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
