,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.05,0.08,0.07,0.12,0.08,0.06,0.05,0.07,:,:
Prov. Antwerpen,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.04,0.01,0.03,0.01,0.06,0.02,0.02,0.03,:,:
Prov. Limburg (BE),:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.05,0.02,0.05,0.04,0.01,0.01,0.03,0.02,:,:
Prov. Oost-Vlaanderen,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.08,0.08,0.06,0.07,0.04,0.04,0.03,0.04,:,:
Prov. Vlaams-Brabant,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.18,0.14,0.24,0.24,0.29,0.3,0.41,0.49,:,:
Prov. West-Vlaanderen,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.23,0.21,0.23,0.26,0.19,0.12,0.16,0.15,:,:
Prov. Brabant wallon,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.7,0.76,0.83,0.89,0.84,0.78,0.8,0.81,:,:
Prov. Hainaut,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,1.6,1.39,1.47,1.7,1.39,1.14,1.12,1.3,:,:
Prov. Liège,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,1.76,2.03,1.87,1.9,1.58,1.03,1.23,1.29,:,:
Prov. Luxembourg (BE),:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.57,0.62,0.64,0.68,0.5,0.5,0.32,0.42,:,:
Prov. Namur,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,6.02,6.12,5.32,5.41,4.28,4.02,4.01,4,:,:
Extra-Regio NUTS 2,:,0,0,0,0,0,0,0,0,0,:,:,:,0,0,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,66.43,49.9,35.9,51.41,43.05,32.33,38.81,33.56,13.65,:,11.18,11.52,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,39.3,24,34.21,45.08,32.72,36.55,35.56,42.63,36.16,:,23.43,17.26,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,61.01,12.8,16.62,34.44,37.24,35.23,39.7,44.24,28.26,:,16.45,13.8,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,46.4,31,32.46,45.03,43.01,48.73,38.91,47.98,58.91,:,61.15,65.1,:,:
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,1.15,1.4,2.5,2.71,3.35,5.8,2.78,4.39,1.12,:,2.48,2.63,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,17.02,15.4,12.98,11.53,11.04,12.87,4.89,9.83,13.09,:,16.12,19.03,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
