,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1.59,0.89,0.57,0.58,0.66,0.76,0.77,0.75,1.03,0.76,0.85,2.85,5.83,7.49,8.58,8.75,6.13,7.68,8.45,9.74,7.85,7.49,8.5,:,:
Prov. Antwerpen,88.48,78.65,99.21,91.18,108.24,107.45,83.38,104.97,119.59,108.18,100.37,91.2,85.78,92.11,97.53,79.59,43.06,75.2,43.23,71,64.88,63.73,66,:,:
Prov. Limburg (BE),156.5,153.82,159.43,154.66,177.35,173.19,160.11,179.85,204.03,204.75,182.87,184.3,192.89,206.21,203.52,193.4,129.91,165.66,142.42,167.9,152.56,158.82,176.98,:,:
Prov. Oost-Vlaanderen,255.31,223.93,269.54,286.28,318.3,316.83,308.56,303.09,345.27,357.5,331.13,313.5,307.04,325.24,327.18,328.72,233.32,282.73,225.57,278.84,261.1,271.22,271.07,:,:
Prov. Vlaams-Brabant,263.55,262.75,269.16,277.82,305.35,283.29,282.63,287.07,324.18,340.74,318.52,308.75,310.52,336.33,342.75,338.47,250.25,308.36,263.97,310.5,286.07,281.43,302.02,:,:
Prov. West-Vlaanderen,333.76,261.86,348.39,378.05,418.6,406.89,411.61,395.13,497.1,491.4,487.09,434.15,450.04,421.05,420.77,478.63,358.13,378.74,352.76,390.94,337.51,329.72,389.74,:,:
Prov. Brabant wallon,219.36,217.17,207.41,200.35,207.79,202.92,219.49,213.78,251.83,246.65,232.16,207.1,228.87,247.53,251.94,259.13,187.27,213.51,203.7,231.31,219.7,212.22,243.91,:,:
Prov. Hainaut,495.92,446.46,480.39,499.56,545.47,516.23,509.74,484.63,597.38,633.87,589.06,583.3,587.59,613.24,615.57,658.94,458.77,562.42,543.81,622.53,563.95,519.57,609.26,:,:
Prov. Liège,260.17,278.15,263.14,253.23,269.05,256.41,263.83,254.17,305.25,306.17,267.35,268.85,262.04,293.97,297.34,293.11,206.6,249.13,232.6,262.14,247.6,224.34,269.44,:,:
Prov. Luxembourg (BE),61.47,59.78,59.74,60.95,57.1,55.1,54.85,46.39,64.67,65.71,54.18,50.35,55.24,71.55,78.57,82.79,61.78,67.48,67.06,75.26,68.17,62.02,71.86,:,:
Prov. Namur,359.28,358.78,365.69,337.8,381.83,357.49,347.99,341.71,389.41,410.07,357.47,354.35,343.59,376.13,411.18,412.16,293.58,331.33,347.48,395.89,356.3,322.09,371.38,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,526.77,:,:,1892.79,1987.98,1684.69,2353.33,2569.93,2234.43,2263.9,2550.6,2790,3094.43,2817.77,2942.46,2227.85,:,:
Severen tsentralen,:,:,:,:,:,:,:,706.35,:,:,1737.94,1816.77,1587.65,2281.2,2177.42,2195.39,2064.78,2180.22,2380.09,2918.68,2282.12,2863.99,2373.74,:,:
Severoiztochen,:,:,:,:,:,:,:,872.12,:,:,1868.92,2022.93,1988.47,2441.98,2520.46,2289.28,2383.7,2728.42,2731.19,2639.81,1338.13,2961.76,2642.2,:,:
Yugoiztochen,:,:,:,:,:,:,:,691.82,:,:,1001.62,1095.57,1181.99,1322.54,1462.57,1212.15,1326.53,1408.27,1298.77,1472.43,1050.67,1716.95,1492.88,:,:
Yugozapaden,:,:,185.5,104.9,:,:,:,125.35,:,:,197.41,194.6,203.24,285.07,288.71,256.71,256.76,233.14,270.93,306.45,322.02,315.96,297.83,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,354.05,:,:,578.88,586.14,545,682.69,655.39,541.01,649.45,636.62,639.57,700.02,788.36,838.86,756.93,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
