,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,:,:,0,0,0.1,0,0,0.05,0.09,0.15,0.13,0.36,0.15,0.51,0.49,:,:
Prov. Antwerpen,0.2,0.1,0.2,0.5,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0,0,0.2,0.07,0.18,0.12,0.14,0.06,0.28,0.43,0.18,2.34,:,:
Prov. Limburg (BE),0.1,0,0.1,0.2,0.4,0.4,0.2,0,0.1,0.2,0.2,1,1.2,0.7,1.01,0.22,0.42,0.23,0.09,0.23,0.24,0.3,0.76,:,:
Prov. Oost-Vlaanderen,0.6,0.3,0.5,0.7,1,0.4,0.3,0.3,0.3,0.5,0.8,0,0.2,0.2,0.42,0.15,0.22,0.41,0.6,0.78,0.68,0.92,2.37,:,:
Prov. Vlaams-Brabant,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.3,1,0.1,0.1,0.22,0.22,0.29,0.4,0.39,0.6,0.41,0.41,0.79,:,:
Prov. West-Vlaanderen,1,0.6,1,1.1,0.8,0.8,0.5,0.6,0.5,0.7,0.7,0,0.3,0.5,0.84,1.18,0.59,1.3,1.38,1.78,1.41,1.81,3.9,:,:
Prov. Brabant wallon,0.6,0.9,0.2,0.5,0.3,0.4,0.3,0.4,0.6,0.6,0.8,0,0.2,0.3,0.2,0.52,0.83,0.66,0.85,1.37,1.89,2.42,2.15,:,:
Prov. Hainaut,2.6,2,1.6,2.7,2,1.6,1.3,0.9,1.3,1.3,1.4,1,0.5,0.7,1,1.3,1.36,1.65,1.71,3.4,4.41,4.78,9.98,:,:
Prov. Liège,0.8,1.3,1,1,0.8,0.8,0.9,0.4,0.4,0.8,0.6,1,0.4,0.6,1.56,1.1,1.2,1.42,1.41,2.1,2.41,2.84,4.94,:,:
Prov. Luxembourg (BE),0.1,0.1,0.2,0.5,0.1,0.2,0.6,0.9,0.7,1.9,1.2,2,1.1,0.6,2.86,2.94,2.31,5.29,7.47,4.87,9.03,5.88,11.95,:,:
Prov. Namur,1.7,2.4,1.9,3.8,3,2.3,1.4,1.2,0.9,1.5,1.8,1,0.3,0.3,1.63,2.01,1.92,2.95,3.07,3.55,4.14,5.39,10.48,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,:,:,2.42,1.03,:,27.34,:,26.84,18.82,14.35,15.4,8.82,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,1.62,0.3,:,15.6,:,17.87,10.66,5.78,6.69,3.11,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,0.82,0.68,:,11.46,:,32.83,8.13,4.38,7.55,5.25,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,2.15,0.61,:,8.77,:,31.07,14.29,9.17,7.71,7.33,:,:
Yugozapaden,:,3.6,:,1.4,:,:,:,:,:,:,:,:,:,1.12,0.44,:,1.73,:,2.16,2.15,2.77,1.51,1.28,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,0.91,0.5,:,1.76,:,11.82,5.66,6.11,4.04,3.85,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,0.3,0.3,0.1,0.2,0.3,:,:,:,0,0.1,:,0.23,0.25,0.27,0.26,:,:,:,:,:,:,:,:,:,:
Střední Čechy,12,13.5,11.3,7.6,11.2,:,:,:,5.7,7.9,:,9.34,5.25,6.19,9.35,:,:,:,:,:,:,:,:,:,:
Jihozápad,19.2,18.4,12,10.3,16.3,:,:,:,7.8,8.7,:,9.2,5.91,5.39,7.54,:,:,:,:,:,:,:,:,:,:
Severozápad,3.1,4,3.6,3.6,6.8,:,:,:,2.9,4.2,:,4.26,2.64,3.31,4.81,:,:,:,:,:,:,:,:,:,:
Severovýchod,21.4,19.5,15.2,13.9,16.6,:,:,:,10,12.7,:,13.73,9.72,8.36,11.16,:,:,:,:,:,:,:,:,:,:
Jihovýchod,18.4,24.9,15.5,17.9,26.9,:,:,:,17,23.9,:,21.21,11.17,11.7,15.45,:,:,:,:,:,:,:,:,:,:
Střední Morava,9.4,10,6.5,7.6,8.7,:,:,:,3.9,3.4,:,4.45,2.97,2.33,3.84,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,1.1,0.8,0.9,1,1.5,:,:,:,0.6,1.1,:,1.15,1.23,0.73,1.4,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,0.7,0.4,0.2,1,0.4,0.69,0.89,0.99,1.48,3.06,3.66,6.03,5.44,4.55,:,:,:,:,:
Sjælland,:,:,:,:,:,:,8,4,4.9,6.9,6.42,4.55,6.42,4.55,9.09,10.97,9.49,14.33,15.81,16.9,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,6.7,4.4,4.5,3.2,7.41,5.24,4.65,5.63,7.71,13.94,16.21,29.35,26.39,23.82,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,11.1,7,3.5,8.8,13.24,13.34,10.38,9.78,11.47,14.92,17.3,26.19,24.41,22.93,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,6,3.6,0.9,2.6,5.93,2.97,3.85,3.26,3.16,7.91,8.2,12.26,16.21,16.51,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
