,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,4.4,2.2,2.1,2.1,2.4,1.9,1.6,2.2,2,2.2,1.5,:,5,8.3,9.95,8.03,5.19,8.27,9.9,9.27,9.17,9.01,10.02,:,:
Prov. Antwerpen,1118,1150.4,1132.4,1097.2,1173.9,1185.1,895.4,1101.2,1229.6,1201.2,1164.1,:,1048.8,1171.1,1328.67,1232.21,667.59,1408.66,872.26,1108.19,1257.53,1022.32,1251.14,:,:
Prov. Limburg (BE),672.6,674.7,658.5,595.4,671.9,620.6,471.3,658.9,671.4,675.4,668.9,:,721.9,736.9,815.16,769.65,561.75,781.52,514.36,664.57,645.32,676.27,700.96,:,:
Prov. Oost-Vlaanderen,1494.3,1680.4,1570.1,1629,1644,1592.8,1439.7,1588.1,1697.6,1760,1662.5,:,1371.9,1686.5,1606.23,1595.38,1289.02,1624.44,1276.97,1493.45,1541.31,1499.64,1610.43,:,:
Prov. Vlaams-Brabant,435.3,460.8,471.9,437.1,456,407.5,358,389.4,412.9,409,417.6,:,385.6,406.8,452.62,458.7,377.9,492.04,369.42,384.56,415.66,371.16,410.59,:,:
Prov. West-Vlaanderen,1407.7,1718.3,1551.9,1633.3,1598.8,1469.1,1412.1,1585.5,1744.3,1705.7,1678.1,:,1301.5,1682.2,1786.65,1584.87,1484.46,1523.36,1460.28,1479.61,1608.57,1518.25,1603.4,:,:
Prov. Brabant wallon,204.3,151.5,162.2,152.8,170.4,156.9,147.5,155.7,189.9,180.4,189.3,:,186.9,164,186.55,186.08,167.95,157.19,159.97,153.12,176.21,146.93,179.72,:,:
Prov. Hainaut,1111,1177.8,1226.3,1290,1147.6,1099.4,916.4,1107,1186.9,1208.6,1125.9,:,1007.4,926.3,1198.93,1110.62,935.32,1039.07,935.74,937.68,1033.03,999.54,1040.71,:,:
Prov. Liège,275.7,291.8,333.6,345.8,380.1,344.1,281.4,379,396.1,416.7,393.4,:,406,385,433.2,435.28,373.78,415.06,346.67,371.9,403.01,370.23,421.06,:,:
Prov. Luxembourg (BE),275.4,288.7,327.1,324.9,364.5,379.4,295.8,360.2,388.9,406.3,350.5,:,326.9,306.9,354.94,299.96,324.34,366.55,347.62,332.83,365.25,375.96,392.02,:,:
Prov. Namur,430.6,464.6,520.6,521.4,481,488.8,381.6,529.5,564.1,553.4,526.2,:,539.3,522.4,539.6,488.72,470.92,468.76,494.7,467.9,510.4,550.23,558.4,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,13.5,4.3,24.4,:,30.8,:,:,:,:,106.42,:,92.56,80.8,88.35,72.13,98.89,:,:
Severen tsentralen,:,:,:,:,:,:,:,148,33.1,50.5,:,44.66,:,:,:,:,63.23,:,95.51,103.39,96.79,68.46,74.78,:,:
Severoiztochen,:,:,:,:,:,:,:,54.3,85.3,116.5,:,70.35,:,:,:,:,208.71,:,147.26,130.16,139.8,155.08,115.83,:,:
Yugoiztochen,:,:,:,:,:,:,:,59.2,48.2,64.1,:,48.08,:,:,:,:,68.75,:,114.21,97.54,90.72,112.98,134.51,:,:
Yugozapaden,:,53.2,136.1,26.5,:,:,:,12.5,10.8,19.4,:,18.35,:,:,:,:,42.3,:,85.2,56.5,68.03,38.63,92.6,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,26.2,62,35,:,40.52,:,:,:,:,133.2,:,159.78,119.64,158.08,128.36,142.41,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,2.62,3.11,3.21,2.43,3.21,:,:,:,2.53,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,527.68,522.39,540.41,414.27,495.23,:,:,:,448.56,461.57,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,953.51,858.69,865.64,718.81,856.9,:,:,:,824.99,898.38,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,145.03,132.94,138.67,105.16,133.52,:,:,:,101.9,92.33,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,646.39,635.22,589.07,497.13,557.79,:,:,:,520.2,531.08,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,757.81,734.3,771.99,586.01,655.28,:,:,:,679.27,682.77,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,408.73,403.19,370.02,325.77,314.35,:,:,:,297.4,285.99,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,167.77,165.58,161.06,122.59,122.55,:,:,:,109.38,118.81,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,72.8,95,107.3,107.1,:,:,:,:,107.8,:,:,:,:,:,:,:,:,:,:
