,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.18,:,:,:,:,:,:,:,:,:,:
Prov. Antwerpen,0.1,0,0,0,0,0,0.2,0.2,0.3,0.1,0.1,0,0.1,0,0.01,:,:,:,:,:,:,:,:,:,:
Prov. Limburg (BE),0,0,0,0,0,0,0.3,0.5,0.1,0.1,0.1,0,0.2,0.3,0.17,:,:,:,:,:,:,:,:,:,:
Prov. Oost-Vlaanderen,0.2,0.2,0.1,0,0,0,0.6,0.4,0.2,0.2,0.2,0,0.3,0.5,0.32,:,:,:,:,:,:,:,:,:,:
Prov. Vlaams-Brabant,0.2,0.2,0.1,0.2,0.2,0.3,1.1,1,0.4,0.8,0.9,1,1,0.8,0.86,:,:,:,:,:,:,:,:,:,:
Prov. West-Vlaanderen,0.1,0,0.2,0.2,0,0.1,1.1,1.5,0.6,0.7,1.3,1,1.2,1.6,1.11,:,:,:,:,:,:,:,:,:,:
Prov. Brabant wallon,0.3,0.2,0.1,0.3,0.4,0.5,1.2,1.9,2.1,1.8,2.2,3,3,4.2,3.47,:,:,:,:,:,:,:,:,:,:
Prov. Hainaut,1.7,1.9,2.1,1.6,2.4,2.6,4.1,5.2,3.3,4.7,5.5,7,7,7.8,7.28,:,:,:,:,:,:,:,:,:,:
Prov. Liège,1.6,2.5,2.4,2.8,3.6,3.6,5.7,6.9,5.3,7.1,8.6,10,8.5,11.1,9.94,:,:,:,:,:,:,:,:,:,:
Prov. Luxembourg (BE),0.9,0.9,0.6,0.5,0.9,0.7,1.4,1.7,1.5,1.5,1.4,1,1.3,1.7,1.84,:,:,:,:,:,:,:,:,:,:
Prov. Namur,9.1,12.4,12.7,11.1,15.2,16,18.3,21.4,19.5,24.7,25.1,29,25.5,27.4,28.09,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,143.84,463.02,423.53,603.12,520.99,411.43,587.41,660.6,:,:,:,:,:,:,:,:,:,:
Severen tsentralen,:,:,:,:,:,:,:,168.91,346.54,392.46,495.4,503.93,437.89,592.92,558.84,:,:,:,:,:,:,:,:,:,:
Severoiztochen,:,:,:,:,:,:,:,185.6,420.38,420.02,521.39,521.14,422.34,562.47,589.2,:,:,:,:,:,:,:,:,:,:
Yugoiztochen,:,:,:,:,:,:,:,112.68,218.32,217.48,283.93,280.2,277.21,370.27,504.83,:,:,:,:,:,:,:,:,:,:
Yugozapaden,:,5.6,10.2,13.8,:,:,:,6.59,10.94,18.94,24.34,26.83,25.55,44.33,51.24,:,:,:,:,:,:,:,:,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,39.16,77.66,84.28,152.97,110.83,100.89,159.43,182.99,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
Praha,4,7.9,4.1,3.4,5.5,:,:,:,7.4,7,6.43,6.47,6.15,9.13,9.36,:,:,:,:,:,:,:,:,:,:
Střední Čechy,166.36,216.45,148.23,121.57,212.66,:,:,:,244.47,252.03,229.71,240.85,254.51,321.85,341.12,:,:,:,:,:,:,:,:,:,:
Jihozápad,196.46,230.65,162.13,85.11,204.96,:,:,:,220.98,242.34,225.85,215.76,231.67,276.6,299.02,:,:,:,:,:,:,:,:,:,:
Severozápad,45.59,59.09,51.28,40.66,44.97,:,:,:,80.46,85.54,80.57,83.53,90.25,122.61,120.1,:,:,:,:,:,:,:,:,:,:
Severovýchod,127.37,147.97,102.16,78.31,184.88,:,:,:,172.11,186.68,166.62,166.89,175.46,217.69,240.27,:,:,:,:,:,:,:,:,:,:
Jihovýchod,217.85,237.95,190.62,122.47,216.36,:,:,:,225.78,249.24,237.37,243.75,238.67,317.07,333.16,:,:,:,:,:,:,:,:,:,:
Střední Morava,103.28,87.28,73.37,39.16,100.13,:,:,:,108.04,115.32,110.5,119.99,119.5,162.4,169.99,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,50.99,46.79,38.28,22.97,62.06,:,:,:,59.47,63.86,57.88,56.67,62.38,75.31,82.22,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,24.8,27.9,27.7,32.4,30.4,15.3,22.6,34.6,34.1,:,:,:,:,:,:,:,:,:,:
Sjælland,:,:,:,:,:,:,100,139.4,119.5,149.5,147.3,90.8,98.1,195.7,190,:,:,:,:,:,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,127.1,181.1,179.3,177.7,177.3,163,115.7,207.7,205.9,:,:,:,:,:,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,114,152.1,190.1,176.2,143.2,129.3,155.5,155.8,177.7,:,:,:,:,:,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,68.6,88,112.6,101.6,81.6,109.9,92.8,93.9,101.2,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,79.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,26.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,21.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,59.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,77.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,47.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,55.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,48.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,43.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,83.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,47,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,0,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,38.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,39.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,83.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,726.9,858.9,756,757,1055.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,66.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,:,:,:,93,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,:,:,:,68.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,:,:,:,50.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,:,:,:,9.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,:,:,:,10.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,:,:,:,23.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,:,:,:,74.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,:,:,:,41.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,58.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,11,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,19.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,8.2,7.6,8.9,7,10.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,110.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Chemnitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Sachsen-Anhalt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schleswig-Holstein,347.4,366.4,334.6,388.6,503.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Thüringen,327,395.3,335.5,318.8,438.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Eesti,38.6,41.3,66,69.2,68.6,:,:,:,:,:,131,144.2,157.8,174,166.2,:,:,:,:,:,:,:,:,:,:
