,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,0,0.2,0.1,0.26,0.19,0.07,0.13,0.2,0.43,0.09,0.09,0.17,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,2.97,3.95,4.14,3.36,3.42,2.56,2.51,2.2,3.01,2.09,2.68,2.11,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,2.97,3.16,3.63,3.53,3.28,2.59,2.01,1.62,2.55,1.71,1.93,1.64,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,4.95,8.2,7.57,5.43,5.84,3.63,3.88,3.32,3.75,4.14,4.12,3.93,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,1.98,2.57,2.22,1.88,1.89,1.46,1.42,1.17,1.01,1.04,0.78,0.84,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,3.96,6.03,2.62,3.76,4.4,3.43,3.85,3.59,3.41,3.23,4.18,3.08,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,0.99,0.79,1.01,0.81,0.78,1.29,1.68,1.3,1.3,0.69,0.88,0.39,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,1.98,2.67,3.13,3.22,3.75,2.73,2.8,3.19,3.79,3.64,2.83,2.78,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,1.98,3.16,3.43,2.69,3.23,1.86,2.72,2.33,3.47,2.14,2.01,1.63,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,4.95,6.52,9.29,8.53,7.81,6.42,6.52,7.58,9.07,7.95,6.39,8.75,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,2.97,3.66,6.26,5.94,6.05,5.28,6.03,5.92,8.27,6.31,6.15,4.89,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,4.76,:,:,:,:,4.06,:,2.42,2.24,:,5.21,3.07,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,2.05,:,:,:,:,1.9,:,1.21,2.45,:,1.98,5.97,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,4.71,:,:,:,:,5.74,:,3.83,4.62,:,5.64,3.42,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,2.26,:,:,:,:,8.5,:,11.63,11.93,:,11.15,7.02,:,:
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,3.39,:,:,:,:,5.9,:,6.17,6.35,:,6.48,5.49,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,10.24,:,:,:,:,24.93,:,15.94,16.59,:,23.76,17.98,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,0.69,0.79,0.89,0.79,:,:,:,:,:,:,:,:,:,:
Sjælland,:,:,:,:,:,:,:,:,:,:,:,8.6,8.01,5.53,7.51,:,:,:,:,:,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,21.35,18.09,10.87,15.72,:,:,:,:,:,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,66.81,53.37,31.53,40.13,:,:,:,:,:,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,39.04,33.01,24.81,30.64,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
