,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,1.57,1.92,1.9,0.51,0,0,0,0.55,0.63,0.57,0.99,0.94,1.09,1.01,0.93,1.28,1.51,1.08,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,21.2,20.63,20.2,13.7,12.6,11.6,11.5,14.5,14.53,14.5,15.42,14.16,13.47,12.46,12.56,12.89,11.93,13.17,14.14,15.13,23.71,17.66,18.44,12.08,:
Spain,665.7,658.8,571.8,641.7,622.6,625.5,578.72,563.77,:,:,547.82,536.31,529.53,534.06,527.06,548.6,583.67,633.56,657.77,687.23,718.54,744.47,761.66,765.54,:
France,1.6,1.41,1.36,1.42,1.37,1.37,1.33,1.28,1.27,1.3,1.26,1.26,1.19,1.06,1.13,1.12,1.2,1.24,1.22,1.18,2.11,2.21,2.21,2.31,:
Croatia,0.36,0.34,0.33,0.33,0.38,0.43,0.44,0.44,0.46,0.46,0.21,0.2,0.26,0.22,0.28,0.32,0.43,0.46,0.42,0.62,0.81,0.81,1.04,0.87,:
Italy,89,87.7,86.4,86.1,84.4,83.3,81.7,80,79.5,80.3,75.92,74.63,70.31,54.86,54.17,57.43,57.42,57.6,57.99,52.04,52.65,53.72,53.89,54.1,:
Cyprus,3.3,3.3,3.6,4.61,4.98,5.03,5.1,5.03,3.55,4.17,3.1,3.06,2.84,2.73,2.53,2.61,2.38,2.2,2.31,2.71,2.38,2.12,2.4,2.4,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0.2,0.4,0.3,0.4,0.3,0.24,0.23,0.23,0.19,0.16,0.15,0.17,0.18,0.19,0.2,0.21,0.26,0.31,0.35,0.39,0.42,0.43,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,37.92,36.9,35.72,34.71,34.24,33.76,33.16,30.05,28.54,26.84,26.84,26.88,27.19,28.48,28.87,30.15,31.46,33.4,38.68,49.35,52.34,58.4,63.88,67.08,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0.02,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,1.2,1.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:
Albania,:,:,:,:,:,:,:,:,0.06,0.2,0.06,0.06,0.08,:,0.1,0.1,0.07,0.1,0.08,0.1,0.1,0.1,0.1,0.1,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,7.8,7.8,7.8,7.8,8.2,8,10,11,:,:,21,24,25,27,30,33,35,42,47,52,58,63,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
