,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,9.2,8.8,8.6,8.4,8.3,8.9,8.63,8.48,8.08,7.73,7.73,7.75,7.14,7.06,7.07,6.87,6.49,6.16,5.99,5.79,5.48,5.35,5.23,4.9,:
Bulgaria,13.5,14.1,8.3,7.8,7.4,5.4,5.71,5.44,5.4,5.19,5.2,4.9,4.62,4.81,3.95,4.77,4.11,3.97,3.98,4.14,3.56,3.78,3.72,3.56,3.7
Czechia,14.3,11.4,9.26,9.32,9.5,9.54,9.29,9.1,9.04,8.99,9.03,9.3,9.37,8.98,8.96,8.31,7.49,7.35,7.25,7.32,7.19,7.11,7.01,6.45,6.5
Denmark,1.7,1.8,1.4,1.5,1.5,1.6,1.5,:,:,:,1.61,1.56,1.43,1.38,1.38,1.39,1.35,1.28,1.42,1.39,1.38,1.4,1.41,1.45,1.41
Germany,35.79,35.79,32.41,32.41,32.41,32.41,32.41,31.76,31.76,31.76,31.76,31.76,31.74,31.74,31.74,31.74,31.74,33.98,33.98,33.98,33.98,33.98,33.11,33.11,:
Estonia,7.2,1.3,0.6,0.6,0.9,1.2,1.1,1.1,0.9,0.9,0.8,0.9,0.7,0.9,0.9,0.6,0.51,0.48,0.6,0.57,0.62,0.73,0.71,0.75,:
Ireland,0,0.59,0.63,0.63,0.63,0.63,0.64,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.64,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.71,0.71
Greece,14.94,14.42,14.3,10.9,10.8,10.7,10.7,12.2,12.2,13.8,13.52,13.48,12.47,12.95,12.26,11.85,10.04,9.6,10.35,9.82,14.38,10.28,10.65,8.74,14.5
Spain,48.8,45.4,43.2,46,42.2,39,37.84,36.09,:,:,31.82,31.51,30.79,30.79,30.73,30.72,30.87,30.55,29.93,29.64,29.49,29.45,29.25,28.41,28.41
France,61.73,59.99,59.31,58.92,58.18,57.95,55.35,55.08,54.48,54.4,53.98,52.8,51.79,50.68,50.17,49.65,49.65,50.31,50.54,50.37,54.71,54.21,54.02,53.35,:
Croatia,4.19,4.83,5.37,6.22,5.25,5.63,5.86,5.99,6.4,6.52,6.6,6.55,5.98,5.38,5.94,5.76,5.89,4.84,4.73,4.95,4.36,4.39,3.65,3.66,3.7
Italy,67.4,66.6,64.4,61.3,61.7,61.7,61.7,60.6,59.1,59.3,54.47,54.07,54.13,53.01,52,52.16,56.16,57.26,57.44,55,54.91,54.47,53.73,54.08,52.78
Cyprus,1.1,1.1,1.13,1.17,1.23,1.27,1.28,1.24,0.94,1.22,0.75,0.84,0.86,0.63,0.61,0.61,0.53,0.37,0.37,0.37,0.41,0.41,0.4,0.4,0.39
Latvia,8.1,8.1,8.2,8.2,8.3,8.5,9.5,7.4,5.1,4.1,:,2.8,2.5,2.8,2.7,2.4,2.4,3.3,3.2,3.44,3.5,3.2,3.06,3.3,3.3
Lithuania,:,:,:,16,16.02,17.51,13.1,10.92,9.1,9,9.57,10.11,11.83,11.67,11.27,10.68,9.7,9.82,10.13,10.18,10.5,10.18,9.88,9.96,10
Luxembourg,1.1,1.1,1.1,1,1,1,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.26,0.27,0.27,0.27,0.08,0.1,0.1,0.1,:
Hungary,:,41,35.8,43.5,43.2,42,45.5,43.48,43.08,42.15,34.03,33.09,32.04,33.36,33.26,32.8,32.49,32.17,31.84,30.97,25.97,25.02,23.82,22.79,22.3
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,12.8,11.7,11.2,10.3,10.2,9.7,9.56,9.38,9.3,9.13,8.68,8.27,7.95,7.91,7.85,7.6,7.3,7,6.6,6.42,6.2,5.97,5.9,5.5,:
Austria,6,6.1,5.9,5.9,6.1,6.1,6.1,6.06,6.03,6.05,6.05,6.05,6.05,6.97,6.76,6.62,6.67,6.67,6.74,6.59,6.43,6.35,6.3,6.25,5.93
Poland,165.1,166.4,168.5,159.3,175.2,169.7,162,175.6,171.96,173.61,170.4,183.5,194.7,162.4,163.1,180.4,164.76,162.53,166.15,155.62,152.6,161.9,151.9,150,150
Portugal,21.12,20.4,19.73,19.07,17.97,16.84,15.7,14.56,13.76,12.57,12.45,12.54,12.9,13.66,13.85,14.01,14.16,13.85,13.61,14.31,14.31,13.92,13.73,13.73,13.73
Romania,71.02,73.01,72.43,71.59,73.38,81.67,59.3,59.02,54.7,52.64,56.37,52.72,55.37,60.28,56.13,55.88,55.53,55.6,53.94,52.74,52.34,53.82,54.07,55.11,54.25
Slovenia,3.08,3.08,3.1,3.1,3.1,3.1,3.1,2.87,2.87,2.72,2.77,2.73,2.7,2.64,2.55,2.47,2.42,2.36,2.33,2.27,2.16,2.09,2.03,2,:
Slovakia,3.1,4.1,3.7,3.5,3.3,3.2,3.35,3.24,3.43,2.75,2.12,2.29,2.91,3.65,2.56,2.38,2.31,2.18,2.14,2.06,1.8,1.64,1.54,1.54,:
Finland,0.5,0.5,0.6,0.6,0.6,0.6,0.64,0.65,0.67,0.65,0.65,0.67,0.59,0.59,0.6,0.63,0.62,0.63,0.63,0.65,0.67,0.62,0.62,0.66,0.66
Sweden,1.35,1.35,1.39,1.41,1.31,1.39,1.51,1.3,1.43,1.36,1.42,1.31,1.41,1.26,1.29,1.33,1.54,1.4,1.41,1.52,1.44,1.46,1.45,1.45,1.45
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,1.7,1.7,1.6,1.7,1.7,:,1.4,1.4,1.4,1.4,1.4,1.37,1.37,1.38,1.45,1.49,1.54,1.6,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.86,3.86,3.85,3.81,3.79,3.74,3.66,3.69,3.69,3.65,:
United Kingdom,18.2,18.4,16.7,16.7,14.4,15,15.6,15,:,:,15.4,16,16,20,16,16,17,16.6,16.2,15.9,16,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.67,14.82,:
Montenegro,:,:,:,:,:,:,:,0.08,0.08,0.09,0.1,0.16,0.17,0.17,0.13,0.14,0.15,0.21,0.21,0.22,0.22,0.22,0.23,:,:
North Macedonia,8.9,8.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,2.8,3.4,3.2,3.45,4.5,:,3.9,4,4.2,4.3,4.3,4.4,4.4,4.2,4.3,4.4,:
Serbia,:,:,:,:,:,:,:,21.34,21.11,21.97,22.36,23.05,23.74,23.74,23.74,23.74,23.74,25.13,25.92,26.1,26.4,27.03,27.25,27.41,:
Türkiye,158,153.4,150,159,160,160.2,162,157,158,:,:,167,175,173,171,171,173,175,175,174,171,169,171,:,:
Kosovo*,:,:,:,:,:,:,:,1.1,1.7,1.4,1.7,1.8,1.7,2,2,2,2.1,2.2,2.6,3,3.07,3.08,3.09,:,:
