,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,209.7,174.1,198.9,191.9,210.5,211.1,207,207.9,221.4,208,184.74,182.71,205.3,184.92,207.22,218.64,214.12,196.39,194.54,202.5,192.44,207.09,200.3,208.12,:
Bulgaria,1106.7,1333,1347.6,817.8,1017.6,1083.5,966,1082.4,1106.6,1184.8,1102.62,1101.78,1166.3,1301.56,1259.15,1096.2,1179.1,1133.7,1197.1,1189.36,1192.37,1197.23,1194.52,1205,1140
Czechia,886.6,870,796.2,541.7,801.7,762.8,719.5,750.1,760.4,793.5,785.49,805.78,746,788.42,790.69,778.2,809.11,785.5,773.68,814.52,774.64,709.54,801.58,778.97,747.51
Denmark,611.2,625.5,565.7,651.7,650.6,664.1,677,680.8,628.6,729.2,749.8,727.3,583.2,539.5,646.6,617.5,565.6,572.1,392.6,559.7,484.3,511,479.5,476.5,505
Germany,2913.7,2849.7,2962,2832.6,3057.3,3110.1,3058.3,2954.8,3163.9,3178.4,3233.93,3172.8,2892.7,3066.2,3159,3210.4,3131.2,3130.9,2893.3,3054.9,2758.7,2870.8,2887.9,2826,2590.6
Estonia,21.7,25.5,27.8,25.5,23.2,19.6,23.6,36.9,42.8,45,50.6,52.8,63.5,44.9,81,97.8,90.7,102.45,75.03,115.38,117.95,135.92,152.74,146.54,:
Ireland,58.8,49.9,80,60.56,71.48,65,59.19,64.66,87.49,64.27,59.78,77.73,84.55,45.38,65.15,55.26,60.39,60.29,54.43,59.67,35.44,56.25,60.43,51.21,40.76
Greece,160.3,170.45,130.01,124.04,88.36,100.37,165.07,186.29,174.24,178.25,154.33,139.88,162.53,192.04,191.42,154.84,149.42,119.7,108,96.61,93.2,97.11,94.79,85.84,88.87
Spain,:,:,:,:,:,:,:,:,1526.2,1233.6,1319.99,1616.6,1685.18,1660.73,1675.94,1679.14,1638.17,1411.27,1463.9,1473.05,1484.12,1678.34,1705.7,1514.07,1507.76
France,4892.8,4443,4880.9,4494.7,4815,4843.5,4784.2,4776.4,5059.4,4721.9,4881.91,4975.76,4817.91,4957.37,4983.55,5144.27,5125.06,4948.21,4866.34,4983.22,4226.34,4960.46,4671.85,4727.93,4375.72
Croatia,:,:,:,:,:,:,:,:,151.7,177.35,165.57,146.26,180.13,201.95,155.46,140.49,170.57,117.13,137.69,140.3,146.04,145.9,160.5,169.2,140
Italy,658.8,625.2,682.1,577.3,581.8,602.8,582.8,661.2,702.2,533.6,572.45,531.14,593.49,632.37,586.62,553.64,528.74,501.72,543.32,530.68,500.8,489.48,526.37,581.18,589.32
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.57,2.43,4.2,5.36,4.9,4.8,4.5,5
Latvia,117.4,131.3,115.9,127.9,129.1,132,152.3,159.4,170.4,212.4,:,197.6,257.1,251.9,154.3,290,327.1,322,213.6,377.4,381.9,425.4,447.9,426.9,438.2
Lithuania,285.5,282.9,266.7,283.2,306.7,298.3,252.6,276.7,290,397.2,367.4,275.2,436.2,466,355,573.03,628.56,620.61,463.16,739.65,751.85,787.39,842.04,833.24,704
Luxembourg,10.6,9.1,11.5,10.7,11.4,11.3,12.3,12.2,14.2,13.4,13.32,12.99,12.7,13.41,11.07,13.7,13.37,13.62,12.52,13.04,11.43,12.33,12.77,12.02,:
Hungary,:,:,1089,1094.5,1154.8,1115.3,1056.8,1092.8,1112.4,1125.3,987.48,949.86,1040.5,1061.21,1086.78,995.23,1000.74,915.75,972.93,972.39,902.34,856.98,937.67,1012.73,867.4
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,120.5,95.4,112.6,105.2,116.4,115.4,120.7,124.4,140.6,128.8,134.7,113,136,125,122,127.47,116.32,107.57,95.97,111.76,92.46,105.97,107.8,120.85,80.09
Austria,272.5,270.8,272.5,248.6,268.8,268.9,262.3,271.9,274.4,288.7,281.26,284.01,289.81,281.39,287.08,279.02,291.3,269.4,269.01,259.06,259.86,255.45,268.66,256.03,245.04
