,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.05,0.07,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.07,0.06,0.07,0.09,0.09,:
Bulgaria,:,2.3,1.6,2.9,2.1,0.6,0.56,0.5,0.13,0.37,1.13,1.1,0.6,1,0.73,0.71,0.73,0.67,0.93,1.78,0.85,0.83,0.65,0.71,:
Czechia,1.14,0.83,0.2,0.14,0.09,0.12,0.12,0.14,0.1,0.13,0.12,0.1,0.05,0.06,0.05,0.03,0.05,0.04,0.05,0.03,0.02,0.04,0.03,0.04,:
Denmark,0,0,0,0,0,0,0,:,:,:,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,:
Germany,0.6,0.6,0.5,0.7,0.6,0.6,0.58,0.61,0.61,0.66,0.52,0.52,0.38,0.42,0.33,0.34,0.37,0.37,0.39,0.36,0.39,0.39,0.39,0.42,:
Estonia,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.08,0.06,:
Ireland,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Greece,1.84,2.42,2,2,2,2,2.1,2.1,2.3,2.3,1.63,2.02,1.82,2.03,2.34,1.85,1.85,1.88,1.89,1.74,1.82,2.02,1.85,1.83,:
Spain,6.6,7.8,7.5,6.9,7.1,7.5,7.98,7.31,:,:,8.15,8.21,8.81,8.9,8.9,8.1,7.44,7.48,7.5,7.42,7.73,7.72,8,8.3,:
France,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,:,1.58,1.61,0.57,1.62,1.56,1.56,1.64,1.71,1.68,1.51,1.8,1.6,1.72,1.71,:
Croatia,0.26,0.28,0.28,0.3,0.28,0.23,0.22,0.54,0.42,0.38,0.25,0.18,0.13,0.2,0.14,0.13,0.16,0.11,0.09,0.09,0.1,0.1,0.13,0.11,:
Italy,1.8,1.7,2.1,2.1,2.1,2,2,1.8,1.7,:,1.94,1.58,1.16,1.94,2.02,1.89,1.84,1.79,1.78,1.85,1.92,1.87,1.85,1.97,:
Cyprus,0,0,0,0,0.24,0.24,0.24,0.18,0.18,0.17,0.2,0.2,0.22,0.23,0.22,0.2,0.2,0.19,0.19,0.16,0.19,0.19,0.18,0.19,:
Latvia,0.5,0.9,1.2,1.3,0,1.1,1.2,0.7,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0,0,0.02,0
Lithuania,1.25,1.17,1.12,0.75,0.59,0.75,0.75,0.91,0.84,0.95,1.49,1.5,1.27,1.26,1.17,0.96,1.13,1.08,1.11,1.1,1.1,1.03,0.99,0.98,:
Luxembourg,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,:
Hungary,3.3,2.8,3,1.7,2.5,1,1.2,1.12,0.98,0.82,0.2,0.22,0.26,0.23,0.23,0.25,0.4,0.38,0.31,0.22,0.28,0.27,0.25,0.24,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Netherlands,0.7,0.7,0.7,0.6,0.6,0.6,0.64,0.62,0.62,0.63,0.67,0.66,0.62,0.62,0.6,0.55,0.54,0.6,0.59,0.6,0.61,0.68,0.62,0.66,:
Austria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.17,0.18,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.19,:
Poland,27.2,26.6,18.2,20.2,19.9,20.6,13.5,10.27,9.46,9.82,11.27,10.3,10.3,9.3,10.6,10.1,9.49,9.19,9.17,9.9,6.3,6.8,5.6,5.5,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.21,0.15,0.16,0.19,0.22,0.13,0.11,0.13,0.15,0.22,0.2,0.19,0.2,:
Romania,3.04,3.82,4.39,5.03,5.3,4.78,8.73,6.97,6.82,7.04,6.63,7.41,6.69,6.32,6.44,5.73,5.7,5.44,6.04,6.05,5.23,5.53,3.22,4.08,:
Slovenia,0,0,0,0,0,0,0.15,0.12,0.16,0.15,0,0,0,0,0.08,0.06,0.06,0.06,0.06,0.08,0.09,0.07,0.08,0.06,:
Slovakia,0,0,0,0,0,0,0.1,0.1,0.07,0.07,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.01,0.01,0.01,:
Finland,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.07,0.08,0.07,0.07,0.06,0.06,0.1,0.96,0.09,0.08,0.08,0.1,0.11,0.09,0.09,0.12,0.1,:
Sweden,0.07,0.06,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.08,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:,:
Norway,:,:,:,:,0,0,0,0,:,:,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.1,0.1,0.1,0.09,0.08,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0.1,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,:,:,:,:,:
Bosnia and Herzegovina,1.02,2.57,2.78,2.85,3.14,3.13,3.12,2.95,3.08,2.82,2.94,2.95,2.89,2.86,2.72,2.85,3.06,2.97,3.01,2.89,2.91,2.63,1.1,0.56,:
Montenegro,:,:,:,:,:,:,:,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
North Macedonia,1.2,1.2,:,:,:,1.4,1.43,1.48,1.39,1.35,1.27,1.26,1.24,1.21,1.22,1.25,1.05,1.04,1.03,1.04,0.94,1.06,1.02,1.06,:
Albania,:,:,:,:,:,:,:,:,1.9,2.04,2.2,2.2,2.3,:,2.27,2.15,2.2,2.4,2.6,2.7,2.5,2.56,2.72,2.7,:
Serbia,:,:,:,:,:,:,:,4.33,4.16,4.18,4.15,4.22,4.22,4.05,4.18,4.0,3.84,4.27,3.2,3.0,2.9,2.77,2.81,3.04,:
Türkiye,:,45.4,44.4,46.4,45,46.1,44,40.8,40,:,:,39,38,38,39.0,38.0,37.0,36.0,36.0,36.0,34,33,35,:,:
Kosovo*,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.23,0.24,0.24,:,:
