,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,15.1,22.5,21,23.2,22,18.3,4.4,5.6,5,62.9,28.94,35.68,18.7,12.73,6.45,9.72,13.49,10.82,14.91,9.32,7.81,8.95,12.06,16,15
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,4.89
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,8.6,4.7,4.8,7.3,8.2,10.3,11.7,7.6,6.5,11.2,21.06,15.3,11.7,8.6,11.3,18.8,25.3,29.6,30.2,31.5,34,37.5,40.8,41.4,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,668.99,760.64,760.3,727.05,750.5,768.37,520.09,491.77,483.14,603.75,506.72,403.82,400.66,387.23,353.96,333.35,388.17,296.25,296.49,253.88,262.68,313.9,317.7,161.68,172.75
Spain,867.3,885.1,926.2,913.2,948.7,910.5,614,413.4,531.7,538.9,488.31,378.05,411.05,343.39,297.14,347.93,448.16,417.59,374.61,266.64,250.9,259.06,278.67,268.48,272.33
France,337.9,306.4,335.5,352.7,406.7,422.6,452.7,455.8,427.8,413.5,506.85,417.15,437.19,336.12,286.75,318.82,403,370.01,353.89,245.5,252.28,294.23,252.95,235.66,230.93
Croatia,:,:,:,:,:,:,:,:,1.79,1.15,1.78,2.62,1.11,1.08,1.41,1.53,0.5,0.64,0.46,0.4,0.76,0.69,0.83,0.3,0.3
Italy,1663.1,1664.2,1733.3,1688.8,1772.1,1520.1,1342.9,1439.2,1586.8,1261.9,1257.07,1194.89,1260.14,1270.49,1287.56,1328.87,1383.68,1304.86,1278.4,1223.96,1210.42,1228.5,1237.96,1269.29,1134.74
Cyprus,6.2,5.4,5.9,7.23,7.45,5.26,5.39,5.29,4.99,5.76,7.83,10.59,8.55,6.92,6.14,11.97,7.61,7.1,7.77,6.4,7.61,7.42,7.3,6.5,7.25
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.29,0.27,0.16,:
Hungary,14.8,13.8,10.8,11.1,12,9,9.7,7.9,8.5,13.1,13.51,12.22,12.21,14.57,14.5,19.25,29.79,33.58,44.28,36.92,27.02,29.49,36.71,37.53,51.11
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,15.7,12,12.6,16.7,17.7,15.5,15.9,15.4,17.9,16.9,17.5,15.32,14.25,12.35,14.04,19.08,23.25,22.89,21.9,16.7,16.51,19.46,23.26,23.41,26.31
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,138.89,133.54,188.32,144.16,152.04,2.09,3.26,1.39,2.96,11.03,9.12,2.87,3.71,1.42,1.64,2.72,4.69,4.13,4.15,4.22,3.62,4.34,5.48,4.1,4.23
Romania,2.3,3.05,3.05,1.29,4.04,3.64,3.55,1.75,1.66,8.22,12.51,4.68,8.93,4.25,3.97,2.78,7.02,4.78,5.63,5.73,4.27,7.36,6.57,8.15,8.12
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,0
Slovakia,4.1,9.1,3.2,5,7,5.2,4.1,3.5,6.8,7.8,20.48,11.7,10.45,10.23,9.78,21.47,40.73,42.55,47.95,43.61,33.95,48.98,62.91,65.6,79.98
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,0.6,0.8,0.6,0.32,0.36
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,0,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,2100,2000,1510,1355,1340,:,1334,1338,1190,1279,1282,1274,1239,1237,1202,1096,1256,1200,1205,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
