,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,13.6,17.4,16,20,20.4,19.3,15.9,14.2,11.8,11.1,11,11.29,10.6,:,:,14.24,15.5,16.4,14.86,14.92,18.49,15.47,15.26,14.88,:
Bulgaria,9.9,14.9,6.8,3.3,2.4,1.1,1,0.8,0.7,0.5,0,0.4,0.4,0,:,2.17,4.49,4.81,3.16,4.47,3.89,2.9,1.62,1,:
Czechia,5.3,6.6,5.8,5.7,5.4,4.5,2.9,0.7,0.2,0.2,0.01,0.3,0.21,0.28,0.13,0.43,0.56,0.57,0.79,0.4,0.41,0.2,0.34,0.15,0.14
Denmark,0,1.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,1.3,0.7,0.7,0.5,0.8,1.6,1.4,1.7,2.8,3.7,4.6,4.7,5.8,3,:
Estonia,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.05,0.07,0.31,0.17,0.04,0.02,0.08,0
Greece,383.24,363.61,342.57,338.3,337.69,322.27,321.58,322.29,286.69,261,214.1,238.28,247.55,243.04,280.37,283.24,236.05,258.35,277.48,292.54,279.65,265.44,258.22,175.94,175.83
Spain,110.5,92.9,87.1,95.4,89.8,86.7,62.5,65.2,52.7,58.7,62.9,68.51,69.68,:,:,63.42,60.9,63.12,65.26,66.32,62.14,58.39,52.1,51.92,53.91
France,62,75,75.2,86.1,89.3,87.9,84.7,:,75.7,68.6,63.9,66.74,77.33,:,:,90.65,102.34,115.85,122.34,136.23,159.69,130.89,147.36,150.43,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.1,0,0.4,0.9,1.1,0.1,:,:,:,0.1,0.15,0,:,:,0.33,0.67,0.93,1.3,1.23,1.62,1.13,1.05,1.06,0.95,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1.6,1.4,1.6,1.8,2.6,2.1,0.9,0.4,0.2,0.1,0,0.1,0.8,0.3,0,0.2,0.2,0.1,0.1,0.2,0.1,0,0,:,:
Lithuania,8.6,10.2,9.3,8.9,5.6,3.7,1.3,0.4,0.3,0.1,0,0.1,0.1,0.1,0.4,1.5,0.4,0.28,1.5,6,2.25,1,0.58,0.27,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0.01,:,:,:,0,0,:,0,0,0,0,0,0,0
Hungary,0.1,0.1,0.9,0.3,0.5,0.5,0.4,0,0,0,0,0,0,0,0.21,0.02,0.06,0.08,0.05,0.11,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,5.2,5.7,6.2,6,4.5,4.8,3.9,3.6,2.9,3.1,3,3.06,3,:,:,:,4.7,:,4.21,4.17,:,3.5,3.7,4.34,:
