,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,10,10.1,10.5,10.7,10.7,9.6,10.11,9,9,9.5,9.4,9.2,9.21,9.41,10.41,10.4,10,10.76,11.3,11.4,12.17,11.7,10.2,9.6,:
Bulgaria,:,0.8,0.6,0.8,1.1,0.3,1.09,1.6,1.51,0.96,0.78,1.7,0.5,0.9,0.46,1.06,1.87,0.77,0.48,0.92,0.87,0.7,0.73,0.53,:
Czechia,2.11,2.25,1.77,1.12,1.09,0.98,1.13,1.34,1.31,0.97,1.02,0.99,1.03,1.18,1.1,0.92,1.11,1.31,1.37,1.11,1.39,1.61,1.44,1.02,:
Denmark,4.3,3.6,3.3,3.5,3.2,2.8,2.8,:,:,3.7,2.64,2.96,2.54,2.84,2.31,2.87,2.92,3.22,3.04,3.34,3.15,4.05,3.2,1.09,:
Germany,4.4,4.6,5.1,5.7,5.5,5.1,5.14,5.19,5.27,5.73,4.44,4.02,4.61,4.62,4.68,4.79,5.01,5.51,5.49,5.43,4.55,5.66,5.03,3.82,:
Estonia,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0.1,0.3,0.5,0.47,0.53,0.38,0.41,0.31,0.2,0.24,0.13,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,0,0,0,0
Greece,1.24,1.32,1.3,1,1.2,1.1,1.3,1.61,1.34,1.44,1.77,2.68,2.27,2.43,3.2,2.48,1.88,1.57,1.37,1.33,1.34,1.74,0.96,1.35,:
Spain,8,6.7,12,7.8,9.6,8.4,11.47,12.45,10.2,12.4,13.29,12.34,11.6,11.87,13.63,13.74,15.66,14.26,13.83,16.69,16.04,19.11,16.93,19.7,:
France,34.2,35.7,33.2,32.1,29.3,28.2,27.4,29.1,29.3,:,23.94,32.13,30.35,29.46,30.43,28.74,35.55,38.63,39.08,42.75,41.68,47.51,44.54,40.15,:
Croatia,0.31,0.27,0.31,0.64,0.3,0.27,0.3,0.89,0.62,0.51,0.52,0.69,0.45,0.49,0.57,0.62,0.46,0.6,0.53,0.59,0.54,0.56,0.44,0.39,:
Italy,11.4,10.9,11,11.5,11.6,11.6,12.6,12.1,12.9,:,15.93,23.96,15.22,14.16,15.82,14.94,16.26,15.23,15.56,16.2,16.15,15.73,16.43,15.17,:
Cyprus,0,0,0,0,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.05,0.05,0.04,0.05,0.05,:
Latvia,0,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
