,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017,2018,2019.0,2020,2021,2022,2023,2024
Belgium,53.9,54,68.4,72.3,70.7,:,62.23,62.36,61.56,62.08,62.05,55.22,53.75,47.6,48.75,60.24,61.53,66.26,67.6,69.3,70.28,71.78,65.95,62.68,:
Bulgaria,0,:,:,:,:,29.9,39.27,26.68,26.6,31.76,25.33,28.3,21.1,24.05,20.23,26.33,39.52,28.74,29.13,29.39,24.61,25.42,21.43,23.25,:
Czechia,34.86,28.29,13.02,12.53,12.82,9.41,10.52,10.89,10.43,9.41,9.08,10.1,8.81,9.05,9.83,9.78,10.91,10.93,11.11,10.9,11.6,12.47,11.57,11.5,:
Denmark,10.9,10.6,10,10.9,10.8,10.5,10.7,0,0,:,11.41,12.18,11.83,11.94,11.83,11.53,11.85,12.48,12.82,13.33,13.01,13.88,12.52,10.31,:
Germany,106.7,105.3,107.9,114.1,120.4,119.6,123.24,122.67,127.45,125.85,121.46,122.09,126.46,124.64,126.61,125.61,131.68,139.12,136.68,137.06,135.89,140.97,134.57,130.69,:
Estonia,5,2.3,2.1,2.5,2.1,1.9,2,2,1.5,1.8,2,2.2,2.3,2.7,2.7,2.6,2.48,2.88,2.7,2.68,2.71,2.33,2.1,1.9,:
Ireland,4.85,4.85,4.46,4.52,4.58,4.58,4.58,4.57,4.61,4.6,4.6,4.59,4.33,4.32,4.26,4.26,4.51,4.47,4.43,4.5,4.63,4.72,4.5,4.64,:
Greece,140.58,133.56,133.41,132.38,133.7,126.72,119.09,116.29,113.73,106.82,104.57,99.6,93.13,96.5,98.94,83.28,83.18,84.17,80.13,71.13,74.98,79.19,60.59,76.06,:
Spain,411,400.1,410.9,400.1,408.2,410,367.03,353.52,344.4,261.9,359.64,349,346.53,346.96,363.84,361.89,380.63,386.9,379.91,387.48,388.33,403.79,374.17,372.02,:
France,297.6,299.4,298.2,295.4,283.6,272,261.3,254.5,250.5,:,248.38,246.46,246.42,:,246.37,238.81,252.84,262.51,261.17,259.53,281.54,292.23,278.65,268.14,:
Croatia,7.12,7.45,7.55,8.09,7.39,9.35,10.41,12.53,13.11,13.12,8.14,9.29,7.05,8.39,6.34,8.84,9.99,9.79,10.03,8.96,8.75,8.66,8.24,8.07,:
Italy,559.6,487,486.5,495.6,506,500.5,483.3,503,462.2,387.5,493.59,414.73,405.75,354.79,432.32,428.49,434.88,423.23,422.83,425.6,418.36,418.36,389.35,406.4,:
Cyprus,3.9,3.8,3.69,3.5,3.9,3.8,3.7,3.52,3.01,3.03,2.77,2.83,2.92,3.05,2.96,2.95,2.95,2.84,2.79,2.73,2.73,2.7,2.65,2.76,:
Latvia,10.5,14.4,13.6,15.6,15.2,13.6,13.9,11.5,9.9,8.6,4.1,4.3,3.3,4,3.2,3.2,3.1,2.9,3.3,3.77,4.2,3.4,3.72,3.9,:
Lithuania,22.95,22.46,22.05,26.15,19.57,21.99,16.61,15.62,14.73,14.45,13.68,14.21,12.56,12.69,12.06,10.96,11.75,10.97,11.86,12.52,13.02,12.81,13.27,13.38,:
Luxembourg,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.07,0.07,0.12,0.14,0.15,0.16,0.18,0.2,0.28,0.33,:
Hungary,90.7,101.5,115.4,117.4,103.8,85.5,91.7,91.03,89.14,83.67,68.89,76.59,78.27,77.17,80.54,85.22,93.32,94.9,91.74,90.04,84.1,81.8,77.78,78.83,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0.0,1.17,1.17,1.17,1.17,0
Netherlands,81.5,80.7,82.8,86.3,87.6,81.8,85.92,88.95,91.77,89.73,91.17,76.36,74.24,75.64,73.96,88.57,89.66,94.19,93.8,99.03,98.05,105.56,94.28,92.65,:
Austria,14.2,14.4,14.3,14.4,14.7,13.9,14.9,16.22,17.19,16.59,16.37,17.43,16.26,16.92,17.05,16.81,18.47,18.91,18.85,19.21,19.41,19.95,19.7,20.14,:
Poland,313.8,307.8,211.2,243.7,:,222.2,255.4,239.26,224.45,234.19,251.23,289,285.9,228,237.3,241.1,268.22,241.82,239.57,240.0,208.8,206.8,191.3,186.2,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,46.19,47.27,48.89,53.88,51.51,52.82,54.2,48.13,51.03,60.05,64.5,56.63,55.16,:
Romania,171.4,163.19,174.83,180.4,167.95,174.5,198.71,167.56,180.92,178.83,172.6,176.78,172.97,168.43,152.15,153.13,144.23,141.81,143.62,146.6,116.32,115.69,100.1,103.48,:
Slovenia,2.61,2.8,2.58,3.18,2.98,3.7,4.2,3.66,4.41,4.39,3.01,4.15,4.53,4.93,5.23,5.11,5.63,5.54,5.37,6.54,7.11,6.34,6.22,4.38,:
Slovakia,:,12.7,14.6,14.2,12.1,9.7,9.05,8.24,7.72,7.74,10.05,9.87,8.45,8.41,7.31,8.24,8.62,6.36,6.14,7.27,6.78,8.41,8.33,9.05,:
Finland,14.3,13.6,13.3,13.1,12.4,:,8.99,12.19,11.66,11.81,12.2,14.76,17.53,16.8,18.05,13.24,17.54,19.17,22.39,16.51,16.73,15.78,14.84,14.29,:
Sweden,16.84,16.87,17.73,17.52,18.32,18.2,18,17.64,16.33,17.99,18.06,17.72,18.39,19.01,20.19,20.24,19.71,12.77,13.92,15.05,16.78,17.56,18.01,17.67,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.02,0.35,0.05,0.15,0.39,0.51,0.5,0.14,:,:
Norway,:,:,:,:,:,:,:,:,:,:,9.54,9.81,10.18,9.75,8.59,8.7,9.83,:,9.83,9.69,9.48,8.26,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.45,16.45,16.54,14.22,14.11,14.05,15.06,14.21,:,:,:
