,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.43,0.35,0.25,0.51,0,0,0,0.2,0.09,0.29,0.3,0.5,0.41,0.27,0.21,0.16,0.06,0.13,0
Czechia,2.71,2.2,0.61,0.43,0.3,0.32,0.26,0.33,0.24,0.33,0.3,0.27,0.26,0.22,0.3,0.34,0.41,0.3,0.4,0.28,0.33,0.27,0.3,0.26,:
Denmark,:,0,0,0.1,0.1,0.1,0.1,:,:,:,0.06,0.08,0.06,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.01,0.01,:
Germany,2.8,2.9,2.8,2.9,2.4,2.7,2.45,2.61,2.47,2.36,2.59,2.41,2.57,2.34,2.62,2.39,2.37,1.98,2.02,1.94,1.76,1.89,1.68,1.88,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.24,0.21,0.12,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.16,:
Spain,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0.04,0.05,0.05,0.04,0.04,0,0,0,0,0.01,0,:
France,0.4,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,:,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,:,:,:,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Italy,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,:,0.29,0.31,0.32,0.31,0.17,0.19,0.24,0.25,0.25,0.2,0.18,0.14,0.13,0.12,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Hungary,:,:,:,:,:,:,:,:,0,0.33,0.78,0.55,0.54,0.4,0.43,0.45,0.53,0.49,0.43,0.43,0.21,0.21,0.19,0.18,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0
Austria,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.24,0.2,0.24,0.22,0.2,0.2,0.16,0.18,0.19,0.19,0.17,0.14,0.16,0.17,0.16,0.14,0.15,:
Poland,:,:,:,:,:,:,7.4,6.56,6.51,6.51,7.53,7.4,7,5.5,6.6,6.7,6.03,6.82,7.3,7.2,2.5,2.4,1.1,1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Romania,0,0,0,0,0,0.31,1.06,0.65,0.39,0.42,0.85,1.1,0.91,0.9,0.98,0.89,0.91,0.94,0.87,0.86,0.85,0.73,0.67,0.77,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.04,:
Slovakia,0,0,0,0,0,0,0.33,0.2,0.17,0.15,0,0,0,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.02,0,0.01,0.01,:
Finland,0.4,0.4,0.4,0.4,0,0.3,0.33,0.28,0.25,0.22,0.22,0.41,0.19,0.27,0.19,0.17,0.17,0.17,0.15,0.14,0.13,0.13,0.12,0.14,:
Sweden,0.33,0.27,0.28,0.21,0.21,0.23,0.16,0.15,0.16,0.18,0.16,0.16,0.16,0.17,0.15,0.15,0.18,0.13,0.1,0.11,0.14,0.15,0.15,0.13,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,0.1,0.1,0.1,0.1,:,:,:,:,:,:,0,:,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,8,7,:,:,:,:,:,:,:,0,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
