,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,10.2,14.5,15.1,:,0.48,0.28,0.21,3.13,0.2,0.25,0.16,0.16,0.05,0
Czechia,8.5,8.6,8.2,8.99,9.85,10.83,11.79,12.93,12.39,12.23,12.26,12.12,11.11,11.82,13.22,11.69,13.38,11.5,13.38,13.34,13.45,13.5,13.89,13.73,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,10.14,11.22,11.95,13.2,11.39,12.06,11.27,10.95,10.71,10.65,10.67,10.03,9.32,10.67,:
Spain,:,:,:,:,:,:,:,:,:,:,423.26,365.95,397.2,474.26,472.06,474.12,520.76,519.71,521.62,521.76,516.5,516.4,514.23,518.37,:
France,:,:,:,0,0,0,0,516.92,516.92,541.49,533.27,520.06,523.35,522.35,519.39,517.67,518.99,522.33,520.93,526.91,514.02,513.66,511.28,506.87,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.69,13.9,14.74,18.06,18.06,16.19,14.18,:
Italy,:,:,:,:,:,:,:,:,:,:,221.38,:,201.97,204.32,:,:,275.91,293.26,297.35,317.05,327.27,332.96,334.36,334.13,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,1.22,1.22,1.22,1.24,1.25,1.25,1.26,1.26,1.25,1.24,1.24,1.22,1.22,1.22,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,:,:,:,:,:,0.43,0.43,0.44,0.55,0.55,0.25,0.25,0.25,0.13,0.16,0.21,0.23,0.22,0.22,:
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,36.32,35.15,37.29,39.45,39.12,40.81,44.17,43.42,43.24,42.65,42.62,39.29,39.14,39.55,:
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,:,:,:,:,:,:,:,:,:,:,110.72,113.73,116.69,118.95,120.5,121.77,123.55,123.55,123.6,124.08,124.08,124.08,124.17,124.17,:
Romania,0,0,0,0,0,0,0,0,0,0,21.26,18.91,19.33,20.87,23.68,23.67,22.93,24.42,24.1,23.34,24.7,25.14,23.63,26.24,:
Slovenia,16.6,16.6,16.6,16.56,16.56,16.43,16.43,16.09,16.09,16.09,16.35,16.35,16.35,16.09,16.01,15.69,15.82,15.84,15.63,15.55,15.27,14.87,14.39,14.4,:
Slovakia,:,:,:,:,:,:,:,:,:,:,13.88,9.61,:,:,0,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7,:,:,7,7,:,:,0,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,0.5,:,:,:,2,0.45,0.47,0.52,0.57,0.66,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,2.16,2.17,2.18,2.2,2.34,2.46,2.46,2.41,2.44,2.56,2.59,2.58,2.58,2.63,2.58,2.58,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
