,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,13,20.4,21.1,:,10.66,8.66,9.54,8.45,9.98,9.02,10.63,10.9,8.39,:
Czechia,1.9,1.9,1.83,2.01,2.2,2.42,2.64,2.89,2.77,2.74,2.57,2.78,2.58,3.47,1.26,3.41,1.25,1.26,1.27,2.49,2.49,2.4,2.34,2.27,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,13.05,15.25,12.43,15.04,15.21,17.86,16.92,18.87,19.48,21.81,23.95,22.25,20.36,24,:
Spain,:,:,:,:,:,:,:,:,:,:,204.15,97.63,84.65,92.42,91.69,108.04,97.27,88.91,82.22,101.37,80.15,80.13,80.69,93.85,:
France,:,:,:,0,0,0,0,193.14,193.14,201.9,196.45,188.84,192.52,192.45,193.31,192.34,193.62,194.71,193.38,200.85,203.71,202.82,201.98,201.86,:
Croatia,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,250.06,:,228.15,232.48,:,:,178.92,169.31,168.43,167.73,167.01,163.08,174.81,181.36,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,:,:,:,:,:,0.1,:,0.1,0.09,0.09,0.3,0.3,0.3,0.1,0.08,0.09,0.09,0.09,0.09,:
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,:,:,:,:,:,:,:,:,:,:,1.04,0.77,0.72,1.3,2.83,1.22,1.25,1.31,1.16,1.13,1.12,0.88,1.06,0.89,:
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,:,:,:,:,:,:,:,:,:,:,39.09,39.18,38.63,38.06,38.47,38.88,37.91,37.91,37.94,36.65,36.65,36.65,36.65,36.65,:
Romania,0,0,0,0,0,0,0,0,0,0,24.76,25.58,21.35,21.12,21.26,21.96,22.3,22.01,23.63,24.66,24.14,23.72,23.81,24.4,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5,:,:,5,5,:,:,0,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,0.8,:,:,:,2,0.2,0.16,0.18,0.2,0.23,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.89,1.91,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:,0,0,0,0
Serbia,:,:,:,:,:,:,:,2.76,2.73,2.68,2.64,2.64,2.63,2.72,2.73,2.73,2.73,2.9,2.76,2.61,2.4,2.6,2.58,2.92,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
