,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019.0,2020.0,2021,2022,2023,2024
Belgium,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.16,0.17,0.19,0.2,0.2,0.2,0.2,0.18,0.2,:
Bulgaria,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.1,0.08,0,0.1,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Czechia,6.1,6.1,5.97,5.9,5.84,5.7,5.4,5.4,5.3,5.3,5.21,4.63,4.37,4.32,4.46,4.62,4.78,4.95,5.02,5.0,4.97,4.97,4.94,4.86,5.57
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Germany,18.7,19.9,18.6,17.9,17.9,17.3,18.1,17.8,19.2,19,18.39,18.6,17.3,16.6,17.3,18.4,18.7,19.6,20.5,20.3,20.6,20.9,19.9,20.9,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Spain,0.7,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.51,0.53,0.54,0.54,0.56,0.52,0.52,0.57,0.57,0.59,0.62,0.66,0.63,0.63,0.63
France,0.8,0.8,0.8,0.8,0.8,0.8,0.8,:,0.8,0.5,0.77,0.75,:,0.53,0.51,0.44,0.92,0.4,0.43,0.5,0.55,0.56,0.53,0.55,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,0,0,0.03,0.04,0.04,0.05,0.06,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0,0.0,0,0,0,0
Austria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.28,0.28,0.28
Poland,1.9,1.9,2.2,2.2,2.2,2.3,2.2,2.3,2.3,2.2,1.7,1.6,1.6,1.6,1.7,1.5,1.22,1.67,1.66,1.76,1.8,1.76,1.73,1.78,:
Portugal,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.0,0.0,0,0,0,0
Romania,0.24,0.62,0.2,0.32,0.05,0.28,0.65,0.44,0.5,0.46,0.22,0.18,0.23,0.24,0.24,0.23,0.26,0.23,0.26,0.25,0.25,0.17,0.17,0.12,0.19
Slovenia,1.77,1.68,1.82,1.66,1.52,1.45,1.51,1.57,1.64,1.66,1.49,1.38,1.16,1.17,1.3,1.41,1.49,1.59,1.67,1.62,1.49,1.54,1.62,1.66,:
Slovakia,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.24,0.2,0.22,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0,0,0.04,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,0,0,0,:,0.02,0.02,0.02,:,0.02,0.02,0.02,:,0.02,0.02,0.02,0.02,0.02,0.02,:
United Kingdom,2.3,2.2,2,2.1,1.7,1.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
