,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,4.5,4.7,4.8,4.8,4.7,4.5,4.5,4.4,4.2,4.5,4.73,4.8,4.42,4.7,4.57,4.01,3.83,4.15,3.8,4.02,3.96,4.17,3.78,3.67,:
Bulgaria,0,0,0,0,0,0,0.21,0.19,0.12,0.09,0,0,0,0.1,0.13,0.08,0.07,0.05,0.1,0.06,0.11,0.12,0.09,0.07,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.02,0.05,0.06,:
Denmark,0.4,0.4,0.4,0.3,0.4,0.4,0.4,:,:,0.3,0.27,0.27,0.31,0.3,0.31,0.32,0.31,0.35,0.55,0.56,0.26,0.27,0.28,0.27,:
Germany,2.1,2.2,2.1,2.2,2.3,2.3,2.44,2.56,2.68,2.42,2.31,2.4,2.61,2.63,2.35,2.18,2.13,2.62,2.08,2.09,2.26,2.42,2.32,2.27,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.16,0.13,0.12,0.12,0.14,0.12,0.11,0.12,:
Greece,1.71,1.55,1.6,1.7,1.7,1.6,1.7,1.8,1.8,1.8,1.66,1.63,1.49,1.53,1.55,1.51,1.41,1,0.94,0.75,0.95,1.01,0.7,1.02,:
Spain,2.2,2.5,2.8,2.8,2.6,2.6,2.85,2.63,:,:,2.53,2.86,3.06,2.88,2.88,2.85,2.68,3.09,2.85,2.86,2.89,3.11,2.7,2.56,:
France,6.9,7,7,7,6.7,6.4,6.3,5.9,6.1,:,5.86,5.46,5.46,5.23,5.22,5.11,4.94,4.95,4.75,5.1,5.6,5.91,5.47,5.36,:
Croatia,0,0,0,0,0,0,0,0,0.18,0.15,0.11,0.09,0.03,0.04,0.03,0.07,0.1,0.1,0.08,0.09,0.1,0.1,0.16,0.11,:
Italy,0.4,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,:,0.47,0.37,0.31,0.27,0.34,0.33,0.38,0.37,0.41,0.54,0.58,0.6,0.56,0.56,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.1,0,0.1,0.1,0,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Lithuania,:,:,:,0.17,0.12,0.12,0.1,0.13,0.13,0.12,0.07,0.06,0.05,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,:
Hungary,:,:,0,0.1,0.2,0.1,0.1,0.16,0.16,0.18,0.11,0.07,0.08,0.09,0.09,0.08,0.1,0.11,0.11,0.1,0.06,0.08,0.07,0.05,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,3.4,3.1,3.3,3.3,3.1,2.7,3.1,3.25,3.15,3,2.9,2.85,2.7,2.8,2.78,2.4,2.33,2.73,2.37,2.54,2.53,2.84,2.63,2.79,:
