,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,9.7,:,0.01,0,0,0.06,0.08,0.12,0.08,0.09,0.06,0.11,0.13,0.07,0.05,:
Bulgaria,0,0,0,0.2,0,0,0,0,0,0,0,0,:,0,0,0.12,0,0.15,0.1,0,0,0.63,1.08,1.9,1
Czechia,3,3,2.4,5.35,2.2,7.3,7.9,2.6,1.2,2.6,4.09,2.48,1.68,1.51,1.81,1.6,1.48,1.72,1.26,1.08,1.29,1.83,1.93,1.6,1.08
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,102.5,33,10.3,16.2,12.9,14.4,13.7,6.1,4.2,4.1,6.86,4.6,4.2,3.7,4.2,5,4.2,4.6,3.8,3.4,3.9,5.2,5.1,4.1,:
Estonia,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0.12,0.08,0.05,0.05,0.07,0.2,0.12,0.08,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.01,0,0.05,0.03,0.04,0.03,0.02,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0.02,0.02,0.04,0.04,0.04,0.03,0.04,0.06,0.07,0.07
Spain,20.5,11.1,3.3,1.7,0.7,0.7,0.2,0.2,0,0,0,0,0,0.01,0.05,0.05,0.02,0.01,0,0.02,0.05,0.34,0.9,0.9,0.9
France,16.2,11.2,7.8,5.6,6.2,11.8,20.3,16.4,7.1,9.6,18.12,16.35,12.08,8.51,12.08,22.31,24.95,29.12,24.76,21.84,32.05,37.5,28.91,26.9,25.59
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,0,0,0,:,:,:,:,0,0,:,:,:,:,:,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.3,0.4,1.6,1.8,2.1,1.6,0.6,0.5,0.2,0.2,0.8,1.3,0.3,0.1,0.4,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0
Lithuania,0,0,0.2,0.5,0.2,0.6,0.9,0.3,0.1,0.2,0.4,0.5,0.3,0.2,0.3,0.37,0.21,0.4,0.53,0.44,0.76,0.8,0.77,0.79,0.8
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,1,0.8,0.4,0.8,1.2,2,1.9,1.7,0.7,0.9,0.35,0.53,0.33,0.7,0.64,0.6,0.82,1.14,1.13,1.07,0.86,1.22,1.19,2.31,2.79
