,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.29,2.97,3.39,3.79,4.29,5.5,5.08,5.02,:
Bulgaria,85.6,85.8,85.4,84,80,64.9,51.5,59.9,61.9,93.1,74.8,:,:,:,:,64.8,84.69,88.18,91.59,96.36,92.08,92.75,86.67,81,:
Czechia,101.82,98.69,83.33,79.3,80,83.6,80.9,77.2,72.5,69,65.8,61.18,56.01,55.88,57.36,57.07,60.05,62.51,65.41,74.9,79.4,80.08,75.33,66.46,66.09
Denmark,5.2,3.5,3.6,4,4.2,4.8,4.3,3.8,3.9,5.1,:,:,:,:,:,2.7,2.1,1.9,0.8,0.8,0.9,0.7,0.5,0.5,:
Germany,28.6,26.9,24.6,23.6,25.9,32.4,37.6,39.8,38.8,41.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,14.7,8.2,9.6,8.6,11,12,49,12.6,13.1,10.7,11,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0.02,0
Greece,10.6,11.7,10.2,8.4,8.12,8.36,7.04,8.28,8.47,9.02,9.07,11.61,11.23,15.76,13.59,19.07,25.97,34.85,30.66,44.52,25.62,13.44,22.87,7.67,7.84
Spain,256.9,246.8,243.4,256.3,255.8,246.5,253.9,250.9,216.3,246,:,260.53,:,:,:,256.95,270.87,266.03,260.34,259.29,255.89,243.88,227.21,219.95,225.93
France,323.3,318,315.7,307.8,308.8,305.1,302.5,:,0,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,17.24,18.16,17.28,17.19,16.71,25.41,26.28,23.96,25.27,26.54,27.21,25.13,24.8,25.69,22.12,18.39,23.56,26.06,24.25,29.01,26.34,28.13,27.14,27.01,:
Italy,815.1,793.4,786.9,774.7,767.6,782.3,:,709.8,717.4,712.5,:,:,:,:,703.86,691.7,681.42,684.98,697.83,721.04,716.92,695.34,685.25,677.34,:
Cyprus,:,:,:,0.1,0.2,0.1,0.1,0.8,0.8,0.76,0.49,0.46,0.3,0.66,0.1,0.2,0.25,0.12,0.16,0.11,0.25,0.58,0.4,0.25,0.3
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.7,8.4,9.5,0,0,10.3,0,10.2,9.4,0
Lithuania,:,4.1,4,3.9,4.9,4,5.6,4.6,5,4.6,3.8,3.4,3.7,3.7,3.7,6.28,6.87,6.56,8.41,10.78,12.88,15.54,15.52,15.52,:
Luxembourg,0.3,0.3,0.3,0.2,0.3,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,159,154.6,155.5,157.2,154.6,153.3,146,133.8,143.1,125.7,:,:,:,:,123.32,134.37,190.43,193.58,193.45,213.21,204.83,199.08,190.64,206.76,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,6.6,7.1,6,6.3,6,5.9,6.4,5.9,4.9,5.7,6.4,:,:,:,:,:,:,:,7.56,7.62,7.51,7.32,6.6,11.1,:
Austria,6.8,6.9,7.6,8.9,10.7,12.4,13.3,12.8,12.7,13.1,15.05,14.69,13.64,13.45,12.97,11.26,11.92,12.82,13.31,15.33,16.68,16.11,14.17,12.44,12.58
Poland,327.7,318.4,25.3,49.8,36.2,39,41.4,33.5,30,25.5,30.1,:,:,:,:,44,52.01,61,56.01,57.72,71.04,78.7,92.18,97.41,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,323.1,322.3,345.55,367.37,235.58,310.9,321.14,301.74,321.94,326.54,342.28,344.32,338.14,341.34,361.8,365.06,380.35,391.19,408.78,413.11,416.89,443.09,422.21,434.65,436.02
Slovenia,:,:,:,0.95,1.36,1.63,1.47,1.78,2.28,2.45,2.98,2.95,3.15,:,:,4.43,5.64,5.36,5.26,4.68,4.29,3.95,3.86,3.95,:
Slovakia,63.7,63.1,62,63,62.1,61.1,54.5,52,50.4,50.5,54.8,:,:,:,:,48.67,47.21,47.08,49.11,52.18,52.58,51.92,48.34,46.56,47.19
