,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.07,0.07,0.07,0.08,0.11,0.12,0.17,0.22,0.22,:
Bulgaria,:,15.2,15,13.2,10.7,10.4,10.3,11.56,11.5,8.7,:,:,:,:,:,6.13,7.81,6.58,8.07,8.64,9.36,10.92,11.38,10.33,:
Czechia,2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.2,0.2,0.19,0.13,0.18,0.19,0.17,0.13,0.16,0.13,0.14,0.26,:
Denmark,:,0,0,0,0,0,0,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0.1,0.1,0.1,0,0,0,0,0,0,0,:,:,:,:,:,:,0.69,0.8,0.6,0.9,1.07,1.2,1.5,1.7,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,41.31,40.68,40.1,41.66,39.71,38.3,37.64,43.39,43.54,35.75,38.52,38.15,35.52,35.3,37.37,37.29,37.57,40.46,43.91,43.47,59.88,49.82,52.33,38.53,:
Spain,:,685.6,599.7,668.8,649.2,651.7,604.79,587.72,:,:,:,:,:,:,:,618.58,657.61,713.62,748.35,788.41,831.29,869.85,895.76,909,:
France,25.56,25.49,25.78,26.3,27.03,27.51,28.01,28.73,29.49,30.56,31.66,31.68,31.9,32.77,33.6,34.97,37.74,38.32,39.55,40.83,53.67,52.18,52.68,53.18,:
Croatia,5.55,5.57,5.61,5.5,6.69,7.27,7.62,8.01,9.28,9.44,6.63,7,6.78,5.67,7.61,7.89,9.21,9.93,12.06,13.54,15.73,16.22,18.56,17.56,:
Italy,162.2,161.1,159.6,159,156.7,155.9,154.7,155.9,154.2,150.4,:,:,:,:,:,129.58,169.5,171.25,177.41,176.17,178.17,179.86,183.98,188.48,:
Cyprus,3.9,3.9,4.18,5.2,5.51,5.57,5.65,5.59,4.03,4.52,3.47,3.36,3.12,3.05,2.79,2.87,2.66,2.45,2.55,2.98,2.69,2.43,2.7,2.7,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.04,0.05,0.06,0.09,0.11,0.12,0.14,0.14,0.34,0.45,0.5,0.75,:
Luxembourg,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0,:,:,:,:,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Hungary,:,:,4.4,5.1,5.5,5.5,5.1,5.21,5.41,5.28,5.97,5.97,6,6,5.14,5.34,5.65,5.81,6.26,6.94,7.52,7.67,10.25,10.43,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0.08,0.07,0.09,0.11,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0.07,0.06,0.06,0.06,0.06,0.06,0.14,0.14,0.14,0.14,0.14,0.17,0.17,0.18,0.19,0.19,0.19,:
Poland,:,3.6,5.2,5.2,4.6,5,8.6,23.11,22.71,22.77,21,20.1,20.8,17.1,6.9,6,6.19,6.12,6.03,6.02,8.4,8.1,9,8.9,:
Portugal,99.93,100.81,101.58,102.41,103.69,105.08,106.32,105.16,105.64,106.17,112.35,118.55,125.33,133.19,133.44,134.95,136.05,139.22,149.37,212.64,215.67,214.86,215.44,218.77,:
Romania,2.12,2.05,2.06,2.01,1.88,2.1,1.68,2.12,1.73,1.53,1.5,1.45,1.58,1.64,2.01,2.09,2.34,2.32,2.31,2.51,2.63,3.23,3.68,5.14,:
Slovenia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.14,0.16,:,:,:,:,:,0.31,0.39,0.47,0.53,0.62,0.71,0.78,0.84,0.92,:
Slovakia,0,0,0,0,0,0,0.03,0.04,0.03,0.1,0,0,0,0,0,0.18,0.2,0.21,0.36,0.63,1.18,1.16,1.19,1.26,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.98,3.11,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2.8,2.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,3.68,:,:,:,:,:,:,:,3.4,3.5,3.6,3.8,:
Serbia,:,:,:,:,:,:,:,5,4.95,4.34,4.84,4.8,7.07,7.03,7.03,7.03,7.03,6.53,7.2,7.3,7.9,8.1,10.52,12.08,:
Türkiye,:,801.4,809.3,852.6,903.5,932.9,946,938.5,942,:,:,:,:,:,:,1107,1151,1170,1249,1285,1324,1353,1396,:,:
Kosovo*,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.7,1.1,1.69,1.74,1.93,:,:
