,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,4.8,5.1,5.1,4.6,5.6,5.6,9.6,10.8,8.6,9.9,11.3,11,12.61,:,:,11.43,11.65,10.98,11.55,9.48,8.39,8.57,9.05,12.38,:
Bulgaria,19.2,18.9,9.3,23.4,21.1,21.9,22.5,772.01,797.4,834.79,944.8,987.3,915.6,1013.63,:,1030.31,1018.92,1076.65,980.78,976.11,951.62,974.96,1058.89,955.5,:
Czechia,407.61,432.22,409.7,421.3,382.51,399.5,437.9,451.7,483.9,486.5,490.4,464.41,470.82,486.91,464.27,446.02,470.18,479.52,489.34,454.76,450.21,442.31,437.08,470.4,438.45
Denmark,99.1,78.9,84.1,106.6,122,111.7,125.4,179.2,172.1,163.1,281.9,149.4,127.5,175.5,:,193.5,163.2,177.6,142.59,165.51,145.94,162.4,197.87,211.18,:
Germany,1215.6,1199.5,1337.2,1323.7,1331.7,1392.4,1483.2,1578.6,1404.7,1506.8,1502.27,1370,1348.1,1503.2,1432.9,1332.3,1367.5,1355.8,1280.8,917,1031.3,1086.2,1241.5,1306.7,:
Estonia,28.9,27.6,33,46.4,50.5,46.8,62.7,73.7,77.9,82.3,98.4,89.1,87.2,86.2,:,70.9,73.98,84.14,76.58,77.46,76.93,84.08,94.61,82.03,:
Ireland,2.7,2.4,2.2,2.31,2.23,3.73,5.1,8.18,5.61,6.35,7.98,12.39,17.48,13.69,9.44,8.99,9.94,10.17,10.61,9.3,10.38,11.31,15.82,21.61,:
Greece,19.35,19.52,19.75,19.73,21.06,20.39,21.9,27.4,29.45,39.95,97.83,100.77,85.8,103.13,91.73,114.6,92.46,99.21,88.11,107.46,106.27,98.74,103.57,73.96,76.96
Spain,1002.3,996.5,850.8,887.9,847.8,610,691.3,686.2,934.6,935.9,723.91,902.97,786.38,913.35,832.33,821.48,820.15,844.21,795.52,793.6,749.23,754.51,1033.74,912.69,908.8
France,2009.6,1923.1,1736.4,1864.8,1807.1,1947.9,2117.5,2185.1,2081.4,2263.7,2239.9,2334.61,2336.51,2252.1,:,2278.34,2257.57,2174.04,2357.36,1906.84,2119.1,1878.92,2323.6,2372.73,:
Croatia,86.87,78.2,88.8,94.52,80.38,119.79,108.86,82.09,98,102.02,102.69,109.99,99.8,109.13,108.46,150.11,160.86,174.9,173.97,160.39,172.22,161.61,167.51,147.72,:
Italy,505.8,467.5,327.2,307.7,277.2,285.9,326,263.8,235,283.4,280.25,401.86,274.97,330.32,360.86,435.68,412.37,452.48,444.9,406.02,395.8,420.65,473.04,464.53,:
Cyprus,0.3,0.4,0.3,0.29,0.26,0.25,0.17,0.15,0.16,0.07,0.08,0.08,0.06,0.06,0.05,0.1,0.08,0.08,0.08,0.07,0.04,0.04,0.04,0.04,0.04
Latvia,8.1,9.5,21,28.2,57.3,73.5,85.5,100.3,85.5,96,107.6,119.2,115.2,127.4,95.7,88.3,100.4,113.4,122.7,140.2,148.6,148.3,162.5,149.1,:
Lithuania,55.6,51,60.5,67.3,101.3,110.2,151.9,175,162.8,194,253.9,257.3,268.9,266.1,224.1,172.08,160.03,187.85,213.73,250.8,296.37,322.78,360.46,315.25,:
Luxembourg,3.3,3.1,3.5,3.7,4.2,4.1,4.8,5.4,5.2,4.6,4.78,4.68,4.57,4.47,:,4.02,3.54,3.32,3.46,2.97,2.83,1.84,2.45,2.96,:
Hungary,465.6,476.7,612.3,659.7,652.1,699.2,733.7,793.4,849.2,857.2,825.65,873.82,820.06,835.93,880.58,934.18,977.4,1098.19,1034.48,950.53,1006.82,998.04,964.13,941.95,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,5.8,6.3,4.9,6,6.4,7.5,8.8,6.8,6.3,3.7,3.6,2.51,2,3,:,:,:,:,3.92,:,:,:,3,2.62,:
Austria,108.5,110.6,110.5,107.7,101.6,112.1,129.8,118.6,121.7,134,146.09,148.41,143.2,144.3,144.9,152.05,152.93,155.75,159.17,158.5,165.74,177.75,191.72,174.51,173.38
Poland,452.1,462.2,452.6,460.8,564.9,569.2,657.9,825.3,791.4,833.8,791.4,782.4,640.7,904.9,:,994.2,862.2,956,891.16,915.95,1032.12,1049.02,1158.16,1189.95,:
Portugal,51.84,41.52,37.58,36.63,28.37,7.07,7.78,17.62,24.38,21.35,14,22.42,18.03,18.09,15.55,19.93,18.21,13.46,9.49,8.86,7.91,7.13,9.22,6.8,6.5
Romania,1067.42,938.58,1076.37,1377.13,1157.46,1205.52,1297.57,1340.37,1239.39,1253.81,1409.71,1472.52,1261.08,1426.87,1496.53,1514.68,1629.48,1766.34,1815,1800.13,1678.83,1715.35,1701.33,1914.46,2001.85
Slovenia,2.32,2.58,5.76,6.56,5.77,6.58,7.5,9.67,8.16,9.05,11.79,11.02,10.24,6.68,:,8.94,11.7,11.45,9.45,8.71,9.73,9.88,9.72,9.57,:
Slovakia,178.3,180.9,204,213.1,199,215.5,252.2,233.6,249.3,271.6,280,250.22,213.59,247.69,:,244.32,253.17,291.2,280.92,257.07,265.51,289.8,293.13,272.57,283.38
Finland,54.2,75,67.8,77.2,85,80.7,115.2,94.1,65.7,82.6,160.9,92.7,58,:,44.5,56.9,62,55.64,54.1,32,25.1,36.5,42.36,32.7,43.3
Sweden,57.9,49,70.5,62.4,89.5,91.9,98.7,92.1,93,109.4,129.16,109.43,118.77,130.32,102.55,101.61,101.27,118.78,101.05,107.57,100.45,109.66,132.49,129.35,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0.1,:,:,:,0,0,0,0.2,0,0.5,0,0.5,0.5,:
Norway,5.7,10.9,11,7.5,6.9,6.7,6.5,6.2,4.8,:,6,5,5,:,4.1,3.5,4.1,2.31,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,25.3,26.1,25.5,:,25.56,25.82,26.95,:,28.82,29.9,27.83,27.62,30.3,30.62,31.32,32.41,33.63,35.14,34.41
United Kingdom,403.8,434.2,368.7,492.1,527.8,564.1,604.7,687,620.6,601,667,681,744,656,:,667,607,590,609.5,546.9,423.16,:,:,:,:
Bosnia and Herzegovina,3.79,2.61,3.34,4.87,3.93,6.3,7.8,7.45,5.31,4.74,5.29,5.11,5.61,5.65,6.46,8.51,9.19,10.1,12.54,13.04,17.08,17.09,17.26,15.96,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,7.5,6.1,7.5,6.2,6.4,5.5,4.31,3.77,4.9,4.9,6.08,7.72,6.22,5.05,7.23,7.15,4,6.51,2.42,4.64,4.61,5.28,6.34,4.97,:
Albania,2.3,2.2,1.9,1.8,3.1,1.5,1.5,2.3,2.9,:,:,:,:,:,:,0.9,:,:,0.6,0.6,:,:,0.6,0.5,:
Serbia,:,:,:,:,:,:,:,314.71,349.5,319.82,351.65,354.88,357.45,357.6,339.57,363.84,397.11,441.1,482.54,480.8,483.61,473.41,516.38,490.36,:
Türkiye,557.1,527.3,574,572,564,574.6,596.9,575.8,1137,:,664,1289,1155,:,394,866,904,925,900,922,896,1080,1155,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,0.8,:,:,:,:,:,:,:,:,:,0.17,:,:
