,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.1,0.1,0.1,0,0,0.1,0.05,0.07,0.08,0.07,:,:,:,:,0.16,0.08,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.09,:
Bulgaria,0,0,0,0,0,0,0.19,0.18,0.2,0.7,0,0,0,0,0,0,0.31,0.34,0.29,0.86,1.01,0.97,1.13,1.04,:
Czechia,2,2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.13,:
Denmark,0.6,0.6,0.6,0.1,0.1,0.1,0.1,:,:,:,0.25,0.26,:,:,:,0.18,0.13,0.15,0.15,0.15,0.22,0.21,0.59,0.26,:
Germany,:,:,:,:,:,1.22,1.22,1.22,1.22,1.22,:,:,1.68,1.81,2.07,2.22,2.4,2.61,2.84,2.97,3.01,2.93,2.85,2.78,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.82,0.95,0.91,1.49,1.22,1.23,1.58,1.31,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0.02,0,0,0,0,0,0,0,0.04,0.01,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.11,0.1,0.04,:
Spain,6.3,6.2,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.18,0.27,0.27,0.25,0.24,0.23,0.21,0.23,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,1.28,1.31,1.37,1.08,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.26,0.35,0.47,0.79,0.89,1.04,0.86,1.13,1.16,1.28,1.47,:
Italy,8.5,8.7,8.7,8.8,8.7,8.8,8.3,7.4,9.2,:,:,:,:,:,:,0.47,0.8,0,0,1.3,0.24,0.24,0.23,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.1,0.1,0.84,1,1,1.29,0.2,:
Lithuania,:,:,:,0.53,0.5,0.43,0.51,0.7,1.39,1.04,1.76,1.84,1.88,2.31,2.27,2.26,2.56,3.18,3.3,2.96,3.22,2.91,2.85,2.95,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,2.8,3.5,3.6,4.1,4.2,4.04,3.87,3.55,4.31,4.31,0.3,0.3,4.58,4.57,4.58,4.67,5.1,5.66,5.63,5.4,5.38,5.38,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.2,0.2,0.2,0.2,0.2,0.3,0.31,0.33,0.48,0.58,0.64,0.66,0.68,0.67,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0.12,0.13,0.13,0.13,0.13,0.14,0,:,:,:,0,0,0,:,:,:
Poland,9.3,9.5,10.1,9.5,9.5,9.9,9.6,11.78,11.34,10.84,11.38,11.7,15.5,14.7,13.7,10.4,14.23,14.27,14.24,14.28,22.3,21.6,21.2,20.4,:
Portugal,:,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.03,0.04,0.09,0.12,0.13,0.13,0.2,0.2,0.2,0.18,0.18,:
Romania,0,0,0,0,0.15,0.02,0.05,0.04,0.03,0.04,0.1,0.16,0.15,0.27,0.25,0.12,0.28,0.23,0.2,0.29,0.25,0.68,0.73,1.06,0
Slovenia,:,:,0,0,0,0,0.03,0.03,0.03,0.03,:,:,:,:,:,0,0.1,0.15,0.17,0.17,0.23,0.24,0.25,0.25,:
Slovakia,0,0,0,0,0,0,0.13,0.02,0.13,0.12,0,0,0,0,0,:,0,0.09,0.12,0.12,0.24,0.14,0.11,0.18,0
Finland,0,0,0,0,0,0,0.6,0.34,0.43,0.41,0,0,0,0.44,0.43,0.19,0.29,0.3,0.33,0.25,0.28,0.22,0.22,0.47,:
Sweden,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.03,0.03,0.09,0.1,0.1,0.09,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,0.1,0.1,0.1,0.1,0.1,:,:,:,:,:,:,0.06,0.08,:,:,:,:,:,:,:,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0.8,0.6,0.6,0.7,0.8,0.8,0.8,0.9,:,:,:,:,:,:,1,1,0,1.28,1.31,2.2,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.13,0.14,0.24,0.23,0.12,0.2,0.27,0.19,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,0,:,0,0,0,0,0,0,:
Serbia,0,0,0,0,0,0,0,3,3.3,3.24,3.08,3.07,3.11,3.22,3.4,3.4,3.4,6.89,7.34,7.52,7.5,6.15,6.12,6.52,:
Türkiye,:,1.8,1.2,1.3,1.2,1.2,1.3,1.3,2,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,0,0,0.01,0.01,0.01,0,0,0.1,0.05,0.07,0.07,0.12,0.15,0.16,0.16,0.16,:,:
