,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.9,0.9,0.9,0.9,0.9,1.1,0.98,0.97,1.03,0.98,0.98,:,:,:,0.86,0.24,0.26,0.28,0.26,0.28,0.3,0.26,0.26,0.29,:
Bulgaria,0,0,0,0,0,0,0.21,0.05,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0
Czechia,1.09,0.82,0.12,0.11,0.1,0.12,0.14,0.12,0.14,0.15,0.18,0.19,0.08,0.18,0.15,0.17,0.2,0.19,0.17,0.22,0.19,0.21,0.19,0.26,:
Denmark,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0.39,0.35,0.35,0,0,0,0.44,0.31,0.36,0.48,0.62,0.96,0.37,0.37,0.25,:
Germany,8.5,7.8,7.9,8.2,8.2,7.5,7.52,7.73,8.04,7.79,7.62,4.37,4.27,3.89,3.89,3.96,3.64,3.92,3.59,3.54,3.72,3.55,3.54,3.32,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.04,0.05,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,7.3,4.4,2.4,5.5,3.9,4,2.67,2.1,:,0,0,0,1.9,0,0,1.5,2.79,1.81,2.06,7.63,7.7,7.68,7.88,7.35,:
France,4.6,4.5,4.6,4.5,4.4,4.4,4.5,4.4,4.2,:,:,:,:,:,5.32,5.39,5.33,5.51,5.35,5.15,6.67,5.87,5.99,6.14,:
Croatia,0,0,0,0,0,0,0,0,0.33,0.16,0.17,0.14,0.12,0.32,0.13,0.18,0.26,0.13,0.15,0.21,0.21,0.15,0.17,0.09,:
Italy,8.1,7.9,8.3,8.4,12.6,13.7,13,12.9,13.2,12.8,:,:,:,:,:,15.23,15.43,15.52,15.81,15.61,15.03,15.15,15.27,14.61,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,0.41,0.14,0.22,0.18,0.19,0.17,0.16,0.12,0.14,0.13,0.13,0.1,0.09,0.08,0.06,0.07,0.07,0.06,0.07,0.06,0.06,:
Luxembourg,:,:,:,:,:,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,0.4,0.4,1.2,2.9,2.4,1.4,1.3,1.28,1.36,0.84,0.81,:,:,:,0.13,0.23,0.23,0.18,0.08,0.04,0.06,0.07,0.07,0.07,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2.2,2,2.1,2.1,2.1,2.1,2.21,2.34,2.37,2.32,2.18,1.55,1.37,1.51,0.35,0,0.7,0.61,0.71,0.68,0.72,0.72,0.7,0.66,:
Austria,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.87,0.85,0.86,0.62,0.62,0.6,0.59,0.55,0.5,0.47,0.47,0.47,0.46,0.49,0.49,0.44,0.37,:
Poland,:,:,:,:,1.8,1.8,1.9,1.52,1.4,1.62,1.58,1.4,1.6,1.8,1.8,2,2.44,2.44,2.64,2.4,2.1,1.6,2.1,1.8,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,2.81,3.17,4.24,3.86,3.15,3.18,3.09,2.61,3.13,3.62,4.06,3.64,3.21,:
Romania,0,0,0,0,0.13,0.03,0.15,0.19,0.09,0.07,0.08,0.1,0.06,0.05,0.06,0.08,0.06,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0
Slovenia,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.05,0.09,:,:,:,:,:,0.17,0.2,0.2,0.19,0.19,0.2,0.18,0.2,0.15,:
Slovakia,0,0,0,0,0,0,0.23,0.17,0.12,0.1,0,0,0,0,0,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.03,0.03,:
