,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,1,0.6,0.5,0.5,0.8,0.5,0.6,0.7,0.6,0.5,0,2.05,3,3.6,3.83,3.04,3.52,3.47,3,3.26,4.07,5.08,0.75,0.83,:
Bulgaria,7.4,6.3,1.6,13.7,8.5,4.1,2.9,2.2,3.3,3.6,3.95,4.31,3.5,5.29,3.58,5.93,3.11,2.69,2.88,3.63,5.66,3.38,4.21,4.8,:
Czechia,6.7,5.9,5.2,10.7,6.7,8.2,11.3,11.9,9.9,8.9,6.09,5.52,7.4,5.54,4.25,4,5.23,4.69,4.5,4.51,5.5,6.85,5.59,4.23,5.5
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0.7,0.1,0.1,0.2,0.7,0.1,0.3,0.4,0.1,0.3,0.3,0.5,0.6,0.8,1.4,3.1,5.28,2.91,1.65,3.29,5.96,8.86,6.8,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0
Greece,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.13,0.01,0.01,0.01,0.02,0.04,0.08,0.12,0.23,0.26,0.17,0.26,0.37,0.27,0.34,0.3,0.18,0.21
Spain,4.6,2.3,4.4,4.2,4.3,4.3,4.2,6.6,4.9,4.8,7.19,7.68,6.55,8.86,10.22,19.98,6.8,3,6.67,9.12,9.31,8.95,2.48,2.48,2.28
France,15.1,22.4,27.4,37.1,41.1,36.7,37.6,32.1,34.2,36.9,37.24,30.46,30.86,44.44,30.12,55.35,58.45,74.88,57.37,64.47,100.7,66.54,72.61,70.8,75.9
Croatia,2.5,2.35,2.8,2.73,3.11,4.59,0.22,0.71,0.37,0.8,0.68,0.76,0.73,0.69,0.28,0.74,0.85,0.84,0.7,0.63,1.04,0.97,1.03,0.6,0.8
Italy,5.9,6.5,7.3,7.5,7.4,6.8,8.1,10.6,12.3,19.1,22.67,22.92,:,35.56,37.31,24.26,28.7,33.21,34.35,32.96,33.91,30.58,25.41,24.06,25.62
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
