,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,15,15.2,0.4,0.4,0.5,0.7,0.5,0.6,0.7,0.7,0.8,:,:,:,:,0.19,0.2,0.23,0.27,0.31,0.33,0.36,0.39,0.38,:
Bulgaria,0,0,0,0,0,0,0,12.9,3.7,0,0,0,0,0,:,0.15,0.37,0.41,0.53,0.43,0.16,0.21,0.32,0.4,0
Czechia,2,1.7,2.1,3.9,2.9,3.1,4.1,4.1,2.1,1.8,1.5,0.6,0.13,0.38,0.29,0.26,0.32,0.35,0.01,0.11,0.08,0.11,0.07,:,:
Denmark,5.1,0,0.1,0.2,0.1,0.2,0.2,0.4,0.2,0.7,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,5.6,5.6,4.7,5.8,6.5,8.7,10.1,9.6,13,16.2,4.43,:,:,:,:,:,2.9,:,:,:,3.5,:,:,4.7,:
Estonia,0,0,0,0,0,0,0.1,0.6,0.5,0.9,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,11.5,9.9,7.6,7.3,13.7,7.8,4.4,5.5,9.1,13.4,0,12.01,0,0,:,11.05,16.49,1.67,0.34,0.83,1.33,1.65,1.33,0.72,0.72
France,0.8,0.8,1.2,2.1,1.8,2,1.9,:,0,:,0.8,:,:,:,:,40.33,39.98,40.43,40.58,41.52,40.37,39.03,39.34,38.18,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.3,0.3,0.6,0.8,0,:
Lithuania,0,0,0,0,0,0.5,0.1,0.5,0.4,0.5,0.1,0.1,0.1,0.1,0.1,0.11,0.03,0,0,0,0,0,0,0.18,0
Luxembourg,0.1,0,0.1,0.3,0.4,0.6,0.9,0.7,0.5,0.7,0.7,:,:,:,:,0.18,0.18,0.2,0.16,0.12,0.17,0.17,0.17,0.15,:
Hungary,:,:,:,:,0.6,1.3,1.8,3.6,2.4,2,:,:,:,:,1.25,0.74,1.1,2.92,2.68,2.48,1.36,0.04,0.03,0.03,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0
Austria,0.8,0,0.5,0,0,0,0,0.8,0.8,1.5,0.36,0.34,0.36,0.32,0.31,0.33,0.34,0.36,0.39,0.41,0.37,0.41,0.42,0.34,0.34
Poland,1.3,3,4.5,5.7,3.8,3.9,4.3,5,4.2,5,5.8,:,:,:,0,0,0,0,0,0,0,0,0,:,:
Portugal,19.74,17.38,15.02,12.66,7.59,2.52,2.52,2.51,2.72,2.92,2.57,2.21,1.86,1.51,2.45,3.21,3.96,2.34,2.35,0.81,0.81,0.81,0.81,0.81,0.81
Romania,5.21,5.68,5.32,4.34,6.96,4.67,5.19,4.6,2.25,3.3,3.15,3.34,3.6,3.19,2.82,2.75,2.61,2.83,2.98,2.07,2.22,2.31,1.83,2.06,2.02
Slovenia,0,0,0,0,0,0,0,0,0,:,0.1,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0.2,0.6,1.5,2.7,4.7,10.5,17.2,19.1,18.7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,0,:,0,0,:
Switzerland,:,:,:,:,:,:,0.2,0,0,:,0.22,:,:,:,0,0,0,0,0,0,0,0,0,0,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0.02,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,4,0,0,0,0.37,0.37,0.59,0.2,0.1,0.23,:,0.01,0.05,0.03,0.03,0.09,0.43,0.1,0.23,0.18,0.13,0.36,0.13,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,:,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,1.77,2.91,2.5,3,1.8,1.53,1.42,1.29,1.3,1.8,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Kosovo*,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0.02,0,0.02,0.01,0.02,0.02,0.02,0.02,0.02,:,:
