,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,1,2.2,1.8,1.7,2,3.4,4.2,4.7,4.3,4.4,4.9,:,:,:,:,:,0.93,0.83,1.51,1.01,1.3,1.66,0.86,2,:
Bulgaria,1,0,0.7,0.8,0,1.2,1.3,2,0.7,1.1,0,0,0,0,0,1.84,7.5,8.36,14.98,10.02,7.95,6.79,5.54,4.6,:
Czechia,312.95,274.82,175.39,164.9,142.5,137.3,131.8,128.7,115.7,111.6,115.5,89.45,88.11,86.66,91.19,100.09,109.08,112.37,115.89,117.6,118.64,121.89,114.27,111.9,121.31
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,223.9,215,166.9,158.6,176.6,193.6,209.8,205.7,205.6,213.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,56,48,45.7,35.2,41.6,50.9,49.1,60,68,67.4,65.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.33,0.1,0.68,0.85,0.82,1.14,1.1,1.08,1.02,2.56,7.97,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,108.9,98.9,96.2,90.6,81.1,81.1,89.4,82.3,73.8,88.6,:,120.43,:,:,:,155.2,154.71,158.13,185.62,195.69,189.56,209.15,219.95,244.62,231.06
France,71.3,70.5,70.1,72,71.5,69.5,69.5,:,0,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,21.2,20.62,20.47,20.6,19.92,19.78,19.13,20.5,25.71,24.52,21.24,22.58,21.13,17.8,31.63,25.97,20.97,20.44,20.34,22.39,21.02,19.71,13.79,16.92,:
Italy,:,:,:,:,:,:,:,:,354,:,:,:,:,:,728.74,331.82,448.54,501.45,510.02,511.03,524.6,531.95,602.18,618.6,:
Cyprus,0,0,0,0,0.75,1.03,0.99,0.8,0.48,0.88,1.1,0.86,0.88,1,1.19,2.46,2.3,2.45,2.8,2.24,3.16,2.7,3.2,3.25,3.4
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.5,15.1,19.9,0,0,22.8,0,11.8,19.3,0
