,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Denmark,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,0,:,:,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.11,0.14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.37,0.38,0.47,0.96,1.04,1.02,0.97,0.87,0.91,0.73,0.86,0.82,0.81,0.89,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.23,0.22,0.3,0.5,0.46,0.38,0.26,0.25,0.17,:
France,0,0,0,0,0,0,0,1.62,1.65,1.53,1.55,1.57,1.62,:,:,:,2.16,2.15,2.2,:,6.9,5.55,6.36,6.53,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,:,:,:,:,:,:,:,0.44,0,0,0,0.45,0.46,0.45,0.45,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.05,0.05,0.05,0.05,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,:,:,:,:,0,0,0,0,0,0,0,0,0.01,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.2,0.2,0.2,0.6,0.64,0.61,0.61,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,:
Portugal,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.16,0.16,0.16,0.15,0.15,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.1,0.01,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0,0,:,:,:,:,0,0.39,0.46,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,:,:,:,:,0.1,0.1,0.2,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.81,0.73,0.7,:
Türkiye,:,3.4,3.2,3.3,3.2,3.4,3.3,3,2,:,:,:,:,:,:,0,0.3,0.3,0.3,0,1,1,0,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,:,:,:,:,:,:,:,:
