,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.6,6,6.3,6.5,6.8,7.8,7.93,8.13,8.12,8.21,8.21,8.22,8.58,8.92,9.08,9.34,9.69,10.02,10.15,10.37,10.66,10.45,10.57,10.63,:
Bulgaria,:,0.5,0.5,0.4,0.4,0.3,0.33,0.57,0.6,0.3,0.5,0.4,0.44,0.45,0.34,0.53,0.41,0.45,0.57,0.7,0.5,0.55,0.58,0.47,0.5
Czechia,2,1.5,0.3,0.41,0.47,0.47,0.5,0.54,0.58,0.66,0.72,0.78,0.93,0.9,0.88,0.79,0.74,0.71,0.75,0.8,0.83,0.8,0.8,0.79,0.79
Denmark,0.4,0.5,0.4,0.4,0.4,0.5,0.4,:,:,:,0.33,0.38,0.37,0.35,0.36,0.34,0.3,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29
Germany,2.37,2.37,2.19,2.19,2.19,2.19,2.19,2.1,2.1,2.1,2.1,2.1,1.93,1.93,1.93,1.93,1.93,2.14,2.14,2.14,2.14,2.14,2.07,2.07,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,4.47,4.14,4.1,4,3.9,3.8,3.9,4,4,3.5,5.25,4.75,4.91,4.82,4.97,4.95,4.08,4.07,4.41,4.34,5.42,4.37,4.35,3.16,5.22
Spain,:,38.2,36.2,38.1,36,33.5,33.63,31.89,:,:,27.33,27.01,25.48,24.24,23.64,22.88,22.55,21.89,21.33,20.62,20.22,20.02,19.11,18.46,18.46
France,10.81,10.1,9.32,8.97,8.67,8.28,7.56,6.99,6.4,6.12,5.91,5.71,5.54,5.35,5.36,5.37,5.3,5.25,5.24,5.25,5.9,5.89,5.91,6.08,:
Croatia,1.38,0.98,0.98,0.98,1.13,1.28,1.37,1.4,1.48,1.5,1.41,1.37,1.06,0.77,1.04,0.9,0.93,0.71,0.8,0.86,0.73,0.75,0.6,0.61,0.6
Italy,47.3,47.1,45.8,44.9,44.5,42.7,42.3,41.4,40.7,40.3,36.89,36.34,34.24,31.53,30.15,30.86,32.29,31.73,31.34,28.71,26.6,26.79,24.52,23.03,22.48
Cyprus,0,0,0,0,0.13,0.14,0.14,0.17,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.07
Latvia,0.5,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.3,0.2,:,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.2,0.2
Lithuania,:,:,:,0.64,0.65,0.69,0.77,0.96,0.65,0.61,0.72,0.76,0.85,0.86,0.9,0.87,0.8,0.82,0.82,0.82,0.85,0.85,0.84,0.84,0.8
Luxembourg,0.2,0.2,0.2,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,:
Hungary,:,:,2.2,3,3.2,3.2,3.2,3.15,3.21,3,2.73,2.73,2.79,3,2.89,2.88,2.87,2.9,2.84,2.81,2.62,2.74,2.48,2.41,2.3
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,6,6.1,6.3,6.4,6.5,6.7,6.91,7.3,7.48,7.8,7.99,8.2,8.17,8.51,8.6,9.23,9.4,9.7,10,10.09,10,10.07,10.1,9.86,:
Austria,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.48,0.44,0.45,0.46,0.46,0.49,0.5,0.54,0.55,0.57,0.6,0.55
Poland,18.3,18.4,14.4,14.5,14.5,12.6,12.5,13.04,13.03,13.15,8.4,11.7,10.9,9.5,9.2,9.2,7.49,7.26,7.3,7.22,5.8,5.6,5.5,5.6,5.6
Portugal,12.6,12.42,12.32,12.12,11.94,11.75,11.58,11.4,11.2,11.02,10.95,10.97,11.23,12.01,12.01,12.12,11.99,11.54,11.21,11.33,11.33,11.16,10.85,10.85,10.85
Romania,6.05,5.85,6.1,5.9,5.32,6.07,4.42,4.62,4.59,4.54,5.1,4.27,3.9,3.91,3.46,2.91,3.15,3.12,3.1,3.08,3.09,3.17,3.2,3.23,3.22
Slovenia,0.37,0.37,0.28,0.28,0.28,0.28,0.28,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.21,0.21,0.22,0.23,0.22,0.21,:
Slovakia,0.1,0.2,0.1,0.1,0.1,0.1,0.15,0.13,0.14,0.14,0.1,0.74,0.16,0.17,0.13,0.11,0.11,0.11,0.12,0.11,0.1,0.09,0.1,0.11,:
Finland,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.03,0.03
Sweden,0.22,0.21,0.2,0.2,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.11,0.11,0.12,0.13,0.13
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,0.2,0.1,0.1,0.1,0.1,:,0.09,0.08,0.07,0.06,0.01,0.06,0.06,0.06,0.06,0.06,0.07,0.07,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.75,0.75,0.76,0.77,0.78,0.77,0.73,0.74,0.75,0.74,:
United Kingdom,2.4,2.3,2,1.7,1.7,1.7,1.6,1.5,:,:,1.8,2,2,2,1,1.48,1.5,1.5,1.5,1.5,1.5,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.1,6.16,:
